segment,dist_start_km,dist_end_km,v_target_kmh,v_coast_kmh
0,0.0,0.12083975327377915,29.0,24.0
1,0.12083975327377915,0.2416795065475583,29.0,24.0
2,0.2416795065475583,0.3625192598213374,29.0,24.0
3,0.3625192598213374,0.4833590130951166,29.0,24.0
4,0.4833590130951166,0.6041987663688957,29.0,24.0
5,0.6041987663688957,0.7250385196426749,29.0,24.0
6,0.7250385196426749,0.845878272916454,29.0,24.0
7,0.845878272916454,0.9667180261902332,29.0,24.0
8,0.9667180261902332,1.0875577794640123,29.0,24.0
9,1.0875577794640123,1.2083975327377914,29.0,24.0
10,1.2083975327377914,1.3292372860115707,29.0,24.0
11,1.3292372860115707,1.4500770392853497,29.0,24.0
12,1.4500770392853497,1.570916792559129,29.0,24.0
13,1.570916792559129,1.691756545832908,29.0,24.0
14,1.691756545832908,1.8125962991066873,29.0,24.0
15,1.8125962991066873,1.9334360523804663,29.0,24.0
16,1.9334360523804663,2.0542758056542456,29.0,24.0
17,2.0542758056542456,2.1751155589280247,29.0,24.0
18,2.1751155589280247,2.2959553122018037,29.0,24.0
19,2.2959553122018037,2.4167950654755828,29.0,24.0
20,2.4167950654755828,2.5376348187493623,29.0,24.0
21,2.5376348187493623,2.6584745720231413,29.0,24.0
22,2.6584745720231413,2.7793143252969204,29.0,24.0
23,2.7793143252969204,2.9001540785706994,29.0,24.0
24,2.9001540785706994,3.0209938318444784,29.0,24.0
25,3.0209938318444784,3.141833585118258,29.0,24.0
26,3.141833585118258,3.262673338392037,29.0,24.0
27,3.262673338392037,3.383513091665816,29.0,24.0
28,3.383513091665816,3.504352844939595,29.0,24.0
29,3.504352844939595,3.6251925982133746,29.0,24.0
