v_kmh,p_wheel_mean_W,p_wheel_min_W,p_wheel_max_W,p_motor_elec_mean_W,p_motor_elec_max_W,motor_current_mean_A,motor_current_max_A
25,71.90423921365831,-718.3101133956081,966.1471244553519,226.9940818325678,1421.6683225061486,4.729043371511829,29.61809005221143
26,77.02599027650386,-746.4637683967619,1005.4157822835028,236.69808390384225,1485.062704511642,4.931210081330047,30.938806343992542
27,82.40901261810842,-774.5248503903025,1044.7801198290285,246.70162925154176,1547.5485225777136,5.139617276073786,32.24059422036903
28,88.0623669567255,-802.4883249970088,1084.2451403934713,258.8235760645254,1610.548150136412,5.3921578346776124,33.55308646117525
29,93.9952431406266,-830.3492013995592,1123.8158037164749,269.3803449900915,1674.0753131634622,5.612090520626907,34.8765690242388
30,100.21672098875418,-858.1025323425314,1163.4970259757831,280.2872401718192,1738.1439381113787,5.839317503579566,36.211332043987056
31,106.73558892279547,-885.7434141324015,1205.0483901439738,291.60948007424736,1805.6261228399917,6.07519750154682,37.61721089249983
32,113.55838605639474,-913.2669866375462,1252.5235089312312,303.32635809930014,1883.2269260034464,6.319299127068753,39.233894291738466
33,120.6928218067793,-940.6684332882402,1300.7966023991748,315.65427717420357,1962.954664372931,6.576130774462574,40.89488884110273
34,128.1475627533732,-967.9782781185294,1349.8913353479077,328.04799719015836,2044.896055232692,6.834333274794964,42.60200115068108
35,135.94690159558454,-995.2015695813312,1399.831372577532,341.2120706256737,2128.8992497433096,7.108584804701534,44.352067702985615
36,144.08952083774813,-1022.308062459007,1450.6403788881505,357.2155063993101,2215.0458560868565,7.441989716652295,46.14678866847618
37,152.58068947228253,-1049.295399100746,1502.3420190798654,371.5029003510337,2303.4203187155313,7.7396437573132015,47.98792330657357
38,161.429997884126,-1076.1613774339487,1554.9599579527799,386.16486657904153,2394.110076574326,8.045101387063367,49.87729326196512
39,170.6462303068544,-1102.9039509642273,1608.5178603069962,400.84686934740427,2470.9517923362173,8.35097644473759,51.47816234033786
40,180.23792821514573,-1129.521228775405,1663.0393909426166,416.15687966004253,2470.9517923362173,8.669934992917552,51.47816234033786
