motor_name,voltage_v,current_a,rpm,torque_nm,power_w,efficiency_pct,confidence,source
Mitsubishi M2096D-III,96,0,900,0.0,0,0.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Mitsubishi M2096D-III,96,2,898,2.0,188,70.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Mitsubishi M2096D-III,96,4,895,4.2,394,85.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Mitsubishi M2096D-III,96,6,892,6.3,589,90.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Mitsubishi M2096D-III,96,8,888,8.5,790,92.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Mitsubishi M2096D-III,96,10,884,10.7,990,93.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Mitsubishi M2096D-III,96,12,878,12.9,1186,94.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Mitsubishi M2096D-III,96,14,872,15.2,1388,94.5,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Mitsubishi M2096D-III,96,16,865,17.4,1575,95.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Mitsubishi M2096D-III,96,18,858,19.8,1780,95.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Mitsubishi M2096D-III,96,20,850,22.1,1967,95.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Mitsubishi M2096D-III,96,22,842,24.3,2143,95.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Mitsubishi M2096D-III,96,24,832,26.6,2319,95.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Mitsubishi M2096D-III,96,26,822,28.9,2488,95.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Mitsubishi M2096D-III,96,28,812,31.2,2650,95.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Mitsubishi M2096D-III,96,30,800,33.5,2806,95.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,0,3000,0.00,0,0.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,1,2955,0.13,39,81.3,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,2,2909,0.25,76.5,79.7,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,3,2864,0.37,112.5,78.1,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,4,2819,0.50,147,76.6,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,5,2773,0.62,180,75.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,6,2728,0.74,212,73.4,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,7,2682,0.86,242,71.9,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,8,2637,0.98,270,70.4,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,9,2592,1.10,297,68.8,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,10,2546,1.22,323,67.3,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,11,2501,1.34,347,65.8,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,12,2455,1.46,370,64.2,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,13,2410,1.59,391,62.7,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,14,2365,1.71,411,61.1,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,15,2319,1.83,429,59.6,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
DMKE 86mm 48V 500W,48,16,2274,1.95,446.1,58.1,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Bafang G310/G311,36,0,318,0.0,0,0.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Bafang G310/G311,36,2,300,2.5,79,61.3,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Bafang G310/G311,36,4,280,7.2,211,74.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Bafang G310/G311,36,6,260,12.0,327,79.5,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Bafang G310/G311,36,8,240,16.8,422,81.1,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Bafang G310/G311,36,10,220,21.5,495,81.5,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Bafang G310/G311,36,12,200,26.2,549,80.8,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Bafang G310/G311,36,14,180,31.0,584,74.8,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Bafang G310/G311,36,16,160,35.8,600,74.3,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Bafang G310/G311,36,18,140,40.5,594,69.1,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Bafang G310/G311,36,20,100,42.5,445,,MISSING (blank cell in source PDF),Mastersheet FP Team B - Motor Selection.pdf
Innotec Power 145-DZS48-010,48,0,1550,0.0,0,0.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Innotec Power 145-DZS48-010,48,4,1480,1.1,170,88.5,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Innotec Power 145-DZS48-010,48,8,1400,2.4,352,91.7,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Innotec Power 145-DZS48-010,48,11.5,1300,3.8,517,93.7,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Innotec Power 145-DZS48-010,48,15,1250,5.0,655,91.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Innotec Power 145-DZS48-010,48,20,1180,6.9,853,88.9,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Innotec Power 145-DZS48-010,48,30,1100,10.6,1221,84.8,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Innotec Power 145-DZS48-010,48,40,1050,14.5,1594,83.0,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
Innotec Power 145-DZS48-010,48,51.5,1010,18.9,1999,80.9,MEASURED,Mastersheet FP Team B - Motor Selection.pdf
BLDC 650W,48,1.43,1172,0.00,0,0.0,MEASURED,BLDC .png (manufacturer dyno curve - no-load)
BLDC 650W,48,5.90,1120,2.00,235,82.8,MEASURED,BLDC .png (manufacturer dyno curve - digitized)
BLDC 650W,48,12.00,1054,4.52,499,86.7,MEASURED,BLDC .png (manufacturer dyno curve - max-efficiency point)
BLDC 650W,48,17.50,975,7.00,715,85.1,MEASURED,BLDC .png (manufacturer dyno curve - digitized)
BLDC 650W,48,24.46,864,10.53,953,81.2,MEASURED,BLDC .png (manufacturer dyno curve - max-power point)
BG 42x30 dCore,24,0.28,4480,0.00,0,0.0,CALCULATED,Dunkermotoren BG 42x30 dCore (user-provided datasheet specs 2026-07-21) - no-load RPM/current not in provided specs; scaled from the previous (wrong-model) BG 42x45 dCore no-load:rated RPM ratio
BG 42x30 dCore,24,3.14,3580,0.17,64,85.0,CALCULATED,Dunkermotoren BG 42x30 dCore (user-provided datasheet specs 2026-07-21) - power_w/rpm/voltage_v MEASURED (continuous/nominal rating); efficiency_pct is a PLACEHOLDER (no efficiency curve provided for this model) carried over from the previous BG 42x45 dCore class-typical estimate; current_a/torque_nm derived from that placeholder
BG 42x30 dCore,24,11.82,2150,0.69,156,55.0,CALCULATED,Dunkermotoren BG 42x30 dCore (user-provided datasheet specs 2026-07-21) - power_w MEASURED (peak output rating); rpm/efficiency_pct/current_a/torque_nm are all PLACEHOLDER (not in provided specs); rpm scaled from the previous BG 42x45 dCore rated:peak RPM ratio; efficiency carried over from its peak-point estimate
