segment,type,description,direction,shell_start_km,shell_end_km,rl_start_m,rl_end_m,rl_distance_m
S0,STRAIGHT,Start → T1,,0.000,0.517,0.0,515.4,515.4
T1,TURN,Turn 1,CW,0.517,0.786,515.4,761.7,246.3
S1,STRAIGHT,T1 → T2,,0.786,0.791,761.7,766.6,4.9
T2,TURN,Turn 2,CCW,0.791,0.889,766.6,867.5,100.9
S2,STRAIGHT,T2 → T3,,0.889,1.015,867.5,992.8,125.3
T3,TURN,Turn 3,CCW,1.015,1.077,992.8,1053.2,60.4
S3,STRAIGHT,T3 → T4,,1.077,1.083,1053.2,1063.1,9.8
T4,TURN,Turn 4,CW,1.083,1.147,1063.1,1123.2,60.2
S4,STRAIGHT,T4 → T5,,1.147,1.153,1123.2,1133.3,10.0
T5,TURN,Turn 5,CCW,1.153,1.227,1133.3,1202.4,69.2
S5,STRAIGHT,T5 → T6,,1.227,1.315,1202.4,1292.2,89.7
T6,TURN,Turn 6,CCW,1.315,1.442,1292.2,1417.0,124.8
S6,STRAIGHT,T6 → T7,,1.442,1.829,1417.0,1807.6,390.6
T7,TURN,Turn 7,CW,1.829,1.975,1807.6,1942.7,135.1
S7,STRAIGHT,T7 → T8,,1.975,2.040,1942.7,2007.1,64.4
T8,TURN,Turn 8,CW,2.040,2.146,2007.1,2110.1,103.0
S8,STRAIGHT,T8 → T9,,2.146,2.246,2110.1,2210.6,100.5
T9,TURN,Turn 9,CW,2.246,2.357,2210.6,2322.5,111.9
S9,STRAIGHT,T9 → T10,,2.357,2.561,2322.5,2526.1,203.6
T10,TURN,Turn 10,CCW,2.561,2.682,2526.1,2636.9,110.8
S10,STRAIGHT,T10 → T11,,2.682,3.006,2636.9,2962.0,325.2
T11,TURN,Turn 11,CW,3.006,3.176,2962.0,3136.5,174.4
S11,STRAIGHT,T11 → Finish,,3.176,3.665,3136.5,3626.2,489.7
