distance_km,grade_pct,zone_type,stop_event,v_kmh,active_motor,motor_phase
0.0,-0.2623762376237426,straight,True,0.0,BLDC 650W,accel:launch
0.001,-0.27817067421025515,straight,False,3.7947331922020555,BLDC 650W,accel:launch
0.002,-0.29702970297027714,straight,False,5.366563145999495,BLDC 650W,accel:launch
0.003,-0.31424881618594935,straight,False,6.572670690061994,BLDC 650W,accel:launch
0.004,-0.3300330033003229,straight,False,7.589466384404111,BLDC 650W,accel:launch
0.005,-0.3485148514851488,straight,False,8.485281374238571,BLDC 650W,accel:launch
0.006,-0.36557501904036593,straight,False,9.295160030897803,BLDC 650W,accel:launch
0.007,-0.38503850385038374,straight,False,10.039920318408909,BLDC 650W,accel:launch
0.008,-0.40311173974540027,straight,False,10.733126291998992,BLDC 650W,accel:launch
0.009,-0.41993854557868543,straight,False,11.384199576606166,BLDC 650W,accel:launch
0.01,-0.43894389438942605,straight,False,12.0,BLDC 650W,accel:launch
0.011,-0.4567230916639898,straight,False,12.58570617804182,BLDC 650W,accel:launch
0.012,-0.47648514851483803,straight,False,13.145341380123988,BLDC 650W,accel:launch
0.013,-0.49504950495048333,straight,False,13.682105101189658,BLDC 650W,accel:launch
0.014,-0.5125218404193312,straight,False,14.198591479439079,BLDC 650W,accel:launch
0.015,-0.5318246110325272,straight,False,14.696938456699069,BLDC 650W,accel:launch
0.016,-0.5500550055005455,straight,False,15.178932768808222,BLDC 650W,accel:launch
0.017,-0.5699759165105645,straight,False,15.646085772486359,BLDC 650W,accel:launch
0.018,-0.588848358520056,straight,False,16.09968943799849,BLDC 650W,accel:launch
0.019,-0.6092916984006053,straight,False,16.540858502508268,BLDC 650W,accel:launch
0.02,-0.6287128712871182,straight,False,16.970562748477143,BLDC 650W,accel:launch
0.021,-0.6633663366336462,straight,False,17.389652095427326,BLDC 650W,accel:launch
0.022,-0.7004950495049389,straight,False,17.798876369029593,BLDC 650W,accel:launch
0.023,-0.7376237623762316,straight,False,18.19890106572372,BLDC 650W,accel:launch
0.024,-0.7747524752475154,straight,False,18.5903200617956,BLDC 650W,accel:launch
0.025,-0.8143564356435595,straight,False,18.973665961010276,BLDC 650W,accel:launch
0.026,-0.8539603960396037,straight,False,19.349418595916518,BLDC 650W,accel:launch
