# x_m,y_m,w_tr_right_m,w_tr_left_m
-324.556,-51.457,8.19,8.51
-327.025,-47.108,8.28,8.37
-329.485,-42.751,8.37,8.34
-331.903,-38.37,8.36,8.35
-334.321,-33.99,8.35,8.25
-336.747,-29.614,8.26,8.34
-339.169,-25.237,8.27,8.23
-341.586,-20.857,8.28,8.32
-343.982,-16.465,8.27,8.33
-346.409,-12.091,8.4,8.3
-348.831,-7.714,8.43,8.27
-351.267,-3.346,8.28,8.32
-353.708,1.02,8.34,8.36
-356.154,5.382,8.31,8.39
-358.649,9.717,8.44,8.26
-361.061,14.098,8.48,8.32
-363.462,18.486,8.31,8.99
-365.764,22.929,8.33,8.37
-368.167,27.316,8.37,8.43
-370.497,31.743,9.43,8.47
-372.885,36.137,8.26,8.54
-375.305,40.513,8.23,8.47
-377.836,44.827,8.73,8.47
-380.277,49.191,8.33,8.37
-382.716,53.557,8.33,8.37
-385.16,57.919,8.24,8.36
-387.586,62.292,8.33,8.37
-390.017,66.662,8.43,8.27
-392.421,71.047,8.4,8.4
-394.831,75.428,8.28,8.42
-397.309,79.772,8.44,8.26
-399.725,84.15,8.43,8.27
-402.243,88.471,8.54,8.76
-404.778,92.784,8.67,8.03
-407.312,97.097,7.5,7.9
-409.792,101.439,7.57,7.83
-412.314,105.759,7.69,7.71
-414.599,110.209,7.54,7.86
-416.892,114.655,7.4,7.9
-419.201,119.091,8.68,8.02
-421.502,123.533,8.45,8.15
-423.95,127.893,8.39,8.21
-426.372,132.267,8.5,8.2
-428.793,136.642,6.91,8.19
-431.206,141.021,8.51,8.09
-433.627,145.396,8.52,8.18
-435.908,149.848,8.27,8.33
-438.347,154.212,8.3,8.3
-440.892,158.519,8.45,8.15
-443.305,162.898,8.45,8.25
-445.675,167.3,7.1,8.3
-448.09,171.678,8.4,8.2
-450.786,175.901,9.32,7.98
-453.351,180.196,8.89,7.71
-456.057,184.413,6.02,7.48
-458.817,188.6,6.51,6.99
-461.508,192.825,6.62,6.68
-463.911,197.208,6.5,6.7
-465.905,201.818,6.31,7.19
-467.899,206.429,5.82,7.68
-469.902,211.035,10.23,8.17
-471.949,215.617,9.62,8.6
-474.014,220.189,9.02,9.02
-476.517,224.518,8.92,8.94
-479.022,228.846,8.82,8.86
-481.529,233.173,8.72,8.68
-484.039,237.498,8.61,8.59
-486.551,241.821,8.51,8.51
-489.074,246.138,8.42,8.42
-491.6,250.453,8.33,8.33
-494.27,254.687,8.4,8.08
-496.988,258.894,8.53,7.77
-499.675,263.118,6.89,7.41
-502.341,267.353,6.43,7.17
-504.994,271.594,6.75,6.85
-507.476,275.933,6.77,6.73
-509.918,280.294,6.74,6.76
-512.347,284.663,6.89,6.81
-514.77,289.034,6.53,6.77
-517.18,293.414,6.85,6.85
-519.646,297.761,6.93,6.77
-522.185,302.067,7.09,6.61
-524.711,306.38,6.73,6.57
-527.215,310.705,6.74,7.56
-529.672,315.058,7.49,7.81
-532.141,319.404,7.45,7.35
-534.407,323.867,7.27,6.93
-536.816,328.248,7.25,7.65
-539.239,332.621,7.84,7.06
-541.666,336.992,7.23,7.67
-544.047,341.391,6.86,7.24
-546.553,345.716,7.33,6.97
-548.969,350.094,7.29,7.11
-551.347,354.496,7.5,7.7
-553.863,358.818,7.47,7.63
-556.214,363.239,7.26,6.94
-558.483,367.706,6.78,7.82
-560.799,372.144,6.99,6.51
-563.169,376.55,7.61,6.59
-565.441,381.006,6.78,6.82
-567.863,385.382,6.79,6.81
-570.362,389.727,6.87,6.63
-572.796,394.118,6.97,6.63
-575.241,398.524,6.89,6.71
-577.707,402.954,6.95,6.65
-580.17,407.43,6.94,6.66
-582.399,412.047,6.63,6.87
-584.436,416.783,6.09,7.01
