method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,6.985429071794801,38.805908867807105,3.687937737442996,1791.7,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.6051184718374907,5.787384942173958,7.1452060559277735,1786.3,False,0.0
TabPFN-3,Default,Foundation Model,0.3988194969093643,3.6584650300170622,9.33922225655568,1666.2,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5548034626013535,5.482579877802832,10.688034349235037,1618.4,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.907660220396073,2040.2228420972824,10.328470915007246,1593.3,False,0.0
TabICLv2,Default,Foundation Model,0.15054921462491172,2.0524528171730156,10.175518763678912,1592.3,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.217878699427239,2040.2228420972824,11.07243917626267,1554.2,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.644969598113518,5.809798529870024,11.675346052107527,1524.0,False,0.0
RealMLP,Tuned + Ens.,Neural Network,11.974985376498216,2950.724447694827,12.981987713327731,1510.3,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.18241940288749647,2.06768405148355,14.063470669685016,1459.0,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,286.53737883567806,4910.377306237253,13.805817459740638,1458.5,False,0.0
TabM,Tuned + Ens.,Neural Network,2.246865858634313,2450.1270774379373,14.143034020794016,1451.6,False,0.0
LightGBM,Tuned + Ens.,Tree-based,2.638673830958025,417.0474735648702,15.118118569156454,1434.7,False,0.0
RealMLP,Tuned,Neural Network,0.663132054971364,2950.724447694827,14.296196912267286,1428.5,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.3442282032056243,1346.210691180287,14.735446221345768,1422.7,False,0.0
CatBoost,Tuned,Tree-based,0.03809286543601384,1346.210691180287,14.963256309715705,1409.5,False,0.0
iLTM,Tuned + Ens.,Foundation Model,464.3696034625343,12685.081550183375,15.372144196804175,1406.5,False,0.0
TabDPT,Tuned,Foundation Model,39.95973646029047,4910.377306237253,14.947588335224914,1403.1,False,0.0
TabM,Tuned,Neural Network,0.25129394622912726,2450.1270774379373,15.010060266987862,1395.1,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.137916867537678,4621.665633563503,15.669939472393072,1389.2,False,0.0
LightGBM,Tuned,Tree-based,0.3337603531487198,417.0474735648702,15.776201518264607,1387.2,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.4692529093322957,518.4320707488994,16.019260886667432,1382.6,False,0.0
CatBoost,Default,Tree-based,0.02489617665608724,5.876676442022475,15.592091005152877,1378.8,False,0.0
XGBoost,Tuned + Ens.,Tree-based,1.6894451629541256,693.4907982506384,15.848168928072267,1376.7,False,0.0
LimiX,Default,Foundation Model,6.2423742585450634,26.459751268166386,15.529187357803718,1362.6,False,0.0
ModernNCA,Tuned,Neural Network,0.4747242314576746,4621.665633563503,16.103841022112068,1356.3,False,0.0
ChimeraBoost,Tuned,Tree-based,0.0503248844331908,518.4320707488994,16.47432487824318,1352.5,False,0.0
XGBoost,Tuned,Tree-based,0.3080760155405317,693.4907982506384,16.160637813051164,1351.3,False,0.0
xRFM,Tuned + Ens.,Other,2.549259534903935,846.8860702336882,16.394486077127226,1351.1,False,0.0
TabSwift,Default,Foundation Model,0.07196837694453946,1.1753394519011986,16.18386290629688,1350.9,False,0.0
TabDPT,Default,Foundation Model,43.737812222627376,47.64668788909912,17.26593614736722,1325.9,False,0.0
ChimeraBoost,Default,Tree-based,0.05158072382519021,2.653780256788737,17.337194906147886,1314.8,False,0.0
xRFM,Tuned,Other,0.13027435019228545,846.8860702336882,17.55924218544466,1302.7,False,0.0
TabM,Default,Neural Network,0.2435252328360982,7.486463968520102,17.09202001308651,1298.9,False,0.0
iLTM,Tuned,Foundation Model,62.129902117180094,12685.081550183375,17.20729759308574,1296.5,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,1.9516254299583915,2875.520340774675,17.234308468083604,1287.4,False,0.0
SAP-RPT-OSS,Default,Foundation Model,2.0745579697490073,14.11326684554418,18.394308067029517,1282.8,False,0.0
EBM,Tuned + Ens.,Tree-based,0.14129001235465857,1711.2458519871225,18.73153400619611,1271.5,False,0.0
