method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
EXAONE-Tabular,Default,Foundation Model,1.2153026424728934,4.521609933262339,3.8745107186940144,2002.2,False,0.0
TabFM,Default,Foundation Model,13.118891688893655,27.288414010629126,3.094556060604526,1985.0,False,0.0
TabPFN-3,Default,Foundation Model,0.21472657924676145,1.0099025842179519,6.299028299688435,1801.6,False,0.0
TabPFN-2.6,Default,Foundation Model,0.700875014724915,2.7558592936727737,8.218182016884775,1724.3,False,0.0
TabICLv2,Default,Foundation Model,0.118628191947937,0.6015671441553114,7.242953121088575,1699.9,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,11.735986151605083,735.5848736648751,8.958034420641916,1649.7,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.7079962174097697,115.66400360356192,9.165602095928078,1647.1,False,0.0
RealMLP,Tuned + Ens.,Neural Network,1.6746674551212202,1719.820290101634,9.265179768363746,1635.5,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,6.0133340654646315,2526.306680600179,9.435139721535107,1617.6,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.24857039354928848,489.92741010372185,9.260463397345447,1616.1,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.3859818405575224,735.5848736648751,9.567288949540073,1606.5,False,0.0
CatBoost,Tuned,Tree-based,0.01969751471208236,489.92741010372185,9.465347626271164,1600.7,False,0.0
LightGBM,Tuned + Ens.,Tree-based,2.638673830958025,131.56200707040514,10.826104693831361,1594.2,False,0.0
ChimeraBoost,Tuned,Tree-based,0.07273415348730487,115.66400360356192,9.77766798672382,1586.5,False,0.0
CatBoost,Default,Tree-based,0.010282764438985344,2.469413828723084,9.441523083956465,1580.5,False,0.0
iLTM,Tuned + Ens.,Foundation Model,65.19515312136267,2067.952899612129,10.55625139198797,1566.6,False,0.0
XGBoost,Tuned + Ens.,Tree-based,0.5626253890991211,282.1320041804491,10.917497133558381,1553.6,False,0.0
TabM,Tuned + Ens.,Neural Network,0.5790353938445546,1236.8778796591432,10.612268830160803,1552.6,False,0.0
RealMLP,Tuned,Neural Network,0.08070331733080324,1719.820290101634,10.413501932745884,1543.9,False,0.0
ChimeraBoost,Default,Tree-based,0.0494996236081709,0.5392980166665183,10.376588234618104,1540.0,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.644969598113518,1.8760518371058228,10.457835993292166,1535.2,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.1795394574862431,0.7535798581633265,11.121223281228158,1530.1,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,444.5439481393411,4786.598933193933,10.64106347977455,1527.3,False,0.0
