method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
EXAONE-Tabular,Default,Foundation Model,0.518551267683506,5.241869787298472,8.709133921851922,1772.9,False,0.0
TabFM,Default,Foundation Model,7.10852696151597,38.565442655896284,4.451597952124085,1754.8,False,0.0
TabPFN-3,Default,Foundation Model,0.39100083521538814,3.641070283296061,11.773061578262583,1646.6,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5385860219310328,5.169732086395516,13.030172192576703,1598.8,False,0.0
TabICLv2,Default,Foundation Model,0.16718720756471156,2.0703847189795193,12.365405429244195,1584.4,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.969171073248319,2046.2534629078434,12.766540251807431,1570.3,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.3289068866310263,2046.2534629078434,13.509693355275889,1548.7,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.7935168864458976,5.758914663608266,13.813177223580666,1536.2,False,0.0
RealMLP,Tuned + Ens.,Neural Network,12.483661895579116,2879.4580429663456,15.754825774635503,1483.9,False,0.0
TabM,Tuned + Ens.,Neural Network,2.3471511218945187,2168.8617901524153,16.680645119333608,1462.0,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.18979029024371696,1.9424208612208895,17.15201852615692,1432.3,False,0.0
LightGBM,Tuned + Ens.,Tree-based,1.4869408198587952,382.0935074288594,17.457694757911295,1430.1,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.32860223277297457,1106.9971386445386,17.10061791022906,1412.5,False,0.0
TabM,Tuned,Neural Network,0.25840668243711584,2168.8617901524153,17.53213293954918,1410.2,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,307.73531084957597,4941.977787917529,17.134753130076714,1408.2,False,0.0
iLTM,Tuned + Ens.,Foundation Model,502.4479719176494,12597.421306342254,17.493244543050988,1406.4,False,0.0
RealMLP,Tuned,Neural Network,0.5977456463856776,2879.4580429663456,17.18732260135825,1406.3,False,0.0
LimiX,Default,Foundation Model,4.667463426495018,18.41493641647918,17.347479023590743,1403.0,False,0.0
CatBoost,Tuned,Tree-based,0.037721935577159,1106.9971386445386,17.359346066454,1402.1,False,0.0
LightGBM,Tuned,Tree-based,0.2536304780415126,382.0935074288594,18.14243892705452,1388.0,False,0.0
CatBoost,Default,Tree-based,0.025523960866605112,5.408652768213125,17.69233984804344,1387.7,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.485801581579659,521.372514249945,18.353070318813568,1384.8,False,0.0
XGBoost,Tuned + Ens.,Tree-based,1.4544829943522242,685.86510540535,18.258455186398052,1377.1,False,0.0
BetaTabPFN,Default,Foundation Model,1.8858780823720083,282.8166166302093,19.532084830168646,1371.0,False,0.0
ModernNCA,Tuned,Neural Network,0.5246167968352966,4880.278628826547,18.497695482500813,1361.1,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.736445970787049,4880.278628826547,18.58436449878738,1359.0,False,0.0
ChimeraBoost,Tuned,Tree-based,0.0476316265910635,521.372514249945,18.853207321237974,1356.1,False,0.0
XGBoost,Tuned,Tree-based,0.20505376172139547,685.86510540535,18.627903483998097,1350.4,False,0.0
TabDPT,Tuned,Foundation Model,41.59480890226112,4941.977787917529,18.51541829895137,1349.6,False,0.0
TabSwift,Default,Foundation Model,0.06653973039588963,1.2028502698884558,19.295242886081596,1348.6,False,0.0
xRFM,Tuned + Ens.,Other,3.061994591445103,934.2696678038442,19.495541721469174,1328.2,False,0.0
ChimeraBoost,Default,Tree-based,0.051057780829944804,2.754269032020905,19.746385434216815,1325.1,False,0.0
TabM,Default,Neural Network,0.2459026963472814,6.846008083483598,19.768897747284793,1313.5,False,0.0
EBM,Tuned + Ens.,Tree-based,0.15036786827693457,1499.0498932556848,20.23038818718147,1312.1,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.1570271396274556,2389.474183573232,19.43304208356642,1309.1,False,0.0
iLTM,Tuned,Foundation Model,70.85128333613437,12597.421306342254,19.968300087485748,1294.6,False,0.0
SAP-RPT-OSS,Default,Foundation Model,2.0331410808017023,13.704304123621096,21.032459710734678,1294.6,False,0.0
xRFM,Tuned,Other,0.16872231419302974,934.2696678038442,20.832517585674037,1289.1,False,0.0
EBM,Tuned,Tree-based,0.017293833845938654,1499.0498932556848,20.907512925955817,1276.4,False,0.0
TabDPT,Default,Foundation Model,43.82395203037029,49.212789584403154,21.31262826204191,1270.1,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,4.7655686359255345,618.9598462322642,21.366478533250103,1259.7,False,0.0
EBM,Default,Tree-based,0.017026584861956105,5.721323938180388,21.873270462213583,1251.8,False,0.0
ModernNCA,Default,Neural Network,0.34626588759614874,14.77952225682948,22.215039601158338,1249.5,False,0.0
RealMLP,Default,Neural Network,1.7071575933325231,10.475885775277254,21.46002280039543,1239.8,False,0.0
XGBoost,Default,Tree-based,0.11705428200050694,1.771208861779989,21.26408902661948,1231.4,False,0.0
TorchMLP,Tuned,Neural Network,0.15177921475257505,2389.474183573232,21.461712252126947,1228.7,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,0.7641423489094281,286.47839540145753,22.332059757991427,1212.6,False,0.0
FastaiMLP,Tuned,Neural Network,0.2978802219128553,618.9598462322642,23.096614766898448,1192.8,False,0.0
LightGBM,Default,Tree-based,0.12049981156984965,1.7915100586311195,22.21301699347947,1190.4,False,0.0
RandomForest,Tuned + Ens.,Tree-based,0.7428875097152683,323.803944707366,23.359415577386923,1184.8,False,0.0
ExtraTrees,Tuned,Tree-based,0.07347116644916588,286.47839540145753,23.298589930496615,1183.4,False,0.0
