method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
EXAONE-Tabular,Default,Foundation Model,0.671976262407674,8.144291262204941,9.028460335972573,1836.5,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.3463854050940522,2710.488010135443,12.682881739452363,1726.6,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.094662232452926,2710.488010135443,11.643077082398777,1717.7,False,0.0
TabFM,Default,Foundation Model,7.684594236782276,55.12930911696275,9.09482563087609,1674.6,False,0.0
TabPFN-2.6,Default,Foundation Model,0.612658711391924,9.940809547193947,14.952800427183183,1647.5,False,0.0
TabPFN-3,Default,Foundation Model,0.4885714957377921,11.663522929567835,13.770717475488334,1598.4,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.8441387841941691,10.225668064503907,14.323695983015494,1585.4,False,0.0
LimiX,Default,Foundation Model,7.0619559967285905,44.325578779036704,14.169231227011991,1575.0,False,0.0
TabICLv2,Default,Foundation Model,0.1967767848575243,5.6364435240570625,16.11560574435633,1558.0,False,0.0
RealMLP,Tuned + Ens.,Neural Network,19.12832243604106,4150.815892399585,17.681595812494187,1517.4,False,0.0
RealMLP,Tuned,Neural Network,3.420302250359997,4150.815892399585,18.542463398730664,1492.6,False,0.0
LightGBM,Tuned + Ens.,Tree-based,5.200625796499297,1377.4770257446412,19.852670965877305,1473.1,False,0.0
TabM,Tuned + Ens.,Neural Network,4.212663384182079,3881.8318340104934,20.466834773315362,1472.9,False,0.0
CatBoost,Tuned + Ens.,Tree-based,1.1808204253846237,2635.9752136463762,19.2681988106505,1461.3,False,0.0
LightGBM,Tuned,Tree-based,1.2591317347741153,1377.4770257446412,20.084314886461023,1460.7,False,0.0
CatBoost,Tuned,Tree-based,0.17312930928327006,2635.9752136463762,19.891629004295353,1437.7,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.27076534553044534,5.455623096250603,21.5431355443688,1434.3,False,0.0
TabM,Tuned,Neural Network,0.697837902178858,3881.8318340104934,21.198312814158268,1432.8,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,212.23517422151923,4635.1714883924005,22.51557621809757,1429.7,False,0.0
XGBoost,Tuned,Tree-based,0.9738781112397263,2210.165394509955,20.5479172083761,1413.4,False,0.0
XGBoost,Tuned + Ens.,Tree-based,3.984075791822964,2210.165394509955,20.63280777646955,1408.3,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,9.210511137627178,7128.671587504601,20.52204093186318,1401.6,False,0.0
ModernNCA,Tuned,Neural Network,0.7756352584549238,7128.671587504601,20.73328574492428,1399.0,False,0.0
