#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1791.0,+244/-126,0.85,5.61,1.49,3.196,45.35,5.343,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1716.0,+121/-69,0.72,7.68,3.65,8.132,7.43,0.553,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1636.0,+100/-58,0.601,10.57,5.36,9.544,8.57,0.411,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1611.0,+100/-67,0.583,11.61,6.15,10.536,7.07,0.555,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1607.0,+126/-93,0.575,11.79,5.22,9.124,2320.56,8.956,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1580.0,+95/-65,0.508,13.06,8.44,11.329,6.58,0.586,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1553.0,+132/-86,0.539,14.39,6.36,11.102,3.89,0.15,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1550.0,+96/-69,0.517,14.51,8.19,11.373,2320.56,0.941,✔️,0.0,False,GPU,model,
8,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1497.0,+72/-54,0.406,17.47,11.54,13.867,3855.77,24.914,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1446.0,+96/-74,0.41,20.58,7.53,14.304,8061.74,364.097,✔️,0.0,False,GPU,model,
