method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,6.3100890027657695,40.78996474014507,3.569896303641143,1742.0,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.4957583784042041,6.813714250828779,9.68943810485752,1688.3,False,0.0
TabPFN-3,Default,Foundation Model,0.3985329866409302,7.562578790403686,11.561908383393904,1592.6,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.7026957462090424,6.025425425299332,13.043411153943914,1586.8,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,9.665510479426949,2280.189658474339,11.063981317626048,1567.2,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5307377510382884,6.281140423073291,12.752996571925454,1561.8,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,0.9678506248316469,2280.189658474339,13.540806233286675,1534.9,False,0.0
TabICLv2,Default,Foundation Model,0.18200423568487167,3.4521869623163743,12.898772542447153,1532.6,False,0.0
RealMLP,Tuned + Ens.,Neural Network,22.857077649049472,3487.2314440045966,16.077455914367857,1469.1,False,0.0
LimiX,Default,Foundation Model,5.033121860272885,28.08288222588253,14.690025481678251,1459.6,False,0.0
RealMLP,Tuned,Neural Network,1.0010951072713092,3487.2314440045966,17.264614703917584,1403.2,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.16961659763250558,4.86170271550331,17.79150966447544,1395.3,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,404.05298819846814,7432.953711946813,17.284628263844603,1380.5,False,0.0
TabM,Tuned + Ens.,Neural Network,3.188860049555508,2478.6920283700233,18.111389262646707,1375.7,False,0.0
TabM,Tuned,Neural Network,0.44725631665148746,2478.6920283700233,18.83992444865681,1347.1,False,0.0
CatBoost,Tuned,Tree-based,0.04682674034107366,1580.612883732634,17.644770146238645,1346.2,False,0.0
BetaTabPFN,Default,Foundation Model,2.322831617545355,303.58744374984343,20.03862140197651,1344.4,False,0.0
LightGBM,Tuned + Ens.,Tree-based,1.4553717527055694,774.792267950359,18.911477528818015,1343.5,False,0.0
iLTM,Tuned + Ens.,Foundation Model,510.04907828493447,21108.97590338563,18.310052721379186,1342.8,False,0.0
TabDPT,Tuned,Foundation Model,39.789464971552704,7432.953711946813,18.401566061519418,1337.0,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.38064266978339717,1580.612883732634,18.2128922307456,1335.7,False,0.0
ModernNCA,Tuned,Neural Network,0.4731015689224996,6288.355238448097,19.16190750451979,1308.2,False,0.0
TabSwift,Default,Foundation Model,0.054771207621121476,2.247178268549817,20.420953190654405,1307.1,False,0.0
XGBoost,Tuned + Ens.,Tree-based,1.6417145040360095,829.4997787901334,19.92401793871573,1305.3,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.5033083204900031,1146.8725353506861,20.415528721196065,1303.9,False,0.0
CatBoost,Default,Tree-based,0.04049501513000159,7.3166111387389945,19.826364812563906,1300.6,False,0.0
ChimeraBoost,Tuned,Tree-based,0.04218844630661929,1146.8725353506861,20.718645662291316,1300.4,False,0.0
xRFM,Tuned + Ens.,Other,2.0671352108723013,1165.308814623592,19.89504080523637,1299.3,False,0.0
LightGBM,Tuned,Tree-based,0.2819017032376655,774.792267950359,19.856359226209793,1295.5,False,0.0
XGBoost,Tuned,Tree-based,0.24104020429805,829.4997787901334,20.1063215451649,1284.3,False,0.0
TabM,Default,Neural Network,0.36718537452519845,9.936710759997368,20.887022249652993,1281.0,False,0.0
EBM,Tuned + Ens.,Tree-based,0.16529027706764798,2068.2009167512083,20.72215259752846,1280.7,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,9.384570834031301,6288.355238448097,20.673828671227916,1272.0,False,0.0
iLTM,Tuned,Foundation Model,120.29741498592882,21108.97590338563,19.8217287164885,1271.5,False,0.0
SAP-RPT-OSS,Default,Foundation Model,1.6402183396128311,13.40891936746966,21.917353851571406,1269.8,False,0.0
RealMLP,Default,Neural Network,4.032651740482612,14.588108605706886,20.89348636363619,1250.2,False,0.0
xRFM,Tuned,Other,0.10530142553006287,1165.308814623592,21.006897054511168,1240.6,False,0.0
EBM,Default,Tree-based,0.0218718174324596,7.269331273082633,21.846456165594617,1240.4,False,0.0
ChimeraBoost,Default,Tree-based,0.056060976361517356,6.072961514526461,22.774575927601486,1239.7,False,0.0
EBM,Tuned,Tree-based,0.020083599155602327,2068.2009167512083,21.491447167922722,1237.1,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.4197072159983493,2895.0057162095713,21.19450890591019,1235.8,False,0.0
TabDPT,Default,Foundation Model,39.921498930254316,51.78648626613558,21.209959230523527,1235.0,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,7.35220098087839,1425.5943698968208,23.649239677802107,1194.7,False,0.0
TorchMLP,Tuned,Neural Network,0.144904018997743,2895.0057162095713,23.116654513913808,1189.9,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,1.1866680852004459,669.3008326263896,23.504060979829305,1177.8,False,0.0
ModernNCA,Default,Neural Network,0.3522751419580875,14.2190891969949,24.793846396224342,1176.5,False,0.0
ExtraTrees,Tuned,Tree-based,0.166446595476499,669.3008326263896,24.823302691280194,1153.1,False,0.0
XGBoost,Default,Tree-based,0.1903629660606384,2.8478128159135836,23.4915393031155,1143.0,False,0.0
FastaiMLP,Tuned,Neural Network,0.5609692073987265,1425.5943698968208,25.025984271366415,1137.6,False,0.0
LightGBM,Default,Tree-based,0.1925833077793277,3.271423486239484,23.812156472120407,1134.2,False,0.0
TabSTAR,Tuned,Foundation Model,5.273055240511894,45012.00334355452,25.735644222237685,1133.0,False,0.0
RandomForest,Tuned + Ens.,Tree-based,1.1552648935524672,562.0823628399186,24.916896721628262,1131.7,False,0.0
TabSTAR,Tuned + Ens.,Foundation Model,21.33951641050576,45012.00334355452,26.002737508590318,1124.6,False,0.0
iLTM,Default,Foundation Model,146.7883490527018,454.82919859238507,25.949413798292614,1099.9,False,0.0
OrionMSP,Default,Foundation Model,2.601469017779671,15.581609287432261,26.326936626406987,1096.9,False,0.0
RandomForest,Tuned,Tree-based,0.1381316579613108,562.0823628399186,25.810303656807644,1095.7,False,0.0
PerpetualBooster,Tuned + Ens.,Tree-based,0.6959068700898764,399.2771714041158,31.69325701978932,1091.2,False,0.0
PerpetualBooster,Tuned,Tree-based,0.18389503315934946,399.2771714041158,33.251699990927975,1041.6,False,0.0
TabSTAR,Default,Foundation Model,5.722691648977711,461.8626497906332,32.2145644261775,1041.4,False,0.0
TorchMLP,Default,Neural Network,0.1954804980236451,9.061031423509121,28.54596947831112,1023.6,False,0.0
ExtraTrees,Default,Tree-based,0.5968426683527703,3.760884370758124,29.95397489188005,1010.2,False,0.0
TabFlex,Default,Foundation Model,0.5190992166198813,2.4480622254755806,30.752531050821823,1010.2,False,0.0
xRFM,Default,Other,0.8352682059180792,5.4303046312613175,28.9565162773274,1009.6,False,0.0
RandomForest,Default,Tree-based,0.0698340289458212,0.45977880035673785,31.01806759140463,1000.0,False,0.0
FastaiMLP,Default,Neural Network,0.6011123119103123,5.032524631491729,28.62007591645411,990.7,False,0.0
PerpetualBooster,Default,Tree-based,0.049778251781076345,48.103817459306626,37.91224913846233,976.6,False,0.0
