#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),2206.0,+281/-80,0.899,2.85,1.64,1.437,40.79,6.492,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1968.0,+167/-110,0.739,6.85,4.24,2.497,7.92,0.786,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1932.0,+296/-156,0.697,7.77,3.14,2.298,4.02,0.398,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M),1913.0,+186/-104,0.676,8.31,3.97,3.089,11.81,2.007,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1884.0,+228/-148,0.64,9.15,6.06,2.751,2043.54,8.366,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1880.0,+175/-65,0.627,9.31,6.06,3.42,8.44,0.7,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[Nori (default)](https://github.com/Synthefy/synthefy-nori),1828.0,+206/-114,0.6,11.0,5.78,4.144,6.86,1.346,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1824.0,+261/-104,0.592,11.15,3.99,4.034,7126.67,336.907,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1768.0,+197/-85,0.549,13.23,8.68,4.536,7126.67,38.573,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1765.0,+183/-146,0.543,13.38,8.29,3.681,2043.54,0.78,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1735.0,+311/-158,0.585,14.62,4.88,4.401,1.32,0.122,✔️,0.0,False,GPU,model,
11,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1707.0,+107/-58,0.45,15.85,14.49,5.724,4057.31,10.474,✔️,0.0,False,GPU,model,
12,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1678.0,+160/-90,0.45,17.15,13.69,5.458,2.02,0.183,➖,0.0,False,GPU,model,
13,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1658.0,+208/-168,0.443,18.08,11.63,5.134,6.94,0.519,✔️,0.0,False,GPU,model,
14,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1654.0,+212/-96,0.439,18.31,11.5,5.686,44.65,38.297,✔️,0.0,False,GPU,model,
15,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1617.0,+184/-168,0.399,20.08,7.37,8.193,3811.61,7.581,✔️,0.0,False,GPU,model,
16,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1576.0,+89/-84,0.243,22.15,19.66,8.821,686.5,5.477,✔️,0.0,False,CPU,model,
17,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1572.0,+136/-149,0.337,22.38,17.92,6.869,4057.31,0.337,✔️,0.0,False,GPU,model,
18,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1535.0,+107/-79,0.196,24.31,19.97,8.565,2267.19,0.422,✔️,0.0,False,CPU,model,
19,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1527.0,+145/-103,0.28,24.77,20.9,7.993,708.95,1.973,✔️,0.0,False,GPU,model,
20,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1522.0,+92/-71,0.197,25.0,19.83,8.599,2267.19,0.046,✔️,0.0,False,CPU,model,
21,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1520.0,+144/-96,0.272,25.15,20.86,7.192,3448.73,2.111,✔️,0.0,False,GPU,model,
