#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1715.0,+168/-138,0.865,8.46,1.75,4.54,38.57,6.317,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1715.0,+100/-70,0.772,8.48,3.47,10.163,5.71,0.488,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1613.0,+98/-75,0.629,12.84,5.62,12.986,7.17,0.407,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1580.0,+88/-76,0.555,14.59,6.86,13.178,2289.39,8.114,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1574.0,+79/-66,0.563,14.96,7.97,14.054,6.26,0.539,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1565.0,+70/-68,0.545,15.44,9.25,14.042,6.08,0.762,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1563.0,+74/-66,0.539,15.54,7.48,13.945,2289.39,1.253,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1561.0,+91/-80,0.604,15.7,6.03,13.506,3.22,0.167,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[Mitra (default)](https://arxiv.org/abs/2510.21204) [7.14% IMPUTED],1470.0,+86/-73,0.426,21.72,10.77,17.536,144.31,3.769,✔️,7.14,True,GPU,model,
9,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [7.14% IMPUTED],1469.0,+81/-73,0.412,21.79,10.41,17.251,3303.01,45.78,✔️,7.14,True,GPU,model,
10,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1457.0,+75/-78,0.393,22.67,10.47,16.217,27.77,5.044,➖,0.0,False,GPU,model,
11,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1446.0,+67/-50,0.338,23.52,13.89,17.329,3423.61,18.933,✔️,0.0,False,GPU,model,
12,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1424.0,+60/-61,0.344,25.18,10.63,18.029,4.35,0.169,➖,0.0,False,GPU,model,
13,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1421.0,+63/-53,0.301,25.41,12.46,18.279,2469.48,3.418,✔️,0.0,False,GPU,model,
14,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564) [7.14% IMPUTED],1403.0,+73/-55,0.311,26.88,14.51,18.9,8.89,1.714,✔️,7.14,True,GPU,model,
15,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1398.0,+62/-59,0.303,27.26,12.86,18.209,5271.47,231.832,✔️,0.0,False,GPU,model,
16,🧠⚡,Foundation Model,[TabPFNv2 (tuned)](https://www.nature.com/articles/s41586-024-08328-6) [7.14% IMPUTED],1394.0,+97/-74,0.32,27.61,12.74,19.486,3303.01,0.929,✔️,7.14,True,GPU,model,
17,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1385.0,+61/-50,0.291,28.37,16.62,19.633,331.0,2.359,➖,0.0,False,GPU,model,
18,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1374.0,+52/-60,0.242,29.26,13.92,19.122,2469.48,0.408,✔️,0.0,False,GPU,model,
19,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1373.0,+47/-37,0.202,29.4,21.47,19.366,735.37,1.9,✔️,0.0,False,CPU,model,
20,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1368.0,+59/-54,0.242,29.83,16.15,18.841,3423.61,1.533,✔️,0.0,False,GPU,model,
21,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1367.0,+72/-61,0.266,29.9,13.4,18.913,5271.47,33.978,✔️,0.0,False,GPU,model,
22,🧠⚡,Foundation Model,[TabPFNv2 (default)](https://www.nature.com/articles/s41586-024-08328-6) [7.14% IMPUTED],1361.0,+78/-68,0.297,30.41,14.31,20.406,4.15,0.42,✔️,7.14,True,GPU,model,
23,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1348.0,+47/-33,0.165,31.55,23.79,19.736,735.37,0.311,✔️,0.0,False,CPU,model,
