method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
CatBoost,Tree-based,2.8843766068984715,0.009504704347651228,9.00115855100929,1526.3,1.0,False,0.0
CatBoost,Tree-based,8.252819391075155,0.04816633132781238,8.78174266175397,1545.7,2.0,False,0.0
CatBoost,Tree-based,21.662666574060783,0.11636704586301569,8.560019223649613,1585.5,5.0,False,0.0
CatBoost,Tree-based,44.16048090245374,0.1729198823681343,8.463673015530144,1593.6,10.0,False,0.0
CatBoost,Tree-based,109.08169982931913,0.21757393367016692,8.3283713253061,1613.8,25.0,False,0.0
CatBoost,Tree-based,221.6369492763141,0.26941492783209603,8.279220051639655,1623.7,50.0,False,0.0
CatBoost,Tree-based,453.4873826917888,0.31970633179046065,8.248225451152205,1633.2,100.0,False,0.0
CatBoost,Tree-based,679.1817937830775,0.340735055101516,8.242254590451994,1633.4,150.0,False,0.0
CatBoost,Tree-based,912.756170214365,0.344857002822471,8.235942504390293,1634.3,201.0,False,0.0
ChimeraBoost,Tree-based,0.7917380896017114,0.06034322641308609,8.549891227928175,1530.1,1.0,False,0.0
ChimeraBoost,Tree-based,1.6585953207907171,0.10742602903559534,8.614321421585473,1515.9,2.0,False,0.0
ChimeraBoost,Tree-based,3.8933412338260727,0.20611011666228912,8.533706543829986,1532.7,5.0,False,0.0
ChimeraBoost,Tree-based,7.840139953985324,0.3217919783220349,8.34465935221048,1570.7,10.0,False,0.0
ChimeraBoost,Tree-based,21.246637329475483,0.4957508917070558,8.125045535625972,1604.0,25.0,False,0.0
ChimeraBoost,Tree-based,43.39078891871665,0.6231002541823641,7.995800438422654,1620.4,50.0,False,0.0
ChimeraBoost,Tree-based,85.9748575856677,0.7203073384307722,7.889459189564621,1641.2,100.0,False,0.0
ChimeraBoost,Tree-based,128.5785503185945,0.7622522051616382,7.839176846649036,1652.6,150.0,False,0.0
ChimeraBoost,Tree-based,172.79633460877994,0.791558814481934,7.813621458348178,1659.0,201.0,False,0.0
EBM,Tree-based,2.363335295009983,0.005393269296148335,17.052480676635813,976.4,1.0,False,0.0
EBM,Tree-based,10.571594746056608,0.010637588972269102,16.707833540425653,988.5,2.0,False,0.0
EBM,Tree-based,33.62478780808067,0.02115155336776753,16.39601912021755,1012.4,5.0,False,0.0
EBM,Tree-based,62.935743864134764,0.030664845299967197,16.25214621001444,1034.4,10.0,False,0.0
EBM,Tree-based,154.73477422777148,0.043386114852681026,16.019428900397024,1057.5,25.0,False,0.0
EBM,Tree-based,312.6511755596259,0.05221521515562861,15.935522682249879,1076.6,50.0,False,0.0
EBM,Tree-based,608.0045919754671,0.062795575197969,15.86640504769228,1088.7,100.0,False,0.0
EBM,Tree-based,896.9079641690743,0.06766161426555278,15.840663867837751,1099.4,150.0,False,0.0
EBM,Tree-based,1213.9718626454971,0.07020908501721168,15.822044439518551,1109.1,201.0,False,0.0
EXAONE-Tabular,Foundation Model,5.938352790523042,1.2190337778571498,2.152537045422164,2174.8,1.0,False,0.0
ExtraTrees,Tree-based,0.778843591178295,0.07818721023538439,14.116871481001,971.2,1.0,False,0.0
