method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,6.9905568693959435,40.79265625990497,3.9429047181086476,1792.9,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.6229814973849696,6.17219816468856,6.527245171883749,1749.1,False,0.0
TabPFN-3,Default,Foundation Model,0.3949105739593506,3.587723779678345,8.540599924058192,1643.6,False,0.0
TabPFN-2.6,Default,Foundation Model,0.6004352740642735,5.7520413761816656,9.881808993438295,1612.9,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,9.78536531329155,2059.944379267618,8.76193310014867,1600.1,False,0.0
TabICLv2,Default,Foundation Model,0.14638646135052433,1.9632436902389914,10.422129210106615,1555.0,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.029697246849537,2059.944379267618,10.679036034088236,1547.2,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.6105561478439298,5.715304781276978,11.021711128114038,1522.7,False,0.0
RealMLP,Tuned + Ens.,Neural Network,13.886056212604348,2791.968339925578,12.579711675466243,1489.6,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,386.15846800552595,6155.037720286846,13.525115416592207,1422.9,False,0.0
RealMLP,Tuned,Neural Network,0.3727607920690236,2791.968339925578,13.89326648073577,1415.7,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.18293855083150673,2.0183513985425856,14.230700299769719,1413.4,False,0.0
TabM,Tuned + Ens.,Neural Network,1.988117539845753,2462.0152230262756,14.238444364187208,1400.9,False,0.0
LightGBM,Tuned + Ens.,Tree-based,2.2357814013957977,416.62818478752655,15.152885932992504,1396.0,False,0.0
CatBoost,Tuned,Tree-based,0.03670197522308066,1347.318981955663,14.095054752787476,1390.7,False,0.0
iLTM,Tuned + Ens.,Foundation Model,397.8816919075777,12741.093915793572,14.623598924306677,1388.7,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.36419302225112915,1347.318981955663,14.349989490184637,1388.4,False,0.0
TabDPT,Tuned,Foundation Model,39.45151534080505,6155.037720286846,14.883064651835355,1377.3,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.5218088032004838,518.4647612375757,15.657239315126755,1366.9,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,7.734500125465747,4618.502341732761,15.429301492653472,1365.2,False,0.0
