method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,5.422616004943848,37.34317715397946,2.8428749586893,1780.0,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.4354066472172521,5.893338833484405,9.755467545664425,1679.4,False,0.0
TabPFN-3,Default,Foundation Model,0.36081808359209216,4.664900883805328,11.424737991834027,1609.1,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.5499649047851562,5.53612554711955,13.105995814037149,1592.4,False,0.0
TabICLv2,Default,Foundation Model,0.1509533846442075,1.9632436902389914,12.161655631466358,1546.4,False,0.0
TabPFN-2.6,Default,Foundation Model,0.434011203635244,5.7520413761816656,12.542590006931128,1545.6,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,9.78536531329155,2125.173551738262,12.980982139749164,1535.3,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,0.8814794062663301,2125.173551738262,13.383134303719288,1511.7,False,0.0
LimiX,Default,Foundation Model,4.518706544401682,19.329239343474523,14.608168144400297,1455.8,False,0.0
RealMLP,Tuned + Ens.,Neural Network,23.932885736134768,2791.968339925578,15.710479202036506,1451.2,False,0.0
TabPFNv2,Tuned + Ens.,Foundation Model,52.28060531616211,3277.293785134122,16.324434049302962,1415.7,True,4.761904761904762
TabDPT-Turbo,Default,Foundation Model,0.1160046100616455,2.397422575950623,15.971587986680163,1406.5,False,0.0
Mitra,Default,Foundation Model,3.952791984068519,145.42008468669144,16.651754155150343,1401.6,True,4.761904761904762
RealMLP,Tuned,Neural Network,0.543432462651302,2791.968339925578,17.147842989881777,1385.5,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,408.77185049644316,6619.828788936138,15.809030799725917,1370.5,False,0.0
TabICL,Default,Foundation Model,1.8107806365502062,7.682199329197478,16.142034016002814,1361.9,True,4.761904761904762
TabM,Tuned + Ens.,Neural Network,2.0417782615144295,2289.512429072706,17.744329470287656,1346.6,False,0.0
BetaTabPFN,Default,Foundation Model,2.0361740110776974,298.4715930877193,19.050855459418344,1344.9,False,0.0
iLTM,Tuned + Ens.,Foundation Model,500.78276574611664,15318.17132971287,17.43701461311797,1344.3,False,0.0
TabPFNv2,Tuned,Foundation Model,0.5115386633397309,3277.293785134122,18.557709702648452,1343.5,True,4.761904761904762
TabSwift,Default,Foundation Model,0.052406459561644594,1.2131979048228234,18.06864762574992,1338.4,False,0.0
TabDPT,Tuned,Foundation Model,39.7095967460652,6619.828788936138,16.987359215012518,1337.0,False,0.0
LightGBM,Tuned + Ens.,Tree-based,1.169697460360937,512.2070722627935,18.495711062159977,1314.3,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.46146392822265625,689.4997442722321,19.00824995056131,1313.5,False,0.0
TabM,Tuned,Neural Network,0.25850059804652054,2289.512429072706,18.688744124152393,1312.1,False,0.0
CatBoost,Tuned,Tree-based,0.036242902278900146,1228.6932168834373,18.27196271122165,1309.4,False,0.0
ChimeraBoost,Tuned,Tree-based,0.03670520782470703,689.4997442722321,19.42463401308302,1308.6,False,0.0
CatBoost,Default,Tree-based,0.024788761138916014,3.7764615780059767,18.85531004598421,1302.3,False,0.0
ModernNCA,Tuned,Neural Network,0.42551868778944163,4618.502341732761,18.269050603556895,1300.4,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.3334156390582197,1228.6932168834373,18.721639318714267,1298.0,False,0.0
TabPFNv2,Default,Foundation Model,0.5429839611053467,4.157762297764809,19.759666346586243,1287.2,True,4.761904761904762
XGBoost,Tuned + Ens.,Tree-based,0.742839664728392,700.9607998746845,19.670399801940793,1282.1,False,0.0
EBM,Tuned + Ens.,Tree-based,0.14733505249023438,1364.2004288287612,19.54575931285619,1275.3,False,0.0
RealMLP,Default,Neural Network,2.459864756948771,11.093408590468655,19.236661685122428,1273.7,False,0.0
iLTM,Tuned,Foundation Model,75.13813476075329,15318.17132971287,19.02225522231455,1273.7,False,0.0
xRFM,Tuned + Ens.,Other,1.7378187563020098,536.3421035528183,19.660735555510968,1262.5,False,0.0
XGBoost,Tuned,Tree-based,0.2027324806454698,700.9607998746845,20.005713353963475,1257.2,False,0.0
TabM,Default,Neural Network,0.2622436543576685,6.80407586481549,20.039954704057592,1255.3,False,0.0
LightGBM,Tuned,Tree-based,0.12201815843582153,512.2070722627935,19.71856113119831,1254.2,False,0.0
SAP-RPT-OSS,Default,Foundation Model,1.7241354212062205,8.99068836173558,21.702197406868347,1250.5,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,9.218181133270264,4618.502341732761,20.382157580570944,1250.0,False,0.0
EBM,Default,Tree-based,0.016650456024028197,6.107281683768495,20.4725304334208,1243.0,False,0.0
ChimeraBoost,Default,Tree-based,0.05107126235961914,4.230039954185486,21.109052037893505,1241.2,False,0.0
TabDPT,Default,Foundation Model,39.809649863328275,52.041988434806605,19.531642942632345,1241.2,False,0.0
EBM,Tuned,Tree-based,0.016952513772301243,1364.2004288287612,20.058549175284046,1240.1,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.54556020702409,2535.731066816156,20.089548448175876,1223.0,False,0.0
xRFM,Tuned,Other,0.09693056344985962,536.3421035528183,20.66359522640393,1213.4,False,0.0
ModernNCA,Default,Neural Network,0.32924803204129616,13.401097951725841,22.873610497365537,1196.0,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,5.615779757499695,650.7592051506043,22.887360700553497,1176.0,False,0.0
TorchMLP,Tuned,Neural Network,0.11152923107147217,2535.731066816156,21.973547782113638,1174.3,False,0.0
TabSTAR,Tuned,Foundation Model,4.556945753469892,44524.424805134484,23.607533980051297,1166.1,False,0.0
TabSTAR,Tuned + Ens.,Foundation Model,20.330152882570562,44524.424805134484,23.8469729029873,1158.1,False,0.0
PerpetualBooster,Tuned + Ens.,Tree-based,0.3495945280919503,196.17866902453775,24.506240371337697,1146.0,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,0.9410076245115744,349.0651424646378,23.401188271970643,1136.2,False,0.0
FastaiMLP,Tuned,Neural Network,0.4413511276245117,650.7592051506043,24.061147775021592,1134.2,False,0.0
iLTM,Default,Foundation Model,85.39170699119568,335.8028740882874,24.12773178459578,1128.3,False,0.0
XGBoost,Default,Tree-based,0.12183857766160212,1.9818637577741876,23.122917777512665,1128.0,False,0.0
ExtraTrees,Tuned,Tree-based,0.09102700325438214,349.0651424646378,24.1084332885649,1125.1,False,0.0
OrionMSP,Default,Foundation Model,2.577705681324005,13.99284517664789,23.668416247510088,1122.0,False,0.0
LightGBM,Default,Tree-based,0.16822549622431052,2.473632092524141,23.30680418380399,1099.4,False,0.0
PerpetualBooster,Tuned,Tree-based,0.12117549777030945,196.17866902453775,25.286350106660198,1097.4,False,0.0
TabSTAR,Default,Foundation Model,5.4449928547155695,439.90206255912784,28.459712264516572,1093.9,False,0.0
RandomForest,Tuned + Ens.,Tree-based,0.9355489781360753,494.69955654016564,25.058501383402238,1090.9,False,0.0
RandomForest,Tuned,Tree-based,0.0927957297099678,494.69955654016564,25.71188793375058,1059.9,False,0.0
TabFlex,Default,Foundation Model,0.1485826053443167,1.291596293449402,27.532175080582444,1048.6,False,0.0
PerpetualBooster,Default,Tree-based,0.03035992606851533,27.028404623270035,29.723591957659124,1023.3,False,0.0
ExtraTrees,Default,Tree-based,0.37351078188358827,1.9832837820053102,27.822902252537624,1019.9,False,0.0
TorchMLP,Default,Neural Network,0.14645372118268696,7.7572571145056015,27.232217691812206,1015.2,False,0.0
RandomForest,Default,Tree-based,0.04052905784304447,0.3945714661053249,28.427950675748974,1000.0,False,0.0
FastaiMLP,Default,Neural Network,0.4267781723767611,3.477602985304624,26.699096533063422,992.9,False,0.0
xRFM,Default,Other,0.7017648220062256,2.6626901865005497,29.545749232962347,948.5,False,0.0
