#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),2168.0,+241/-72,0.902,2.92,1.65,1.437,40.79,6.492,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1919.0,+176/-109,0.739,7.38,4.3,2.497,7.92,0.786,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1897.0,+265/-145,0.703,8.0,3.15,2.298,4.02,0.398,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M),1881.0,+162/-88,0.682,8.46,4.02,3.089,11.81,2.007,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1849.0,+208/-136,0.644,9.46,6.13,2.751,2043.54,8.366,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1847.0,+151/-52,0.632,9.54,6.24,3.42,8.44,0.7,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[Nori (default)](https://github.com/Synthefy/synthefy-nori),1796.0,+170/-105,0.607,11.31,5.92,4.144,6.86,1.346,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1786.0,+220/-96,0.595,11.69,4.06,4.034,7126.67,336.907,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1731.0,+154/-71,0.552,13.92,9.04,4.536,7126.67,38.573,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1727.0,+165/-128,0.546,14.08,8.44,3.681,2043.54,0.78,✔️,0.0,False,GPU,model,
