method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
CatBoost,Tree-based,8.462590335549091,0.0455896073914258,18.181345299775504,1332.5,1.0,False,0.0
CatBoost,Tree-based,20.346193555734267,0.09660970481496081,17.587746755265567,1359.4,2.0,False,0.0
CatBoost,Tree-based,49.72308624090884,0.18065285816060878,17.224634024536307,1378.3,5.0,False,0.0
CatBoost,Tree-based,92.48508500945157,0.23983440670665684,17.091881820208556,1384.0,10.0,False,0.0
CatBoost,Tree-based,216.01313992020846,0.2815893316185425,16.989146533366988,1387.5,25.0,False,0.0
CatBoost,Tree-based,428.4029173434785,0.31791456478804925,16.992942757486716,1386.6,50.0,False,0.0
CatBoost,Tree-based,862.8837988810473,0.38060021065068383,17.01084831881462,1385.1,100.0,False,0.0
CatBoost,Tree-based,1291.843839644664,0.38736151225316695,17.035066489285068,1383.5,150.0,False,0.0
CatBoost,Tree-based,1739.1690497297914,0.39602676030046535,17.041381594145218,1382.4,201.0,False,0.0
ChimeraBoost,Tree-based,6.780963985515493,0.05166768540156222,20.262757495460402,1253.3,1.0,False,0.0
ChimeraBoost,Tree-based,13.430424786190548,0.08825263721247514,19.99742783974915,1265.1,2.0,False,0.0
ChimeraBoost,Tree-based,33.23250426055775,0.16076631904432953,19.845505836051398,1272.5,5.0,False,0.0
ChimeraBoost,Tree-based,66.20276568615367,0.2347293154207474,19.699166147000234,1280.7,10.0,False,0.0
ChimeraBoost,Tree-based,166.0236478823104,0.3064461822311083,19.37073727897301,1296.5,25.0,False,0.0
ChimeraBoost,Tree-based,332.48812000085377,0.3635441177835067,19.200420022466496,1305.0,50.0,False,0.0
ChimeraBoost,Tree-based,664.9694359809781,0.4094499372007946,18.99580426504319,1314.6,100.0,False,0.0
ChimeraBoost,Tree-based,997.2555270243791,0.43802272874944986,18.914300834521008,1318.1,150.0,False,0.0
ChimeraBoost,Tree-based,1336.026360264314,0.45956162045448645,18.89786807933759,1318.9,201.0,False,0.0
EBM,Tree-based,7.388420291453219,0.017156058727181196,21.23302564119121,1208.8,1.0,False,0.0
EBM,Tree-based,19.13979943869537,0.033315531949338485,20.95707417922251,1219.8,2.0,False,0.0
EBM,Tree-based,59.65680170213522,0.06020202098143048,20.594539451890476,1238.9,5.0,False,0.0
EBM,Tree-based,123.90743183396125,0.07941086088006653,20.442616697928234,1246.8,10.0,False,0.0
EBM,Tree-based,318.46001064068014,0.10750903547065471,20.240530904311356,1254.9,25.0,False,0.0
EBM,Tree-based,623.1113495162684,0.12378308877985164,20.09921772347053,1262.3,50.0,False,0.0
EBM,Tree-based,1256.5403166692183,0.14405226317495906,19.98964077966983,1267.3,100.0,False,0.0
EBM,Tree-based,1885.0271107114127,0.14697197529268866,19.95043390515977,1270.4,150.0,False,0.0
EBM,Tree-based,2499.3997394448907,0.1440681396038307,19.923199354860017,1271.9,201.0,False,0.0
EXAONE-Tabular,Foundation Model,6.503274935875951,0.5508149180823022,8.536720809172932,1764.8,1.0,False,0.0
ExtraTrees,Tree-based,4.194175284298607,0.5663988088013532,27.634859135939404,1020.7,1.0,False,0.0
ExtraTrees,Tree-based,8.720078438945333,0.7011757791959015,25.916816561639934,1061.9,2.0,False,0.0
ExtraTrees,Tree-based,21.685275973670596,0.7330007012763398,23.480727430648784,1129.8,5.0,False,0.0
ExtraTrees,Tree-based,43.12316999769439,0.7428670659282961,22.65585967883909,1171.5,10.0,False,0.0
ExtraTrees,Tree-based,107.39538737179987,1.018855954643115,22.04628407463555,1203.5,25.0,False,0.0
ExtraTrees,Tree-based,210.06024633928405,1.2214373513463619,21.88616170042985,1213.6,50.0,False,0.0
ExtraTrees,Tree-based,412.0764862110399,1.4038021731459822,21.782511805615442,1219.8,100.0,False,0.0
ExtraTrees,Tree-based,614.240675925616,1.462695758694767,21.723132545805175,1224.6,150.0,False,0.0
ExtraTrees,Tree-based,822.5846846042664,1.501127939369875,21.713704166702808,1225.1,201.0,False,0.0
FastaiMLP,Neural Network,5.483894573958628,0.6842938244078286,26.90893413217005,1004.6,1.0,False,0.0
FastaiMLP,Neural Network,14.530250474180118,1.4234649143152087,25.63627997553865,1045.7,2.0,False,0.0
FastaiMLP,Neural Network,42.06854030037134,2.70863815575737,23.574544348404572,1120.1,5.0,False,0.0
FastaiMLP,Neural Network,79.19690331067542,3.9064906778565582,22.611917980617875,1158.1,10.0,False,0.0
FastaiMLP,Neural Network,202.91650957601354,5.517691743805193,21.73522206312443,1190.8,25.0,False,0.0
FastaiMLP,Neural Network,413.0147999434225,6.825523560748225,21.332867706470143,1208.2,50.0,False,0.0
FastaiMLP,Neural Network,829.4495951905283,7.579914014700657,21.05069210922017,1217.9,100.0,False,0.0
FastaiMLP,Neural Network,1248.122171700538,7.913305846749778,20.872767727332644,1224.8,150.0,False,0.0
FastaiMLP,Neural Network,1679.3959423676156,8.077227734441916,20.769328050875373,1228.7,201.0,False,0.0
LightGBM,Tree-based,3.608651599211503,0.1695753132718836,21.21967073164307,1166.9,1.0,False,0.0
LightGBM,Tree-based,8.865955424310329,0.7271936335358054,19.329456706048795,1255.9,2.0,False,0.0
LightGBM,Tree-based,21.921505878230747,1.165245524912983,18.155692305482805,1330.1,5.0,False,0.0
LightGBM,Tree-based,43.593394992671044,1.4098790833754133,17.663331883341982,1361.4,10.0,False,0.0
LightGBM,Tree-based,110.8314003139697,1.8172136653942288,17.29817061630366,1386.5,25.0,False,0.0
LightGBM,Tree-based,222.35789421136602,2.0744273860536486,17.177181515823257,1395.7,50.0,False,0.0
LightGBM,Tree-based,444.73169339543847,2.3211352586207132,17.030642601137757,1404.9,100.0,False,0.0
LightGBM,Tree-based,664.9958936778935,2.425276738483371,16.969176035519972,1408.3,150.0,False,0.0
LightGBM,Tree-based,892.4854074789564,2.5817474842043104,16.93246057990511,1409.7,201.0,False,0.0
LimiX,Foundation Model,35.50961056314309,6.828482678301318,15.121247520220631,1422.9,1.0,False,0.0
ModernNCA,Neural Network,16.279623910227823,0.32060068900263267,21.20161673669386,1248.3,1.0,False,0.0
ModernNCA,Neural Network,54.21648382537063,0.8565664694763102,19.97965810410663,1273.8,2.0,False,0.0
ModernNCA,Neural Network,158.53994120196415,1.9156693463145684,18.033673459511146,1349.2,5.0,False,0.0
ModernNCA,Neural Network,318.0880622722443,2.785843758633247,17.6214458575472,1366.7,10.0,False,0.0
ModernNCA,Neural Network,784.3400464923684,4.219514475452051,17.200971951016815,1383.8,25.0,False,0.0
ModernNCA,Neural Network,1619.6093744476316,5.574964791511255,17.396212275594866,1373.5,50.0,False,0.0
ModernNCA,Neural Network,3239.1118632438247,7.063712430292479,17.812923562438137,1357.1,100.0,False,0.0
ModernNCA,Neural Network,4838.988606911565,7.8596602241219475,18.12313102878504,1345.2,150.0,False,0.0
ModernNCA,Neural Network,6523.550336157642,8.384898189151137,18.29831875540518,1337.0,201.0,False,0.0
PerpetualBooster,Tree-based,39.09071168560041,0.040657078690582577,33.29779520781744,943.6,1.0,False,0.0
PerpetualBooster,Tree-based,114.19680170724877,0.3252722557923411,31.17310847954403,1004.5,2.0,False,0.0
PerpetualBooster,Tree-based,285.35259642784723,0.7833048920276815,28.64337751395254,1083.9,5.0,False,0.0
PerpetualBooster,Tree-based,342.03900946680346,0.8948102983830184,28.452471403541622,1091.0,6.0,False,0.0
RandomForest,Tree-based,0.5088535014091562,0.08856487680890945,28.417784885596774,999.4,1.0,False,0.0
RandomForest,Tree-based,3.3556051422440136,0.274181271644493,26.116896856973405,1045.1,2.0,False,0.0
RandomForest,Tree-based,12.849220132990748,0.4818339926449089,24.828125895063977,1080.0,5.0,False,0.0
RandomForest,Tree-based,27.96770195892894,0.678992572925596,24.073515133688193,1110.1,10.0,False,0.0
RandomForest,Tree-based,70.75466255009994,0.8688853999623392,23.53151936328772,1143.9,25.0,False,0.0
RandomForest,Tree-based,143.98648318866492,1.0449947563121842,23.3982953657074,1152.2,50.0,False,0.0
RandomForest,Tree-based,290.43930986552186,1.2523875096341897,23.31177489197932,1157.3,100.0,False,0.0
RandomForest,Tree-based,439.37065780631167,1.373768748735566,23.275610537015755,1159.3,150.0,False,0.0
RandomForest,Tree-based,590.0394439850668,1.459960166778112,23.258773059139543,1160.5,201.0,False,0.0
RealMLP,Neural Network,15.69323516601608,4.688867646313849,20.002447166262,1226.5,1.0,False,0.0
RealMLP,Neural Network,33.849680863187785,6.699336819048018,17.593913443009125,1331.6,2.0,False,0.0
RealMLP,Neural Network,89.022575403558,10.361104313047106,15.872945743918965,1424.6,5.0,False,0.0
RealMLP,Neural Network,186.9144346810765,12.414049216861697,15.333543505387487,1458.2,10.0,False,0.0
RealMLP,Neural Network,469.4672918764594,14.92712763820984,14.961877094321107,1482.2,25.0,False,0.0
RealMLP,Neural Network,941.4479936377176,17.204325480320684,14.782905250761747,1494.5,50.0,False,0.0
RealMLP,Neural Network,1881.3658212549644,19.31438802167681,14.68226940462271,1499.1,100.0,False,0.0
RealMLP,Neural Network,2818.5782940853887,20.502682004182418,14.621500570146406,1502.9,150.0,False,0.0
RealMLP,Neural Network,3771.8540221067997,21.902496279105236,14.560677633530828,1503.6,201.0,False,0.0
RealTabPFN-2.5,Foundation Model,6.7587899978217045,0.6362272807949252,12.211928448050106,1560.2,1.0,False,0.0
RealTabPFN-2.5,Foundation Model,20.022077391499224,1.3637258308022322,12.106338290361629,1565.2,2.0,False,0.0
RealTabPFN-2.5,Foundation Model,54.35009239022621,2.776795940260542,11.666840735370226,1584.1,5.0,False,0.0
RealTabPFN-2.5,Foundation Model,108.98790128787763,4.002983246839659,11.444971920799492,1602.3,10.0,False,0.0
RealTabPFN-2.5,Foundation Model,284.7684460336686,5.7106402075573115,11.206913486870612,1612.9,25.0,False,0.0
RealTabPFN-2.5,Foundation Model,566.4138152118644,6.793591917858365,11.08799728860711,1616.7,50.0,False,0.0
RealTabPFN-2.5,Foundation Model,1137.2039338041147,7.389127054143678,11.000620776856403,1618.2,100.0,False,0.0
RealTabPFN-2.5,Foundation Model,1710.4116369596145,7.871864394392892,10.972224465142146,1618.1,150.0,False,0.0
RealTabPFN-2.5,Foundation Model,2289.3887157667205,8.353344818085464,10.940548248662205,1616.7,201.0,False,0.0
SAP-RPT-OSS,Foundation Model,16.230459759105607,1.2773508676992504,18.902899113403343,1334.7,1.0,False,0.0
TabDPT,Foundation Model,50.32502415266903,43.707401035938005,17.995937055505408,1345.7,1.0,False,0.0
TabDPT,Foundation Model,73.76989416372965,52.11201629009561,17.292724142263253,1371.9,2.0,False,0.0
TabDPT,Foundation Model,139.81847708335647,66.0787878176586,16.58404574944011,1406.5,5.0,False,0.0
TabDPT,Foundation Model,256.4808826588974,83.6221921836606,16.246230761325293,1423.1,10.0,False,0.0
TabDPT,Foundation Model,631.0078513375786,110.24799428469449,15.67543779311581,1444.3,25.0,False,0.0
TabDPT,Foundation Model,1275.2299790654088,138.47537424399025,15.405597605166744,1455.3,50.0,False,0.0
