method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,5.431932250658671,36.24491429754666,3.0193400339268592,1742.1,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.43607541524486676,5.271826472179165,10.469191215248202,1685.2,False,0.0
TabPFN-3,Default,Foundation Model,0.3744839930077728,3.84587629730259,12.153259589926984,1641.2,False,0.0
TabICLv2,Default,Foundation Model,0.15222672472663104,2.088316620786023,12.428387631084556,1574.1,False,0.0
TabPFN-2.6,Default,Foundation Model,0.4326735826958353,5.482579877802832,13.421137141581326,1563.2,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.5540470708890218,5.962145398916137,14.056134917671436,1558.2,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.252025413513184,2052.2840837184044,13.31281708961369,1550.1,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.2654117447919029,2052.2840837184044,14.048613017134407,1527.1,False,0.0
LimiX,Default,Foundation Model,4.462784518646911,19.824824253007126,16.18006237690033,1437.5,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.11417163213094075,2.2957537094751994,16.464377742745274,1437.1,False,0.0
RealMLP,Tuned + Ens.,Neural Network,15.588518142700195,2950.724447694827,17.61926114472124,1419.2,False,0.0
TabM,Tuned + Ens.,Neural Network,2.70855267121191,2289.9106349320264,17.711112106129924,1409.0,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,268.5791952446735,5351.934348066203,16.718649545543833,1390.4,False,0.0
BetaTabPFN,Default,Foundation Model,1.9820731121689172,317.92182453076043,18.943258581055066,1382.0,False,0.0
TabSwift,Default,Foundation Model,0.051998686889031635,1.2303610878757132,18.44475246953982,1368.4,False,0.0
TabDPT,Tuned,Foundation Model,37.60604917208354,5351.934348066203,17.336773894658283,1360.2,False,0.0
TabM,Tuned,Neural Network,0.2655194186451044,2289.9106349320264,18.59180517467614,1358.7,False,0.0
LightGBM,Tuned + Ens.,Tree-based,1.1797709941864014,512.6694116522284,18.892608167635085,1358.4,False,0.0
LightGBM,Tuned,Tree-based,0.2429152386529105,512.6694116522284,19.318513879005604,1327.9,False,0.0
iLTM,Tuned + Ens.,Foundation Model,543.2330416202544,15277.755542325975,19.179723884170212,1326.5,False,0.0
RealMLP,Tuned,Neural Network,1.2247970898946126,2950.724447694827,19.32836312349493,1325.7,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.3119174080590407,1260.8478030837418,19.689251276959073,1315.4,False,0.0
CatBoost,Default,Tree-based,0.02489617665608724,3.834851186095869,19.78348412983431,1311.6,False,0.0
ModernNCA,Tuned,Neural Network,0.512240264336491,4806.038482271206,19.706548093662953,1310.4,False,0.0
CatBoost,Tuned,Tree-based,0.030745193362236023,1260.8478030837418,19.795056384112307,1309.8,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.4096864377810714,669.2629560311636,20.513025459928905,1301.7,False,0.0
SAP-RPT-OSS,Default,Foundation Model,1.7629525796904568,9.052477944903623,21.445244701005514,1297.9,False,0.0
TabDPT,Default,Foundation Model,43.61099742707752,51.829775869722866,19.773041316607596,1289.1,False,0.0
XGBoost,Tuned + Ens.,Tree-based,1.3974981595857223,693.4907982506384,20.237814736979917,1284.8,False,0.0
xRFM,Tuned + Ens.,Other,2.98316672574395,711.9845683972042,20.324701225186516,1282.2,False,0.0
TabM,Default,Neural Network,0.24828015985846458,6.801680278773833,20.492133814948275,1272.2,False,0.0
ChimeraBoost,Tuned,Tree-based,0.03922400715609569,669.2629560311636,21.03131120924773,1270.9,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.449551224071076,4806.038482271206,20.977570806822886,1268.3,False,0.0
ModernNCA,Default,Neural Network,0.33385469964681086,14.376725566387176,21.868475266112565,1262.2,False,0.0
EBM,Tuned + Ens.,Tree-based,0.15532985245569428,1353.2049878904172,21.14935395422101,1261.6,False,0.0
XGBoost,Tuned,Tree-based,0.19368510866312785,693.4907982506384,20.584493681903172,1259.3,False,0.0
xRFM,Tuned,Other,0.16221764187018076,711.9845683972042,21.176287647036414,1257.8,False,0.0
ChimeraBoost,Default,Tree-based,0.04475821148265492,3.5026047627131147,21.5374847016731,1255.3,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.6194496631622313,2665.4817950504694,20.54167397945362,1254.5,False,0.0
EBM,Tuned,Tree-based,0.017387794390305397,1353.2049878904172,21.65919018060987,1239.2,False,0.0
iLTM,Tuned,Foundation Model,119.283736795187,15277.755542325975,21.777720401481048,1224.4,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,5.973516839140899,644.6819040616354,21.91148870905686,1221.5,False,0.0
EBM,Default,Tree-based,0.017939427531325946,6.673146850898109,22.118244434873024,1220.9,False,0.0
RealMLP,Default,Neural Network,2.2477938016255696,10.896122312545778,21.529550645576304,1219.2,False,0.0
OrionMSP,Default,Foundation Model,2.52001624306043,14.156841214497884,23.075543776712696,1187.1,False,0.0
TorchMLP,Tuned,Neural Network,0.1432880461215973,2665.4817950504694,22.49053992237402,1185.3,False,0.0
TabSTAR,Tuned,Foundation Model,3.9075519342583,34059.64104195823,23.85593442244437,1181.4,False,0.0
TabSTAR,Tuned + Ens.,Foundation Model,18.8114333152771,34059.64104195823,24.006618160059162,1174.7,False,0.0
FastaiMLP,Tuned,Neural Network,0.39772380193074547,644.6819040616354,23.232032314626125,1171.4,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,0.9356355774691733,346.8355167309444,23.71694297904763,1162.1,False,0.0
XGBoost,Default,Tree-based,0.12090298567383721,1.9409389396340444,23.15232402617975,1159.5,False,0.0
ExtraTrees,Tuned,Tree-based,0.07761424382527668,346.8355167309444,24.344579805937062,1144.9,False,0.0
LightGBM,Default,Tree-based,0.12137168645858765,2.442661564832882,23.49741390657434,1133.0,False,0.0
iLTM,Default,Foundation Model,85.05045235951741,335.8142132441203,24.55555240082558,1130.5,False,0.0
PerpetualBooster,Tuned + Ens.,Tree-based,0.9044251985293992,218.3366110642751,25.595013238899533,1111.8,False,0.0
RandomForest,Tuned + Ens.,Tree-based,1.0254370493303897,484.4354636328561,25.47010601500349,1104.5,False,0.0
TabSTAR,Default,Foundation Model,6.640969705581665,460.1168119192124,28.301827063335743,1090.0,False,0.0
PerpetualBooster,Tuned,Tree-based,0.32199131647745766,218.3366110642751,27.072086567696967,1077.0,False,0.0
TabFlex,Default,Foundation Model,0.14996080834248343,1.298556701342265,27.675436733660273,1073.8,False,0.0
RandomForest,Tuned,Tree-based,0.08570543729759783,484.4354636328561,26.03832812691064,1071.6,False,0.0
TorchMLP,Default,Neural Network,0.1303337017695109,9.392408462507385,26.44557779681306,1057.7,False,0.0
FastaiMLP,Default,Neural Network,0.3877560138702392,2.9685174703598025,27.135579874879745,1021.0,False,0.0
ExtraTrees,Default,Tree-based,0.31377814610799154,2.0680378675460815,28.580284104288754,1002.2,False,0.0
RandomForest,Default,Tree-based,0.04082613032435338,0.4188243080587948,28.81230960148318,1000.0,False,0.0
xRFM,Default,Other,0.9186215875564591,3.713786323865255,30.20978660011753,989.4,False,0.0
PerpetualBooster,Default,Tree-based,0.028580506642659504,30.828341085829155,29.28915359962675,972.4,False,0.0
