#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1716.0,+103/-71,0.782,7.75,3.32,10.128,5.71,0.488,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1710.0,+174/-143,0.869,7.92,1.73,4.504,38.57,6.317,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1613.0,+104/-78,0.645,11.75,5.24,12.952,7.17,0.407,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1580.0,+92/-76,0.572,13.34,6.27,13.143,2289.39,8.114,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1576.0,+82/-68,0.581,13.52,7.2,14.02,6.26,0.539,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1567.0,+74/-71,0.563,13.99,8.26,14.006,6.08,0.762,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1565.0,+76/-68,0.558,14.13,6.84,13.91,2289.39,1.253,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1561.0,+95/-84,0.617,14.32,5.57,13.471,3.22,0.167,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1459.0,+79/-77,0.413,20.55,9.61,16.183,27.77,5.044,➖,0.0,False,GPU,model,
9,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1453.0,+72/-53,0.363,20.94,12.68,17.297,3423.61,18.933,✔️,0.0,False,GPU,model,
10,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1430.0,+66/-55,0.33,22.52,11.44,18.247,2469.48,3.418,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1430.0,+64/-62,0.364,22.59,9.7,17.996,4.35,0.169,➖,0.0,False,GPU,model,
12,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1402.0,+63/-59,0.328,24.58,11.96,18.177,5271.47,231.832,✔️,0.0,False,GPU,model,
13,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1392.0,+62/-50,0.311,25.35,14.9,19.6,331.0,2.359,➖,0.0,False,GPU,model,
14,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1382.0,+55/-61,0.271,26.11,12.84,19.09,2469.48,0.408,✔️,0.0,False,GPU,model,
15,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1380.0,+52/-35,0.227,26.28,19.57,19.334,735.37,1.9,✔️,0.0,False,CPU,model,
16,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1374.0,+64/-54,0.258,26.76,14.63,18.81,3423.61,1.533,✔️,0.0,False,GPU,model,
17,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1370.0,+72/-60,0.284,27.06,12.25,18.881,5271.47,33.978,✔️,0.0,False,GPU,model,
18,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1354.0,+47/-34,0.189,28.28,21.5,19.704,735.37,0.311,✔️,0.0,False,CPU,model,
19,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1346.0,+44/-36,0.195,28.9,21.09,19.718,1542.95,0.396,✔️,0.0,False,CPU,model,
20,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1344.0,+60/-58,0.274,29.11,17.31,20.463,2.24,0.055,➖,0.0,False,GPU,model,
21,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1340.0,+49/-50,0.177,29.41,19.89,19.813,21290.02,663.263,✔️,0.0,False,GPU,model,
22,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1336.0,+40/-31,0.179,29.71,21.79,19.973,1542.95,0.044,✔️,0.0,False,CPU,model,
