method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,6.9905568693959435,40.79265625990497,3.8772709238101264,1809.7,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.6229814973849696,6.17219816468856,6.4643364222731865,1777.2,False,0.0
TabPFN-3,Default,Foundation Model,0.3949105739593506,3.587723779678345,8.478576895028862,1664.8,False,0.0
TabPFN-2.6,Default,Foundation Model,0.6004352740642735,5.7520413761816656,9.824299796301034,1636.4,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,9.78536531329155,2059.944379267618,8.701843561805397,1619.3,False,0.0
TabICLv2,Default,Foundation Model,0.14638646135052433,1.9632436902389914,10.358547436895797,1578.8,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.029697246849537,2059.944379267618,10.619176904099676,1566.3,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.6105561478439298,5.715304781276978,10.95753766695163,1542.2,False,0.0
RealMLP,Tuned + Ens.,Neural Network,13.886056212604348,2791.968339925578,12.520245205780464,1518.2,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,386.15846800552595,6155.037720286846,13.461479595313786,1441.1,False,0.0
RealMLP,Tuned,Neural Network,0.3727607920690236,2791.968339925578,13.83353516131086,1438.8,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.18293855083150673,2.0183513985425856,14.167554185952035,1433.9,False,0.0
TabM,Tuned + Ens.,Neural Network,1.988117539845753,2462.0152230262756,14.177222326230215,1425.9,False,0.0
LightGBM,Tuned + Ens.,Tree-based,2.2357814013957977,416.62818478752655,15.097785464512997,1419.9,False,0.0
CatBoost,Tuned,Tree-based,0.03670197522308066,1347.318981955663,14.037693379844349,1413.6,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.36419302225112915,1347.318981955663,14.292530871175721,1411.2,False,0.0
iLTM,Tuned + Ens.,Foundation Model,397.8816919075777,12741.093915793572,14.559441487553759,1410.9,False,0.0
TabDPT,Tuned,Foundation Model,39.45151534080505,6155.037720286846,14.820890298522652,1397.3,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.5218088032004838,518.4647612375757,15.601190597825756,1387.0,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,7.734500125465747,4618.502341732761,15.37252156792171,1386.3,False,0.0
TabM,Tuned,Neural Network,0.2313083311953629,2462.0152230262756,14.846327882749225,1384.7,False,0.0
XGBoost,Tuned + Ens.,Tree-based,1.4381002715497562,700.9607998746845,15.67713237069403,1375.2,False,0.0
LimiX,Default,Foundation Model,6.109529595042384,27.325463414930336,14.563088421679895,1373.0,False,0.0
ChimeraBoost,Tuned,Tree-based,0.04521038266424518,518.4647612375757,16.148041740500584,1362.3,False,0.0
LightGBM,Tuned,Tree-based,0.3811195826851199,416.62818478752655,15.983192239882694,1359.6,False,0.0
CatBoost,Default,Tree-based,0.024788761138916014,5.805220015613909,15.681523836233552,1359.5,False,0.0
ModernNCA,Tuned,Neural Network,0.46952933073043823,4618.502341732761,15.87209095960396,1353.9,False,0.0
TabSwift,Default,Foundation Model,0.06957077285618458,1.1859471422766672,16.011936033615694,1351.0,False,0.0
XGBoost,Tuned,Tree-based,0.2127694573631899,700.9607998746845,15.847840470640149,1349.8,False,0.0
xRFM,Tuned + Ens.,Other,2.0069414377212524,866.1169883185313,15.951435157301136,1344.4,False,0.0
iLTM,Tuned,Foundation Model,60.10085108668305,12741.093915793572,16.173400005724243,1306.4,False,0.0
ChimeraBoost,Default,Tree-based,0.04996058681851744,2.538410960774762,17.53586282435849,1302.4,False,0.0
xRFM,Tuned,Other,0.09700742740075566,866.1169883185313,17.170256918075133,1297.4,False,0.0
TabDPT,Default,Foundation Model,39.404911507607515,45.41610881339672,17.380430326719175,1293.1,False,0.0
TabM,Default,Neural Network,0.2369687802609225,7.805060016481502,17.196262803246093,1288.4,False,0.0
