method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,7.0561792582959235,37.56085286541245,4.119348047861463,1785.4,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.4957583784042041,5.164199277042998,7.269563249394964,1763.8,False,0.0
TabPFN-3,Default,Foundation Model,0.3530625429769291,2.9028568605869225,10.41892438849563,1643.3,False,0.0
TabPFN-2.6,Default,Foundation Model,0.46732751131057737,4.818334407462211,11.739208419321947,1593.3,False,0.0
TabICLv2,Default,Foundation Model,0.16003985077461458,1.7694169027021422,11.64718891824102,1583.4,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,10.744405347900123,1878.3590992619372,12.162081596009894,1552.6,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.7081268775139049,4.788015269827178,12.729567097251051,1546.0,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.0352207542955876,1878.3590992619372,12.891656031772392,1520.6,False,0.0
RealMLP,Tuned + Ens.,Neural Network,9.310086973846083,2722.1286706272067,13.812533514277348,1502.7,False,0.0
RealMLP,Tuned,Neural Network,0.26452064957959065,2722.1286706272067,15.427361109761234,1428.9,False,0.0
TabM,Tuned + Ens.,Neural Network,1.601935816175824,1641.7401040642999,15.633882087292147,1421.7,False,0.0
iLTM,Tuned + Ens.,Foundation Model,361.1026011106327,8274.66645037466,15.554212121107971,1419.6,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.4955938420968311,328.7810170494133,16.154442759768973,1405.1,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.16686481952867496,1.4816805766506467,15.75673598621388,1398.8,False,0.0
ChimeraBoost,Tuned,Tree-based,0.036901092529296874,328.7810170494133,16.78769144423825,1390.8,False,0.0
CatBoost,Tuned,Tree-based,0.02713937979729418,735.4606570949481,15.90767888876455,1390.2,False,0.0
LightGBM,Tuned + Ens.,Tree-based,0.7734248688551886,328.6416252859693,16.61904644229728,1388.0,False,0.0
LimiX,Default,Foundation Model,4.303622545922834,14.266900918285131,16.70240661715497,1381.4,False,0.0
CatBoost,Default,Tree-based,0.020933960871807933,3.1841367928063065,16.096188397284,1380.5,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.30073634621479206,735.4606570949481,16.146214135286325,1380.3,False,0.0
