method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
BetaTabPFN,Foundation Model,250.9922109032818,2.035193444417784,19.831031796503165,1342.0,1.0,False,0.0
CatBoost,Tree-based,4.88613884555442,0.024809805969676378,17.420136647328736,1378.5,1.0,False,0.0
CatBoost,Tree-based,10.675013679081278,0.05230826017018419,16.92516040195319,1394.3,2.0,False,0.0
CatBoost,Tree-based,25.26699039424622,0.10519232307933385,16.669395786841587,1404.2,5.0,False,0.0
CatBoost,Tree-based,49.063883888512954,0.1507927974806505,16.523107108489558,1411.5,10.0,False,0.0
CatBoost,Tree-based,133.20645698104966,0.1982375840273144,16.45226470521497,1414.7,25.0,False,0.0
CatBoost,Tree-based,264.5793957685006,0.24139830744525942,16.467940399788468,1410.8,50.0,False,0.0
CatBoost,Tree-based,539.0252673694504,0.2948037083384833,16.341762333416558,1408.5,100.0,False,0.0
CatBoost,Tree-based,810.5253697200628,0.31764958903459783,16.35310783604024,1401.9,150.0,False,0.0
CatBoost,Tree-based,1087.7269134100757,0.3481993778974993,16.27323058102985,1406.9,201.0,False,0.0
ChimeraBoost,Tree-based,2.746842087814775,0.05168870571320533,19.612630183820016,1329.0,1.0,False,0.0
ChimeraBoost,Tree-based,5.294643775587406,0.09743828331889261,19.076665411256148,1353.6,2.0,False,0.0
ChimeraBoost,Tree-based,13.233874750979098,0.1882046534560472,18.624360141025797,1372.5,5.0,False,0.0
ChimeraBoost,Tree-based,26.238097198472357,0.25041222056043116,18.390542500164255,1378.8,10.0,False,0.0
ChimeraBoost,Tree-based,65.81466493629495,0.3403768941991345,17.98022141365461,1388.9,25.0,False,0.0
ChimeraBoost,Tree-based,131.9269961119976,0.3760203102081935,17.76502462033435,1396.2,50.0,False,0.0
ChimeraBoost,Tree-based,263.7615010438465,0.4681588698156081,17.639578022774142,1401.2,100.0,False,0.0
ChimeraBoost,Tree-based,395.88992123815467,0.5064143245608959,17.56771619600753,1402.2,150.0,False,0.0
ChimeraBoost,Tree-based,530.3562210187525,0.5250099194383389,17.58931620680151,1401.2,201.0,False,0.0
EBM,Tree-based,5.4796099732904935,0.016273159727879186,21.130489232665912,1255.1,1.0,False,0.0
