method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
CatBoost,Tree-based,2.734965600827682,0.010303746149758933,9.025563935427117,1508.8,1.0,False,0.0
CatBoost,Tree-based,8.045705741952812,0.04847600768069156,8.778184392716625,1533.0,2.0,False,0.0
CatBoost,Tree-based,21.585974730836362,0.11856778849944544,8.534620856480549,1589.4,5.0,False,0.0
CatBoost,Tree-based,44.5235265964443,0.1738042848912926,8.445947388710321,1593.4,10.0,False,0.0
CatBoost,Tree-based,109.76480102450431,0.2388904638719077,8.319854714508375,1609.7,25.0,False,0.0
CatBoost,Tree-based,222.75462253594748,0.311131795352049,8.277655573800956,1616.9,50.0,False,0.0
CatBoost,Tree-based,456.5709140464719,0.3983170950406583,8.244369316541999,1623.1,100.0,False,0.0
CatBoost,Tree-based,683.5034177869252,0.39028298889481744,8.237222540205789,1628.4,150.0,False,0.0
CatBoost,Tree-based,917.6176937356861,0.42217893366788317,8.228247647674584,1635.3,201.0,False,0.0
ChimeraBoost,Tree-based,0.6795224647096542,0.06121351968410403,8.531957919406246,1482.5,1.0,False,0.0
ChimeraBoost,Tree-based,1.5662497077393838,0.11149869062179743,8.494505057758287,1505.9,2.0,False,0.0
ChimeraBoost,Tree-based,3.842972180735431,0.21847728726475737,8.358916955997582,1520.7,5.0,False,0.0
ChimeraBoost,Tree-based,7.845395723161879,0.31906736798064655,8.121570734950954,1555.5,10.0,False,0.0
ChimeraBoost,Tree-based,21.380807094857595,0.49333570481732836,7.839920084590039,1602.5,25.0,False,0.0
ChimeraBoost,Tree-based,43.791990982034186,0.5779821184506273,7.683091615187347,1624.2,50.0,False,0.0
ChimeraBoost,Tree-based,86.6533197217193,0.7338673857613586,7.5492366165861675,1644.6,100.0,False,0.0
ChimeraBoost,Tree-based,129.74412294373116,0.8429748390089551,7.5025457961489765,1660.4,150.0,False,0.0
ChimeraBoost,Tree-based,174.3892798062985,0.8316518334843823,7.472562199054836,1665.6,201.0,False,0.0
EBM,Tree-based,2.3730743936328,0.005927023499511009,16.532824470145364,993.8,1.0,False,0.0
EBM,Tree-based,9.47853265546782,0.011161674940308858,16.25557619653663,1004.6,2.0,False,0.0
EBM,Tree-based,29.48104085184114,0.022170529809109,16.01523227776888,1016.9,5.0,False,0.0
EBM,Tree-based,54.99812053213286,0.032148234719453855,15.875387435135146,1033.5,10.0,False,0.0
EBM,Tree-based,136.1756596670941,0.050320888674536414,15.674647578034923,1070.6,25.0,False,0.0
EBM,Tree-based,274.1891727198002,0.05680785668175199,15.600328984388698,1098.0,50.0,False,0.0
EBM,Tree-based,533.5366593543873,0.06682614020542167,15.530120629267023,1115.0,100.0,False,0.0
EBM,Tree-based,788.1658323429698,0.07188677124770253,15.506032495497596,1127.7,150.0,False,0.0
