method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
BetaTabPFN,Foundation Model,684.782312948558,4.813336273584034,21.611248485528968,1448.0,1.0,False,0.0
CatBoost,Tree-based,29.226263415828953,0.2489310712281067,22.928229536842743,1349.4,1.0,False,0.0
CatBoost,Tree-based,61.17098202165919,0.39792944044585243,21.23627771395233,1413.8,2.0,False,0.0
CatBoost,Tree-based,144.61769541983074,0.6029621460347864,20.554910135612946,1448.7,5.0,False,0.0
CatBoost,Tree-based,300.23282810212424,0.7875363724439445,20.23056848734036,1462.8,10.0,False,0.0
CatBoost,Tree-based,478.27133223865974,1.0219051484806767,19.94082518668305,1475.6,25.0,False,0.0
CatBoost,Tree-based,841.9181732230874,1.1647414855808351,19.93308854470979,1475.1,50.0,False,0.0
CatBoost,Tree-based,1705.1687538882447,1.2641468504754898,19.878089372975875,1477.4,100.0,False,0.0
CatBoost,Tree-based,2553.0942626611954,1.3046821467329506,19.876711349725596,1476.9,150.0,False,0.0
CatBoost,Tree-based,3415.612516483141,1.3675697396752033,19.8414345040988,1476.1,201.0,False,0.0
ChimeraBoost,Tree-based,11.748821657847582,0.12677116755122333,26.490055148547725,1251.9,1.0,False,0.0
ChimeraBoost,Tree-based,23.493979524790756,0.20183949268740378,26.17417567610295,1257.3,2.0,False,0.0
ChimeraBoost,Tree-based,56.65236022768475,0.3104908637715938,25.93942402374615,1257.3,5.0,False,0.0
ChimeraBoost,Tree-based,113.17962459636618,0.49570324443922903,25.715762286006488,1261.7,10.0,False,0.0
ChimeraBoost,Tree-based,290.0052522034277,0.6911927844257941,24.95102418858327,1286.6,25.0,False,0.0
ChimeraBoost,Tree-based,587.7736409388267,0.8535907992833777,24.65049511527106,1298.8,50.0,False,0.0
ChimeraBoost,Tree-based,1177.1274367391138,0.9984001714900145,24.318554129842923,1310.8,100.0,False,0.0
ChimeraBoost,Tree-based,1763.0581120619136,1.0913022118494264,24.184905293378396,1315.3,150.0,False,0.0
ChimeraBoost,Tree-based,2362.5929584259998,1.1246954015107524,24.06838591628096,1319.9,201.0,False,0.0
EBM,Tree-based,15.520132657809135,0.04542177871975157,25.586102765523716,1290.9,1.0,False,0.0
EBM,Tree-based,263.03558811560947,0.10563755234705369,25.305952845301487,1296.9,2.0,False,0.0
EBM,Tree-based,710.2172146253328,0.14727998151545535,24.718542189473936,1314.6,5.0,False,0.0
EBM,Tree-based,1974.894741732499,0.18088742147518108,24.491849845001866,1323.4,10.0,False,0.0
