#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1752.0,+167/-140,0.781,6.97,1.68,4.8,40.79,7.056,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1747.0,+103/-73,0.748,7.12,2.78,7.906,5.76,0.522,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1617.0,+95/-72,0.569,12.14,5.49,10.676,3.52,0.385,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1590.0,+81/-64,0.527,13.53,8.02,12.092,5.39,0.531,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1573.0,+91/-75,0.509,14.41,6.05,10.818,2063.62,9.938,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1554.0,+94/-84,0.501,15.47,7.61,12.482,2.04,0.182,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1535.0,+87/-69,0.475,16.61,9.68,13.073,2063.62,1.086,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1531.0,+70/-59,0.452,16.89,10.54,13.036,5.63,0.771,✔️,0.0,False,GPU,model,
8,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1475.0,+60/-49,0.385,20.58,11.81,14.925,2774.17,16.363,✔️,0.0,False,GPU,model,
9,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1409.0,+50/-53,0.328,25.46,13.32,16.296,2774.17,0.39,✔️,0.0,False,GPU,model,
10,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1404.0,+73/-62,0.324,25.89,12.0,16.649,2207.17,1.894,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1393.0,+86/-68,0.348,26.74,8.08,16.07,18.2,4.692,➖,0.0,False,GPU,model,
12,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1388.0,+63/-51,0.292,27.21,12.87,15.975,1087.73,0.034,✔️,0.0,False,CPU,model,
13,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1388.0,+61/-63,0.283,27.21,15.44,16.698,12550.1,427.59,✔️,0.0,False,GPU,model,
14,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1383.0,+84/-60,0.296,27.54,13.26,17.232,2.1,0.186,➖,0.0,False,GPU,model,
15,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1381.0,+64/-43,0.239,27.71,20.1,17.319,391.27,1.243,✔️,0.0,False,CPU,model,
16,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1381.0,+69/-51,0.277,27.75,12.92,16.329,1087.73,0.348,✔️,0.0,False,CPU,model,
17,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1370.0,+72/-69,0.27,28.62,15.5,17.625,530.36,0.544,✔️,0.0,False,CPU,model,
18,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1367.0,+92/-60,0.281,28.87,12.98,16.772,6067.42,404.053,✔️,0.0,False,GPU,model,
19,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1365.0,+92/-57,0.286,29.03,13.78,17.413,2207.17,0.234,✔️,0.0,False,GPU,model,
20,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1361.0,+71/-66,0.264,29.41,15.56,18.113,530.36,0.042,✔️,0.0,False,CPU,model,
21,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1359.0,+68/-64,0.234,29.57,18.71,17.848,682.62,0.971,✔️,0.0,False,CPU,model,
22,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564) [5.26% IMPUTED],1359.0,+75/-68,0.261,29.59,12.39,17.636,9.08,2.007,✔️,5.26,True,GPU,model,
23,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1349.0,+65/-67,0.247,30.41,16.89,17.724,4853.47,0.473,✔️,0.0,False,GPU,model,
24,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1348.0,+49/-54,0.238,30.47,19.14,17.464,4.89,0.025,✔️,0.0,False,CPU,model,
25,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1334.0,+92/-77,0.254,31.66,18.32,17.905,4853.47,9.385,✔️,0.0,False,GPU,model,
26,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1332.0,+64/-49,0.199,31.83,24.75,18.233,391.27,0.186,✔️,0.0,False,CPU,model,
