method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
EXAONE-Tabular,Default,Foundation Model,0.6814101592863328,12.243629328876331,9.995958820249312,1752.3,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.928008699549261,2793.8656494382676,5.49471333550936,1744.7,False,0.0
TabFM,Default,Foundation Model,7.688969167240572,49.97455033269599,7.038039113622458,1699.1,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.5121585317189712,2793.8656494382676,13.469288090678871,1660.7,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5909006176053957,9.902265123200571,13.150366316755527,1645.1,False,0.0
TabPFN-3,Default,Foundation Model,0.490201720150621,8.930837888203968,11.341417287055629,1593.7,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.8250564092989303,9.88342513773013,13.871545295537558,1541.6,False,0.0
TabICLv2,Default,Foundation Model,0.22456937357959914,4.725249670032916,15.304534585996537,1520.4,False,0.0
LimiX,Default,Foundation Model,8.609198273288408,41.12345448521016,13.38257474746237,1502.9,False,0.0
CatBoost,Tuned + Ens.,Tree-based,1.2234800965829082,2807.9829916592535,16.746063267268685,1456.6,False,0.0
CatBoost,Tuned,Tree-based,0.1791910888303713,2807.9829916592535,15.960712872737664,1456.6,False,0.0
RealMLP,Tuned + Ens.,Neural Network,21.142857232954626,4335.39413691375,18.813170676313216,1451.2,False,0.0
LightGBM,Tuned + Ens.,Tree-based,4.077698739785666,1280.1849396349558,19.687308771188818,1433.4,False,0.0
LightGBM,Tuned,Tree-based,1.0508933307195343,1280.1849396349558,19.765030156390107,1426.5,False,0.0
TabPFNv2,Tuned + Ens.,Foundation Model,12.368028893263833,2584.958151615775,21.557353637217886,1417.9,True,25.0
TabM,Tuned + Ens.,Neural Network,4.5447590803109446,3796.9310139525196,20.16048161482562,1414.5,False,0.0
TabM,Tuned,Neural Network,0.7671600452042672,3796.9310139525196,20.211306439785293,1409.4,False,0.0
RealMLP,Tuned,Neural Network,3.527044406832303,4335.39413691375,19.268174267648998,1404.4,False,0.0
Mitra,Default,Foundation Model,3.5435441031860546,159.48286961149296,22.29335058153852,1403.6,True,25.0
TabDPT,Tuned + Ens.,Foundation Model,343.7310101457117,9413.126994382601,22.257129485659497,1388.1,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.2735262830567403,5.37868938195723,22.455495865900723,1377.0,False,0.0
XGBoost,Tuned + Ens.,Tree-based,4.112671352925765,2029.7698407235625,20.270846639027354,1372.3,False,0.0
XGBoost,Tuned,Tree-based,1.0396563214933796,2029.7698407235625,20.058253803753527,1367.6,False,0.0
xRFM,Tuned + Ens.,Other,3.346677813590845,2079.2181272277694,22.359260366346533,1363.0,False,0.0
TabPFNv2,Default,Foundation Model,0.35357530606122034,5.484515833941323,21.491392232611304,1348.4,True,25.0
iLTM,Tuned + Ens.,Foundation Model,752.5058468149998,27893.22927285236,20.672850815985512,1337.1,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,9.586534730161866,6686.500425978513,21.2813099415194,1334.8,False,0.0
TabPFNv2,Tuned,Foundation Model,0.407415255869832,2584.958151615775,22.9167321115511,1334.0,True,25.0
ModernNCA,Tuned,Neural Network,0.75165972501351,6686.500425978513,21.62283007909581,1321.0,False,0.0
TabDPT,Tuned,Foundation Model,39.48767986493962,9413.126994382601,23.544096087148937,1317.2,False,0.0
EBM,Tuned + Ens.,Tree-based,0.28175460140584613,17528.831491194233,23.29899530263274,1315.7,False,0.0
ChimeraBoost,Tuned,Tree-based,0.0967555454686762,1729.7280097406056,22.82327686913189,1311.0,False,0.0
SAP-RPT-OSS,Default,Foundation Model,1.702136712671222,21.845181798727523,23.556191940733857,1309.5,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.8977874372919195,1729.7280097406056,22.88019961382406,1307.9,False,0.0
TabM,Default,Neural Network,0.6240769820167711,14.96825965803302,25.117253262343255,1304.8,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,1.86363752738656,968.8626049308126,23.644018666319525,1304.1,False,0.0
CatBoost,Default,Tree-based,0.25360732128199437,26.31949572472692,22.329080260171718,1290.8,False,0.0
RandomForest,Tuned + Ens.,Tree-based,1.8330056127221654,729.2747129799207,23.43691560977397,1287.6,False,0.0
xRFM,Tuned,Other,0.31862234883680207,2079.2181272277694,23.832082539715245,1284.5,False,0.0
TabICL,Default,Foundation Model,1.9479990041951392,11.508215331929234,26.249123771261328,1283.7,True,12.5
BetaTabPFN,Default,Foundation Model,4.102762514065599,283.64628629595046,25.023393422254,1281.3,False,0.0
iLTM,Tuned,Foundation Model,206.7186712774248,27893.22927285236,22.33597351564807,1268.7,False,0.0
ChimeraBoost,Default,Tree-based,0.10942806422801879,8.61972090629037,26.094636734308597,1260.8,False,0.0
EBM,Tuned,Tree-based,0.025230272402802262,17528.831491194233,24.7166459855401,1253.0,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.161441630529105,3647.6027397269163,24.766544921411498,1249.8,False,0.0
ExtraTrees,Tuned,Tree-based,0.28365863458482743,968.8626049308126,26.52375103090252,1233.5,False,0.0
EBM,Default,Tree-based,0.042444576342367646,12.194256444148424,25.260665004493266,1229.7,False,0.0
RandomForest,Tuned,Tree-based,0.32512777740567034,729.2747129799207,24.900849108656665,1223.5,False,0.0
TorchMLP,Tuned,Neural Network,0.1940903579725861,3647.6027397269163,26.49525596699552,1214.4,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,12.590091641480733,2721.8722746730828,28.68710134356407,1206.7,False,0.0
TabSwift,Default,Foundation Model,0.0760162665793346,3.0219759465352487,27.282455828510553,1205.2,False,0.0
XGBoost,Default,Tree-based,0.5916710540560204,4.930537322582444,23.69201125474002,1203.7,False,0.0
TabDPT,Default,Foundation Model,39.80271613288968,46.36346127182004,26.699605848183833,1202.2,False,0.0
LightGBM,Default,Tree-based,0.44373072634716737,5.120006979267361,26.119633646352213,1200.6,False,0.0
RealMLP,Default,Neural Network,6.920194808001857,19.129943171204065,28.119988023781207,1130.0,False,0.0
xRFM,Default,Other,1.3715875869933505,8.991403731142526,31.536888035409905,1110.7,False,0.0
ModernNCA,Default,Neural Network,0.5648398112879867,17.244184316915785,30.064936047953577,1110.7,False,0.0
FastaiMLP,Tuned,Neural Network,1.0818469447302261,2721.8722746730828,30.233575851241053,1108.9,False,0.0
iLTM,Default,Foundation Model,205.51250200687934,495.6488461748256,30.304216605956263,1019.3,False,0.0
TorchMLP,Default,Neural Network,0.3624794906502594,14.370479117952735,33.028555879619965,1019.3,False,0.0
TabSTAR,Tuned,Foundation Model,7.95848297165878,44782.595197783856,33.0105868135145,1000.0,False,0.0
RandomForest,Default,Tree-based,0.1479303420278562,0.7350368804993201,37.618721969228055,1000.0,False,0.0
TabSTAR,Tuned + Ens.,Foundation Model,36.10231974067331,44782.595197783856,33.31753398357366,987.5,False,0.0
OrionMSP,Default,Foundation Model,3.3262335461200117,20.950185530243786,35.27263687121929,971.4,False,0.0
ExtraTrees,Default,Tree-based,0.7866568202370239,5.15583797116931,38.62914872027054,942.3,False,0.0
FastaiMLP,Default,Neural Network,0.6590449293607239,8.375519893134893,37.183711821451425,925.9,False,0.0
PerpetualBooster,Tuned + Ens.,Tree-based,9.593407785060844,1308.4507704502219,53.30288956172795,817.3,False,0.0
TabSTAR,Default,Foundation Model,7.822578986681652,666.7207045488867,44.125020130003975,807.8,False,0.0
TabFlex,Default,Foundation Model,0.8545350274463062,4.666865298176835,43.12666065090442,781.5,False,0.0
PerpetualBooster,Tuned,Tree-based,1.0713018657139208,1308.4507704502219,56.996773347219076,740.1,False,0.0
PerpetualBooster,Default,Tree-based,0.46028626588610744,218.36144560500156,62.3623334179905,672.4,False,0.0
