#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1752.0,+346/-106,0.738,7.5,4.2,9.996,12.24,0.681,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1745.0,+385/-147,0.704,7.75,3.19,5.495,2793.87,8.928,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1699.0,+812/-257,0.792,9.38,1.47,7.038,49.97,7.689,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1661.0,+186/-101,0.609,10.94,7.93,13.469,2793.87,1.512,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1645.0,+219/-111,0.589,11.62,8.69,13.15,9.9,0.591,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1594.0,+346/-160,0.537,14.12,5.99,11.341,8.93,0.49,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1542.0,+229/-92,0.462,17.06,9.81,13.872,9.88,0.825,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1520.0,+365/-189,0.483,18.38,6.75,15.305,4.73,0.225,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1503.0,+285/-155,0.432,19.5,5.44,13.383,41.12,8.609,➖,0.0,False,GPU,model,
9,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1457.0,+153/-84,0.347,22.62,18.62,16.746,2807.98,1.223,✔️,0.0,False,CPU,model,
10,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1457.0,+177/-86,0.35,22.62,16.77,15.961,2807.98,0.179,✔️,0.0,False,CPU,model,
11,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1451.0,+174/-100,0.375,23.0,9.86,18.813,4335.39,21.143,✔️,0.0,False,GPU,model,
12,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1433.0,+132/-82,0.291,24.25,18.07,19.687,1280.18,4.078,✔️,0.0,False,CPU,model,
13,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1426.0,+132/-93,0.28,24.75,18.0,19.765,1280.18,1.051,✔️,0.0,False,CPU,model,
14,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [25.00% IMPUTED],1418.0,+277/-193,0.375,25.38,12.71,21.557,2584.96,12.368,✔️,25.0,True,GPU,model,
15,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1414.0,+163/-117,0.348,25.62,16.08,20.16,3796.93,4.545,✔️,0.0,False,GPU,model,
16,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1409.0,+191/-120,0.331,26.0,11.53,20.211,3796.93,0.767,✔️,0.0,False,GPU,model,
17,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1404.0,+167/-100,0.312,26.38,19.68,19.268,4335.39,3.527,✔️,0.0,False,GPU,model,
18,🧠⚡,Foundation Model,[Mitra (default)](https://arxiv.org/abs/2510.21204) [25.00% IMPUTED],1404.0,+207/-178,0.324,26.44,18.82,22.293,159.48,3.544,✔️,25.0,True,GPU,model,
19,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1388.0,+221/-156,0.342,27.62,18.49,22.257,9413.13,343.731,✔️,0.0,False,GPU,model,
20,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1377.0,+207/-137,0.296,28.5,16.23,22.455,5.38,0.274,➖,0.0,False,GPU,model,
21,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1372.0,+75/-56,0.202,28.88,27.48,20.271,2029.77,4.113,✔️,0.0,False,CPU,model,
22,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1368.0,+82/-68,0.207,29.25,27.27,20.058,2029.77,1.04,✔️,0.0,False,CPU,model,
23,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1363.0,+207/-183,0.292,29.62,10.56,22.359,2079.22,3.347,✔️,0.0,False,GPU,model,
24,🧠⚡,Foundation Model,[TabPFNv2 (default)](https://www.nature.com/articles/s41586-024-08328-6) [25.00% IMPUTED],1348.0,+190/-144,0.243,30.81,17.86,21.491,5.48,0.354,✔️,25.0,True,GPU,model,
25,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1337.0,+124/-92,0.196,31.75,27.94,20.673,27893.23,752.506,✔️,0.0,False,GPU,model,
26,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1335.0,+125/-90,0.195,31.94,28.33,21.281,6686.5,9.587,✔️,0.0,False,GPU,model,
