#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1792.0,+116/-112,0.873,6.19,1.78,3.688,38.81,6.985,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1786.0,+78/-58,0.804,6.33,2.88,7.145,5.79,0.605,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1666.0,+83/-59,0.662,10.32,4.33,9.339,3.66,0.399,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1618.0,+70/-50,0.574,12.4,7.44,10.688,5.48,0.555,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1593.0,+72/-55,0.547,13.61,6.54,10.328,2040.22,8.908,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1592.0,+73/-60,0.602,13.66,5.2,10.176,2.05,0.151,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1554.0,+64/-55,0.504,15.66,7.7,11.072,2040.22,1.218,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1524.0,+58/-45,0.471,17.38,10.15,11.675,5.81,0.645,✔️,0.0,False,GPU,model,
8,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1510.0,+56/-44,0.401,18.2,11.41,12.982,2950.72,11.975,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1459.0,+56/-50,0.383,21.45,9.85,14.063,2.07,0.182,➖,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1458.0,+60/-50,0.378,21.49,8.19,13.806,4910.38,286.537,✔️,0.0,False,GPU,model,
11,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1452.0,+50/-43,0.314,21.95,12.41,14.143,2450.13,2.247,✔️,0.0,False,GPU,model,
12,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1435.0,+32/-29,0.257,23.1,17.02,15.118,417.05,2.639,✔️,0.0,False,CPU,model,
13,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1428.0,+48/-46,0.291,23.53,13.66,14.296,2950.72,0.663,✔️,0.0,False,GPU,model,
14,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1423.0,+38/-38,0.257,23.93,13.93,14.735,1346.21,0.344,✔️,0.0,False,CPU,model,
15,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1410.0,+37/-41,0.243,24.86,14.87,14.963,1346.21,0.038,✔️,0.0,False,CPU,model,
16,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1406.0,+42/-42,0.233,25.08,17.37,15.372,12685.08,464.37,✔️,0.0,False,GPU,model,
17,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1403.0,+57/-56,0.318,25.32,11.35,14.948,4910.38,39.96,✔️,0.0,False,GPU,model,
18,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1395.0,+49/-42,0.25,25.89,14.18,15.01,2450.13,0.251,✔️,0.0,False,GPU,model,
19,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1389.0,+74/-52,0.279,26.32,12.92,15.67,4621.67,8.138,✔️,0.0,False,GPU,model,
20,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1387.0,+29/-27,0.195,26.46,20.68,15.776,417.05,0.334,✔️,0.0,False,CPU,model,
21,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1383.0,+46/-59,0.235,26.79,12.26,16.019,518.43,0.469,✔️,0.0,False,CPU,model,
22,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1379.0,+40/-41,0.219,27.07,14.81,15.592,5.88,0.025,✔️,0.0,False,CPU,model,
23,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1377.0,+32/-32,0.196,27.23,19.96,15.848,693.49,1.689,✔️,0.0,False,CPU,model,
24,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1363.0,+79/-58,0.3,28.26,10.08,15.529,26.46,6.242,➖,0.0,False,GPU,model,
25,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1356.0,+37/-37,0.192,28.73,16.65,16.104,4621.67,0.475,✔️,0.0,False,GPU,model,
26,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1352.0,+46/-55,0.2,29.01,15.65,16.474,518.43,0.05,✔️,0.0,False,CPU,model,
27,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1351.0,+30/-32,0.16,29.1,21.94,16.161,693.49,0.308,✔️,0.0,False,CPU,model,
28,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1351.0,+50/-43,0.211,29.11,18.67,16.394,846.89,2.549,✔️,0.0,False,GPU,model,
29,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1351.0,+58/-52,0.253,29.13,17.56,16.184,1.18,0.072,➖,0.0,False,GPU,model,
