#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),2086.0,+225/-104,0.831,3.93,2.05,4.736,2.05,0.758,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),2005.0,+314/-159,0.814,5.46,1.72,4.304,38.86,18.759,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1849.0,+284/-172,0.592,10.04,4.07,8.472,1.1,0.289,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1760.0,+138/-83,0.452,13.83,9.4,10.257,2.41,0.701,✔️,0.0,False,GPU,model,
4,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1755.0,+177/-132,0.489,14.07,6.79,9.842,111.66,0.658,✔️,0.0,False,CPU,model,
5,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1748.0,+182/-104,0.469,14.4,5.42,9.271,0.63,0.17,✔️,0.0,False,GPU,model,
6,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1710.0,+147/-89,0.433,16.34,6.68,9.773,378.5,0.168,✔️,0.0,False,CPU,model,
7,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1705.0,+108/-71,0.406,16.62,12.8,10.998,1607.74,72.982,✔️,0.0,False,GPU,model,
8,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1705.0,+145/-76,0.443,16.64,6.31,9.662,1.49,0.019,✔️,0.0,False,CPU,model,
9,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1696.0,+160/-94,0.426,17.09,7.31,10.04,378.5,0.02,✔️,0.0,False,CPU,model,
10,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1684.0,+168/-108,0.412,17.74,10.32,10.571,111.66,0.05,✔️,0.0,False,CPU,model,
11,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1672.0,+124/-90,0.355,18.44,12.79,11.909,207.65,0.398,✔️,0.0,False,CPU,model,
12,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1667.0,+138/-69,0.339,18.71,12.65,12.205,93.21,0.758,✔️,0.0,False,CPU,model,
13,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1658.0,+122/-91,0.351,19.26,11.65,11.437,1624.55,1.763,✔️,0.0,False,GPU,model,
14,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1642.0,+197/-114,0.348,20.19,9.85,11.712,783.29,13.79,✔️,0.0,False,GPU,model,
15,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1636.0,+156/-100,0.301,20.58,11.51,12.296,860.28,0.554,✔️,0.0,False,GPU,model,
16,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1635.0,+152/-98,0.356,20.6,13.63,11.29,0.49,0.043,✔️,0.0,False,CPU,model,
17,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1626.0,+128/-124,0.336,21.16,13.94,11.895,2338.19,14.248,✔️,0.0,False,GPU,model,
18,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1604.0,+109/-71,0.281,22.49,17.96,12.685,207.65,0.056,✔️,0.0,False,CPU,model,
19,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1602.0,+184/-113,0.308,22.67,11.72,12.388,783.29,1.924,✔️,0.0,False,GPU,model,
20,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1575.0,+134/-95,0.255,24.36,13.02,12.644,1624.55,0.083,✔️,0.0,False,GPU,model,
