#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1836.0,+186/-87,0.815,5.84,2.99,9.028,8.14,0.672,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1727.0,+189/-84,0.693,9.2,5.14,12.683,2710.49,1.346,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1718.0,+244/-121,0.691,9.53,4.32,11.643,2710.49,8.095,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1675.0,+392/-227,0.79,11.3,2.01,9.095,55.13,7.685,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1648.0,+214/-107,0.601,12.53,7.96,14.953,9.94,0.613,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1598.0,+228/-146,0.56,15.02,5.88,13.771,11.66,0.489,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1585.0,+206/-132,0.536,15.74,7.29,14.324,10.23,0.844,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1575.0,+232/-141,0.532,16.32,4.65,14.169,44.33,7.062,➖,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1558.0,+251/-186,0.534,17.3,6.67,16.116,5.64,0.197,✔️,0.0,False,GPU,model,
9,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1517.0,+168/-122,0.421,19.78,10.21,17.682,4150.82,19.128,✔️,0.0,False,GPU,model,
10,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1493.0,+134/-88,0.401,21.38,12.05,18.542,4150.82,3.42,✔️,0.0,False,GPU,model,
11,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1473.0,+102/-69,0.335,22.68,17.59,19.853,1377.48,5.201,✔️,0.0,False,CPU,model,
12,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1473.0,+141/-106,0.37,22.69,13.24,20.467,3881.83,4.213,✔️,0.0,False,GPU,model,
13,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1461.0,+64/-40,0.319,23.48,20.29,19.268,2635.98,1.181,✔️,0.0,False,CPU,model,
14,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1461.0,+94/-61,0.319,23.52,18.82,20.084,1377.48,1.259,✔️,0.0,False,CPU,model,
15,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1438.0,+62/-39,0.276,25.12,21.07,19.892,2635.98,0.173,✔️,0.0,False,CPU,model,
16,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1434.0,+214/-131,0.325,25.35,11.08,21.543,5.46,0.271,➖,0.0,False,GPU,model,
17,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1433.0,+115/-92,0.323,25.46,15.37,21.198,3881.83,0.698,✔️,0.0,False,GPU,model,
18,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1430.0,+187/-129,0.349,25.68,13.18,22.516,4635.17,212.235,✔️,0.0,False,GPU,model,
19,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1413.0,+85/-68,0.245,26.84,20.5,20.548,2210.17,0.974,✔️,0.0,False,CPU,model,
20,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1408.0,+89/-72,0.241,27.2,21.56,20.633,2210.17,3.984,✔️,0.0,False,CPU,model,
21,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1402.0,+104/-72,0.203,27.69,20.7,20.522,7128.67,9.211,✔️,0.0,False,GPU,model,
22,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1399.0,+82/-56,0.216,27.88,14.5,20.733,7128.67,0.776,✔️,0.0,False,GPU,model,
23,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1394.0,+112/-83,0.183,28.27,22.77,21.153,28234.45,841.446,✔️,0.0,False,GPU,model,
24,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1384.0,+149/-118,0.296,29.0,20.13,23.451,507.78,4.427,➖,0.0,False,GPU,model,
25,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1384.0,+155/-139,0.266,29.01,17.54,23.162,1980.61,3.604,✔️,0.0,False,GPU,model,
26,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1383.0,+201/-138,0.298,29.07,14.51,23.792,4635.17,34.761,✔️,0.0,False,GPU,model,
27,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1367.0,+96/-86,0.217,30.22,24.47,22.291,27107.4,0.271,✔️,0.0,False,CPU,model,
28,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1356.0,+129/-125,0.246,31.1,19.8,23.969,12.83,0.673,✔️,0.0,False,GPU,model,
29,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1354.0,+133/-127,0.216,31.23,19.67,22.229,1764.09,0.099,✔️,0.0,False,CPU,model,
30,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1347.0,+131/-130,0.203,31.73,20.11,22.085,1764.09,0.884,✔️,0.0,False,CPU,model,
31,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1344.0,+73/-68,0.177,31.97,27.57,22.177,26.14,0.202,✔️,0.0,False,CPU,model,
32,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1343.0,+196/-275,0.345,32.07,7.94,22.044,22.52,1.681,➖,0.0,False,GPU,model,
33,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1341.0,+185/-141,0.251,32.18,15.75,24.613,984.66,1.487,✔️,0.0,False,CPU,model,
34,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1329.0,+174/-174,0.268,33.12,14.38,24.432,738.02,1.862,✔️,0.0,False,CPU,model,
35,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1324.0,+95/-91,0.169,33.46,27.0,22.983,27107.4,0.051,✔️,0.0,False,CPU,model,
36,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1317.0,+114/-116,0.122,34.06,26.58,23.62,3902.08,2.028,✔️,0.0,False,CPU,model,
37,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1301.0,+109/-84,0.109,35.26,30.7,22.79,28234.45,276.786,✔️,0.0,False,GPU,model,
38,🌳,Tree-based,[EBM (default)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1293.0,+133/-117,0.145,35.84,27.35,24.577,13.33,0.04,✔️,0.0,False,CPU,model,
39,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1290.0,+189/-141,0.202,36.12,13.84,26.214,984.66,0.279,✔️,0.0,False,CPU,model,
40,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1288.0,+147/-119,0.174,36.21,19.29,25.422,1980.61,0.61,✔️,0.0,False,GPU,model,
41,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1284.0,+162/-170,0.203,36.51,23.17,24.677,9.05,0.095,✔️,0.0,False,CPU,model,
42,🌳,Tree-based,[RandomForest (tuned)](https://link.springer.com/article/10.1023/A:1010933404324),1280.0,+180/-183,0.218,36.86,12.05,25.675,738.02,0.316,✔️,0.0,False,CPU,model,
43,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1279.0,+123/-114,0.132,36.89,30.93,25.891,4.32,0.084,➖,0.0,False,GPU,model,
44,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1272.0,+170/-179,0.202,37.4,14.87,26.853,2644.99,12.291,✔️,0.0,False,CPU,model,
45,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1269.0,+216/-134,0.167,37.69,15.35,26.213,43.39,42.555,✔️,0.0,False,GPU,model,
46,🌳,Tree-based,[XGBoost (default)](https://arxiv.org/abs/1603.02754),1261.0,+80/-64,0.05,38.28,35.18,23.641,4.72,0.542,✔️,0.0,False,CPU,model,
