method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
CatBoost,Tree-based,1.8802002354113756,0.010890969035142155,10.1054437837294,1561.5,1.0,False,0.0
CatBoost,Tree-based,4.339081356183389,0.04165449122630672,10.137159514243868,1564.7,2.0,False,0.0
CatBoost,Tree-based,12.910790819612318,0.06632888173924838,10.02868104426463,1592.3,5.0,False,0.0
CatBoost,Tree-based,24.873837891921358,0.09055006125356801,9.989960872463541,1598.6,10.0,False,0.0
CatBoost,Tree-based,59.79109915899434,0.14170995509898413,9.98010034821986,1614.2,25.0,False,0.0
CatBoost,Tree-based,118.70498070871393,0.16560299780892004,9.964966540667037,1616.7,50.0,False,0.0
CatBoost,Tree-based,236.21869336543455,0.1778183572296475,9.981868629467746,1614.8,100.0,False,0.0
CatBoost,Tree-based,351.71545103530997,0.17237038465250348,9.999915333568328,1612.6,150.0,False,0.0
CatBoost,Tree-based,477.5939557065072,0.1892457457565731,9.970759005083995,1613.1,201.0,False,0.0
ChimeraBoost,Tree-based,0.5326435565948486,0.047115109468761254,9.994068013366197,1551.9,1.0,False,0.0
ChimeraBoost,Tree-based,1.083794620037079,0.09445339237388814,9.77293722845087,1589.2,2.0,False,0.0
ChimeraBoost,Tree-based,2.708271483182907,0.18916661500930787,9.571144317137906,1609.2,5.0,False,0.0
ChimeraBoost,Tree-based,5.479416546821594,0.29535155938119856,9.43151807779697,1619.3,10.0,False,0.0
ChimeraBoost,Tree-based,13.952381693720817,0.45291469744235713,9.285356912090013,1636.5,25.0,False,0.0
ChimeraBoost,Tree-based,27.92162088851052,0.5777972936630249,9.20706327848217,1648.9,50.0,False,0.0
ChimeraBoost,Tree-based,55.96604419640762,0.6471083736419678,9.101740558394074,1664.8,100.0,False,0.0
ChimeraBoost,Tree-based,83.97497973260475,0.7277091336250305,9.003761034890417,1676.9,150.0,False,0.0
ChimeraBoost,Tree-based,112.40404587268698,0.8008220861124438,8.907518501857075,1686.2,201.0,False,0.0
EBM,Tree-based,2.1343897894809123,0.005927023499511009,18.23818929698355,1223.2,1.0,False,0.0
EBM,Tree-based,6.503047454906139,0.011618857875713269,17.389227279465214,1264.4,2.0,False,0.0
EBM,Tree-based,15.551340727037507,0.022749245783397154,16.87287413545721,1289.0,5.0,False,0.0
EBM,Tree-based,32.79883826931841,0.03334867264037136,16.653748686915428,1302.5,10.0,False,0.0
EBM,Tree-based,82.44349211548506,0.05159929808552615,16.384367681175743,1324.0,25.0,False,0.0
EBM,Tree-based,165.90989132476483,0.05858409543370092,16.275384824500822,1335.6,50.0,False,0.0
EBM,Tree-based,325.9150394035014,0.07404254792734634,16.138826753313325,1344.3,100.0,False,0.0
EBM,Tree-based,495.2952240261593,0.08205938824387483,16.09780724288551,1344.3,150.0,False,0.0
EBM,Tree-based,662.236444266219,0.0923119308693724,16.05470175951146,1348.3,201.0,False,0.0
EXAONE-Tabular,Foundation Model,4.364579274903896,1.2098060200094838,2.4658424682618816,2066.0,1.0,False,0.0
ExtraTrees,Tree-based,0.4655147194862365,0.07211862087249755,23.91459472539484,931.1,1.0,False,0.0
ExtraTrees,Tree-based,0.8039431530853798,0.07998278196714612,21.712314533414652,992.8,2.0,False,0.0
ExtraTrees,Tree-based,1.550786623770988,0.08478718698183102,18.210429846119123,1093.6,5.0,False,0.0
ExtraTrees,Tree-based,2.9159741389124023,0.07875529598308657,16.78718004418144,1150.0,10.0,False,0.0
ExtraTrees,Tree-based,6.829014288254196,0.10064732636276046,16.065999698337652,1183.6,25.0,False,0.0
ExtraTrees,Tree-based,12.980561803815146,0.12577498555301436,15.748606123166978,1208.4,50.0,False,0.0
ExtraTrees,Tree-based,25.341075468120007,0.15127046817818746,15.437601517678983,1236.3,100.0,False,0.0
ExtraTrees,Tree-based,37.70768066076384,0.172849646788423,15.405097816715818,1238.7,150.0,False,0.0
ExtraTrees,Tree-based,50.36185320495198,0.17399873919605088,15.768595364384847,1233.7,201.0,False,0.0
FastaiMLP,Neural Network,1.4936466440849265,0.11284585907047284,23.720188604046776,972.8,1.0,False,0.0
FastaiMLP,Neural Network,3.1783708384673472,0.22475858054667028,22.554682353508817,1037.5,2.0,False,0.0
FastaiMLP,Neural Network,8.523382125496864,0.4166305562177325,20.96106433088825,1109.6,5.0,False,0.0
FastaiMLP,Neural Network,17.758125752903695,0.6283891458672511,20.216655801925178,1137.4,10.0,False,0.0
FastaiMLP,Neural Network,42.759053616156415,0.9164506571389982,19.272754737007038,1163.8,25.0,False,0.0
FastaiMLP,Neural Network,86.31422651974961,1.2468060947659791,18.794495054437675,1179.5,50.0,False,0.0
FastaiMLP,Neural Network,175.4091424070472,1.6512385514221697,18.292997892985415,1191.2,100.0,False,0.0
FastaiMLP,Neural Network,264.01839866627785,1.7760120815352394,18.0561777247059,1203.7,150.0,False,0.0
FastaiMLP,Neural Network,354.906735482604,1.636166665002177,17.954621963026113,1206.4,201.0,False,0.0
LightGBM,Tree-based,0.3380289468902334,0.06997296000803761,15.20706022825583,1250.8,1.0,False,0.0
LightGBM,Tree-based,0.9616222834587097,0.4182187448990973,14.528690435606743,1318.0,2.0,False,0.0
LightGBM,Tree-based,2.614726170528805,0.7644003425773823,13.378597071260668,1433.6,5.0,False,0.0
LightGBM,Tree-based,6.009789211002155,1.001947819722787,12.54860162722344,1505.4,10.0,False,0.0
LightGBM,Tree-based,16.20748765539256,1.1773854817214768,11.620088996220591,1562.1,25.0,False,0.0
LightGBM,Tree-based,31.98584669919033,1.4649015267883478,11.239191886193552,1596.2,50.0,False,0.0
LightGBM,Tree-based,64.00428130097868,2.1045193014169867,11.099337515121949,1609.2,100.0,False,0.0
LightGBM,Tree-based,96.54069698876388,2.1744811378299898,11.061371962230233,1615.1,150.0,False,0.0
LightGBM,Tree-based,129.2466479180153,2.620774431067702,11.049864031130925,1619.4,201.0,False,0.0
LimiX,Foundation Model,6.509650256623826,5.361307210385386,15.81383147963832,1325.3,1.0,False,0.0
ModernNCA,Neural Network,9.068310738140271,0.22367359638214113,14.623778219273314,1295.0,1.0,False,0.0
ModernNCA,Neural Network,22.781677230844508,0.5307544295787812,13.139000807870813,1392.5,2.0,False,0.0
ModernNCA,Neural Network,60.95099601233006,1.3312012867927552,11.330681207504933,1514.7,5.0,False,0.0
