method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
EXAONE-Tabular,Default,Foundation Model,0.6814101592863328,12.243629328876331,9.995958820249312,1751.6,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.928008699549261,2793.8656494382676,5.49471333550936,1743.5,False,0.0
TabFM,Default,Foundation Model,7.688969167240572,49.97455033269599,7.038039113622458,1688.7,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.5121585317189712,2793.8656494382676,13.469288090678871,1667.6,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5909006176053957,9.902265123200571,13.150366316755527,1653.7,False,0.0
TabPFN-3,Default,Foundation Model,0.490201720150621,8.930837888203968,11.341417287055629,1598.1,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.8250564092989303,9.88342513773013,13.871545295537558,1541.5,False,0.0
TabICLv2,Default,Foundation Model,0.22456937357959914,4.725249670032916,15.304534585996537,1520.5,False,0.0
LimiX,Default,Foundation Model,8.609198273288408,41.12345448521016,13.38257474746237,1516.2,False,0.0
RealMLP,Tuned + Ens.,Neural Network,21.142857232954626,4335.39413691375,18.813170676313216,1469.3,False,0.0
CatBoost,Tuned + Ens.,Tree-based,1.2234800965829082,2807.9829916592535,16.746063267268685,1467.3,False,0.0
CatBoost,Tuned,Tree-based,0.1791910888303713,2807.9829916592535,15.960712872737664,1465.4,False,0.0
LightGBM,Tuned + Ens.,Tree-based,4.077698739785666,1280.1849396349558,19.687308771188818,1448.3,False,0.0
LightGBM,Tuned,Tree-based,1.0508933307195343,1280.1849396349558,19.765030156390107,1444.6,False,0.0
TabM,Tuned + Ens.,Neural Network,4.5447590803109446,3796.9310139525196,20.16048161482562,1433.5,False,0.0
TabM,Tuned,Neural Network,0.7671600452042672,3796.9310139525196,20.211306439785293,1428.0,False,0.0
RealMLP,Tuned,Neural Network,3.527044406832303,4335.39413691375,19.268174267648998,1419.0,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,343.7310101457117,9413.126994382601,22.257129485659497,1397.5,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.2735262830567403,5.37868938195723,22.455495865900723,1386.8,False,0.0
XGBoost,Tuned + Ens.,Tree-based,4.112671352925765,2029.7698407235625,20.270846639027354,1385.0,False,0.0
xRFM,Tuned + Ens.,Other,3.346677813590845,2079.2181272277694,22.359260366346533,1381.5,False,0.0
XGBoost,Tuned,Tree-based,1.0396563214933796,2029.7698407235625,20.058253803753527,1376.2,False,0.0
iLTM,Tuned + Ens.,Foundation Model,752.5058468149998,27893.22927285236,20.672850815985512,1344.5,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,9.586534730161866,6686.500425978513,21.2813099415194,1340.1,False,0.0
EBM,Tuned + Ens.,Tree-based,0.28175460140584613,17528.831491194233,23.29899530263274,1325.4,False,0.0
TabDPT,Tuned,Foundation Model,39.48767986493962,9413.126994382601,23.544096087148937,1325.4,False,0.0
ModernNCA,Tuned,Neural Network,0.75165972501351,6686.500425978513,21.62283007909581,1324.6,False,0.0
ChimeraBoost,Tuned,Tree-based,0.0967555454686762,1729.7280097406056,22.82327686913189,1322.0,False,0.0
TabM,Default,Neural Network,0.6240769820167711,14.96825965803302,25.117253262343255,1320.3,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.8977874372919195,1729.7280097406056,22.88019961382406,1316.9,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,1.86363752738656,968.8626049308126,23.644018666319525,1314.3,False,0.0
SAP-RPT-OSS,Default,Foundation Model,1.702136712671222,21.845181798727523,23.556191940733857,1305.1,False,0.0
CatBoost,Default,Tree-based,0.25360732128199437,26.31949572472692,22.329080260171718,1300.0,False,0.0
