#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1765.0,+105/-104,0.872,6.83,1.83,3.749,38.81,6.985,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1755.0,+78/-54,0.801,7.12,3.06,7.205,5.79,0.605,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1642.0,+74/-52,0.663,11.41,4.61,9.399,3.66,0.399,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1592.0,+66/-45,0.576,13.89,8.39,10.747,5.48,0.555,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1572.0,+64/-55,0.549,14.98,7.29,10.389,2040.22,8.908,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1569.0,+65/-57,0.604,15.16,5.59,10.236,2.05,0.151,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1533.0,+61/-48,0.506,17.32,8.46,11.133,2040.22,1.218,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1504.0,+53/-43,0.476,19.22,11.41,11.735,5.81,0.645,✔️,0.0,False,GPU,model,
8,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1482.0,+51/-44,0.403,20.71,12.59,13.04,2950.72,11.975,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1437.0,+59/-45,0.382,24.06,8.75,13.863,4910.38,286.537,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1437.0,+51/-45,0.383,24.11,10.72,14.12,2.07,0.182,➖,0.0,False,GPU,model,
11,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1426.0,+46/-40,0.315,24.96,13.66,14.2,2450.13,2.247,✔️,0.0,False,GPU,model,
12,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1410.0,+32/-30,0.263,26.26,18.68,15.174,417.05,2.639,✔️,0.0,False,CPU,model,
13,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1404.0,+47/-45,0.298,26.71,14.97,14.352,2950.72,0.663,✔️,0.0,False,GPU,model,
14,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1398.0,+37/-34,0.266,27.21,15.04,14.79,1346.21,0.344,✔️,0.0,False,CPU,model,
15,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1386.0,+38/-36,0.25,28.21,16.04,15.018,1346.21,0.038,✔️,0.0,False,CPU,model,
16,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1385.0,+53/-51,0.316,28.31,12.46,15.004,4910.38,39.96,✔️,0.0,False,GPU,model,
17,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1384.0,+43/-40,0.241,28.34,19.09,15.428,12685.08,464.37,✔️,0.0,False,GPU,model,
18,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1373.0,+44/-40,0.248,29.33,15.51,15.066,2450.13,0.251,✔️,0.0,False,GPU,model,
19,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1367.0,+68/-51,0.282,29.78,13.84,15.723,4621.67,8.138,✔️,0.0,False,GPU,model,
