#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1782.0,+129/-95,0.87,6.62,1.68,3.242,36.45,7.109,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1752.0,+106/-76,0.784,7.54,2.9,8.652,4.41,0.488,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1661.0,+95/-64,0.645,10.96,4.88,11.268,2.63,0.361,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1590.0,+111/-58,0.59,14.53,5.6,11.394,1.77,0.158,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1583.0,+71/-58,0.528,14.9,8.15,12.544,4.82,0.464,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1538.0,+94/-54,0.46,17.61,8.87,13.094,1924.5,9.103,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1523.0,+72/-45,0.464,18.6,11.55,13.706,4.91,0.694,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1511.0,+91/-49,0.432,19.4,9.5,13.758,1924.5,1.329,✔️,0.0,False,GPU,model,
8,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1467.0,+48/-50,0.335,22.59,13.89,15.267,2775.98,8.849,✔️,0.0,False,GPU,model,
9,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1451.0,+60/-49,0.299,23.84,11.65,15.697,1612.07,1.884,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564) [3.33% IMPUTED],1443.0,+62/-50,0.327,24.48,13.89,15.394,8.06,1.742,✔️,3.33,True,GPU,model,
11,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1427.0,+63/-61,0.33,25.73,11.27,16.008,1.44,0.169,➖,0.0,False,GPU,model,
