#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1851.0,+219/-83,0.828,6.37,2.89,9.124,9.21,0.752,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1724.0,+194/-71,0.674,10.83,5.76,13.516,2742.8,1.218,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1713.0,+231/-105,0.661,11.34,5.14,12.655,2742.8,7.936,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1693.0,+426/-235,0.812,12.25,1.85,8.979,64.25,6.446,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1647.0,+193/-92,0.575,14.67,9.23,15.838,11.1,0.682,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1631.0,+264/-143,0.56,15.57,7.25,13.877,11.21,0.845,✔️,0.0,False,GPU,model,
6,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1587.0,+182/-107,0.46,18.23,10.11,16.349,4471.59,21.354,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1584.0,+197/-131,0.494,18.42,8.59,15.368,12.32,0.524,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1568.0,+248/-172,0.521,19.48,6.75,16.617,6.2,0.211,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [14.29% IMPUTED],1560.0,+317/-221,0.544,19.96,7.36,20.149,2987.95,15.005,✔️,14.29,True,GPU,model,
10,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1557.0,+121/-53,0.437,20.21,12.14,17.273,4471.59,3.755,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1552.0,+158/-116,0.446,20.56,11.08,16.213,46.82,7.43,➖,0.0,False,GPU,model,
12,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1516.0,+131/-80,0.391,23.07,13.57,19.872,3919.29,4.506,✔️,0.0,False,GPU,model,
13,🧠⚡,Foundation Model,[Mitra (default)](https://arxiv.org/abs/2510.21204) [14.29% IMPUTED],1508.0,+239/-179,0.436,23.6,12.59,21.795,200.35,4.415,✔️,14.29,True,GPU,model,
14,🧠⚡,Foundation Model,[TabPFNv2 (tuned)](https://www.nature.com/articles/s41586-024-08328-6) [14.29% IMPUTED],1474.0,+227/-194,0.393,26.15,11.46,22.06,2987.95,0.629,✔️,14.29,True,GPU,model,
15,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1474.0,+119/-73,0.339,26.16,15.47,20.604,3919.29,0.749,✔️,0.0,False,GPU,model,
16,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1465.0,+58/-30,0.283,26.88,23.13,19.82,3415.61,1.368,✔️,0.0,False,CPU,model,
17,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1464.0,+147/-93,0.285,26.92,20.16,20.675,1502.45,6.327,✔️,0.0,False,CPU,model,
18,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1462.0,+185/-160,0.373,27.08,13.09,22.566,4631.38,190.548,✔️,0.0,False,GPU,model,
19,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1454.0,+129/-83,0.268,27.72,21.57,20.881,1502.45,1.367,✔️,0.0,False,CPU,model,
20,🧠⚡,Foundation Model,[TabPFNv2 (default)](https://www.nature.com/articles/s41586-024-08328-6) [14.29% IMPUTED],1453.0,+200/-166,0.335,27.78,15.64,21.785,7.26,0.403,✔️,14.29,True,GPU,model,
21,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1441.0,+134/-108,0.305,28.73,20.57,21.59,684.78,4.813,➖,0.0,False,GPU,model,
22,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1438.0,+54/-34,0.232,28.91,24.04,20.525,3415.61,0.217,✔️,0.0,False,CPU,model,
23,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1435.0,+208/-169,0.284,29.21,11.63,22.607,6.75,0.264,➖,0.0,False,GPU,model,
24,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1432.0,+125/-138,0.288,29.44,17.64,21.971,2097.62,3.141,✔️,0.0,False,GPU,model,
25,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1422.0,+198/-161,0.316,30.22,14.54,23.528,4631.38,30.351,✔️,0.0,False,GPU,model,
26,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1416.0,+112/-64,0.19,30.67,22.8,21.266,2551.65,1.021,✔️,0.0,False,CPU,model,
27,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1413.0,+122/-75,0.159,30.9,22.54,20.978,7359.32,9.023,✔️,0.0,False,GPU,model,
28,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1412.0,+84/-69,0.188,31.03,14.33,21.081,7359.32,0.596,✔️,0.0,False,GPU,model,
29,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1407.0,+121/-61,0.181,31.41,24.73,21.409,2551.65,4.526,✔️,0.0,False,CPU,model,
30,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1406.0,+148/-108,0.263,31.48,19.71,22.417,13.71,0.733,✔️,0.0,False,GPU,model,
31,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1401.0,+116/-80,0.154,31.91,25.72,21.731,34415.89,1003.647,✔️,0.0,False,GPU,model,
32,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1389.0,+266/-221,0.386,32.89,7.66,21.488,22.56,1.484,➖,0.0,False,GPU,model,
33,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1351.0,+195/-182,0.245,36.0,15.55,25.269,1076.45,1.541,✔️,0.0,False,CPU,model,
34,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1351.0,+86/-84,0.157,36.02,30.24,23.524,45754.93,0.315,✔️,0.0,False,CPU,model,
35,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1345.0,+90/-78,0.152,36.49,30.63,22.908,29.23,0.249,✔️,0.0,False,CPU,model,
36,🧠🔁,Neural Network,[TorchMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1336.0,+137/-121,0.128,37.3,28.71,23.793,4142.9,2.104,✔️,0.0,False,CPU,model,
37,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564) [14.29% IMPUTED],1332.0,+200/-162,0.197,37.56,21.22,26.854,11.18,2.132,✔️,14.29,True,GPU,model,
38,🧠🔁,Neural Network,[FastaiMLP (tuned + ensembled)](https://arxiv.org/abs/2003.06505),1332.0,+217/-174,0.214,37.57,14.56,24.369,2775.63,12.586,✔️,0.0,False,CPU,model,
39,❓,Other,[xRFM (tuned)](https://arxiv.org/abs/2508.10053),1329.0,+112/-116,0.189,37.87,18.83,24.21,2097.62,0.514,✔️,0.0,False,GPU,model,
40,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1324.0,+138/-135,0.142,38.29,30.12,24.167,2362.59,0.126,✔️,0.0,False,CPU,model,
41,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1316.0,+137/-124,0.127,38.91,32.86,24.05,2362.59,1.125,✔️,0.0,False,CPU,model,
42,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1310.0,+90/-101,0.091,39.43,34.34,23.079,34415.89,299.32,✔️,0.0,False,GPU,model,
43,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1309.0,+192/-207,0.23,39.53,15.1,25.964,755.27,2.155,✔️,0.0,False,CPU,model,
44,🌳,Tree-based,[EBM (tuned)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1307.0,+90/-96,0.124,39.67,33.06,24.277,45754.93,0.07,✔️,0.0,False,CPU,model,
45,🌳,Tree-based,[ExtraTrees (tuned)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1305.0,+194/-201,0.218,39.86,13.19,26.696,1076.45,0.31,✔️,0.0,False,CPU,model,
46,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1300.0,+224/-200,0.187,40.28,15.22,26.245,46.25,45.719,✔️,0.0,False,GPU,model,
