method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
EXAONE-Tabular,Default,Foundation Model,1.2098060200094838,4.364579274903896,2.46104985991286,2021.2,False,0.0
TabFM,Default,Foundation Model,13.118037365965371,27.18204777683644,5.513156311660908,1910.8,False,0.0
TabPFN-3,Default,Foundation Model,0.2136890429410839,1.019628456853081,5.9205746720613925,1789.1,False,0.0
TabPFN-2.6,Default,Foundation Model,0.7022481243067644,2.638667871061823,8.117027536413834,1746.9,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,11.649588696054158,739.1047147274468,7.689710143986307,1700.1,False,0.0
TabICLv2,Default,Foundation Model,0.11774981021881104,0.5630642002405122,8.574852402623483,1691.4,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.1340282337610113,739.1047147274468,8.810427387240221,1654.3,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,6.2338623422796955,2522.590218997016,8.073133431832265,1649.0,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.7690895557403564,112.40404587268698,8.893678785799613,1629.9,False,0.0
RealMLP,Tuned + Ens.,Neural Network,1.7432247239443814,1714.2893053174018,9.287332945694477,1607.9,False,0.0
ChimeraBoost,Tuned,Tree-based,0.0696157815055748,112.40404587268698,9.765176573995502,1578.7,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.1892457457565731,477.5939557065072,9.968946274303864,1570.3,False,0.0
LightGBM,Tuned + Ens.,Tree-based,2.620774431067702,129.2466479180153,11.043738504316165,1569.7,False,0.0
CatBoost,Tuned,Tree-based,0.01619083936824355,477.5939557065072,10.184416988476665,1560.8,False,0.0
TabM,Tuned + Ens.,Neural Network,0.5563493456400391,1176.254223026874,10.59508998930297,1546.6,False,0.0
ModernNCA,Tuned,Neural Network,0.31826588153839114,2522.590218997016,11.016611217611148,1539.5,False,0.0
XGBoost,Tuned + Ens.,Tree-based,0.7060451862993489,289.3497533723142,10.831889223650787,1539.0,False,0.0
CatBoost,Default,Tree-based,0.010890969035142155,1.8802002354113756,10.100493416413588,1525.1,False,0.0
iLTM,Tuned + Ens.,Foundation Model,69.5857864071575,2045.5905262121532,10.702415533221016,1524.1,False,0.0
LightGBM,Tuned,Tree-based,0.11743739074649685,129.2466479180153,11.664889246796903,1517.8,False,0.0
ChimeraBoost,Default,Tree-based,0.047115109468761254,0.5326435565948486,9.988956184440307,1517.8,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.6684256529159935,1.908787906147479,10.067222623330448,1512.6,False,0.0
RealMLP,Tuned,Neural Network,0.07853684359435839,1714.2893053174018,10.958689268257018,1510.5,False,0.0
XGBoost,Tuned,Tree-based,0.07958493420952246,289.3497533723142,11.109318240873929,1490.9,False,0.0
TabM,Tuned,Neural Network,0.05664646625518799,1176.254223026874,11.39254061710288,1481.7,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.17772761523632363,0.7556252269664333,11.7372736390607,1467.6,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,387.89032080018416,4532.190466345837,11.438261291222188,1458.6,False,0.0
xRFM,Tuned + Ens.,Other,0.8800015258789062,559.6449092181969,12.382207746754396,1414.4,False,0.0
TabDPT,Tuned,Foundation Model,39.45151534080505,4532.190466345837,13.640920407081126,1400.4,False,0.0
iLTM,Tuned,Foundation Model,6.230945951060246,2045.5905262121532,12.61861316659154,1385.5,False,0.0
xRFM,Tuned,Other,0.05058916691064162,559.6449092181969,14.296282167819044,1380.7,False,0.0
TabSwift,Default,Foundation Model,0.125846895105975,0.5121427197610179,13.222020739981813,1371.2,False,0.0
XGBoost,Default,Tree-based,0.0474258718509536,0.4833722600811407,12.839610159777523,1370.2,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,1.1994296216964722,1803.231335445866,13.101340307096468,1342.7,False,0.0
TabM,Default,Neural Network,0.04572783204819047,1.9359607518846387,14.18518245108172,1339.8,False,0.0
TabICL,Default,Foundation Model,1.5931837749481201,3.9759380125999453,13.783209805119101,1324.2,True,33.33333333333333
EBM,Tuned + Ens.,Tree-based,0.09285986037998886,662.236444266219,16.05428738530362,1310.5,False,0.0
LimiX,Default,Foundation Model,5.361307210385386,6.509650256623826,15.793352247385398,1288.8,False,0.0
ModernNCA,Default,Neural Network,0.22367359638214113,9.068310738140271,14.62136939165932,1275.5,False,0.0
TabDPT,Default,Foundation Model,39.09376414241783,41.5053698770604,16.363713590474568,1274.0,False,0.0
RealMLP,Default,Neural Network,0.29404003416433794,6.543074582898339,15.695660270490036,1271.7,False,0.0
RandomForest,Tuned + Ens.,Tree-based,0.22980501485425373,65.72538337997236,15.620826469045229,1238.1,False,0.0
TorchMLP,Tuned,Neural Network,0.0507240116247442,1803.231335445866,15.252947349856072,1232.3,False,0.0
LightGBM,Default,Tree-based,0.06997296000803761,0.3380289468902334,15.203715557902935,1227.5,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,0.1833493945789223,50.36185320495198,15.76709243706037,1224.6,False,0.0
Nori-30M,Default,Foundation Model,0.021932837589268388,0.23981224298477172,18.902041462630883,1213.9,True,66.66666666666666
EBM,Tuned,Tree-based,0.006130509149968557,662.236444266219,17.236876496666483,1213.9,False,0.0
RandomForest,Tuned,Tree-based,0.025020766258239745,65.72538337997236,15.985131115242218,1206.5,False,0.0
EBM,Default,Tree-based,0.005927023499511009,2.1343897894809123,18.234354170581142,1201.1,False,0.0
Nori,Default,Foundation Model,0.021932837589268388,0.23981224298477172,19.116943859725925,1185.3,True,66.66666666666666
BetaTabPFN,Default,Foundation Model,0.6103903646478186,66.05884442147293,17.197132016340568,1184.8,True,33.33333333333333
ExtraTrees,Tuned,Tree-based,0.016716735911979294,50.36185320495198,17.12929019396077,1178.3,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,1.636166665002177,354.906735482604,17.95187075748404,1170.3,False,0.0
SAP-RPT-OSS,Default,Foundation Model,10.384440310054389,11.422932979868676,17.86291572362749,1163.3,False,0.0
iLTM,Default,Foundation Model,9.514631009101867,86.71098544773324,19.199923804009508,1156.2,False,0.0
TorchMLP,Default,Neural Network,0.03903745720917561,2.579546649456024,18.91842169407118,1087.3,False,0.0
PerpetualBooster,Tuned + Ens.,Tree-based,0.4426938849826192,20.269478334366546,23.105792460521535,1059.9,False,0.0
FastaiMLP,Tuned,Neural Network,0.09416739940643311,354.906735482604,20.266473532532807,1053.2,False,0.0
xRFM,Default,Other,0.15727785960507176,2.545722965684567,27.447752524684716,1005.5,False,0.0
RandomForest,Default,Tree-based,0.021932837589268388,0.23981224298477172,21.507063971911567,1000.0,False,0.0
PerpetualBooster,Tuned,Tree-based,0.22514025974788407,20.269478334366546,24.241518646936406,998.2,False,0.0
