,EXAONE-Tabular (default),TabFM (default),TabPFN-3 (default),TabPFN-2.6 (default),TabICLv2 (default),RealTabPFN-2.5 (T+E),ModernNCA (T+E),ChimeraBoost (T+E),RealMLP (T+E),CatBoost (T+E),LightGBM (T+E),TabM (T+E),XGBoost (T+E),iLTM (T+E),TabDPT (T+E),TabDPT-Turbo (default),xRFM (T+E),TabSwift (default),TorchMLP (T+E),TabICL (default),EBM (T+E),LimiX (default),RandomForest (T+E),ExtraTrees (T+E),Nori-30M (default),BetaTabPFN (default),Nori (default),FastaiMLP (T+E),SAP-RPT-OSS (default),PerpetualBooster (T+E),OrionMSP (default),TabSTAR (T+E),KNN (T+E),TabFlex (default),Linear (T+E)
EXAONE-Tabular (default),,0.53333336,0.6,0.93333334,0.8666667,0.93333334,0.93333334,0.8,0.93333334,0.93333334,1.0,1.0,1.0,1.0,0.8666667,0.93333334,1.0,1.0,1.0,1.0,1.0,0.93333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TabFM (default),0.46666667,,0.73333335,0.8666667,0.8666667,0.8666667,0.8666667,0.6666667,0.8666667,0.8666667,0.93333334,1.0,0.8666667,0.8,0.8666667,1.0,0.93333334,0.8666667,0.93333334,0.8666667,1.0,0.8666667,1.0,1.0,1.0,1.0,1.0,0.93333334,0.93333334,1.0,1.0,1.0,0.93333334,1.0,1.0
TabPFN-3 (default),0.4,0.26666668,,0.6666667,0.73333335,0.6666667,0.8666667,0.8,0.73333335,0.73333335,0.8,0.8666667,0.73333335,0.8,0.73333335,0.93333334,0.8,0.93333334,0.8,0.8666667,0.8666667,0.8666667,0.93333334,0.93333334,0.93333334,1.0,1.0,0.93333334,0.93333334,0.93333334,1.0,1.0,0.93333334,1.0,0.93333334
TabPFN-2.6 (default),0.06666667,0.13333334,0.33333334,,0.53333336,0.46666667,0.73333335,0.6666667,0.73333335,0.73333335,0.8666667,0.8,0.6666667,0.73333335,0.8666667,0.8666667,0.73333335,0.8666667,0.8666667,0.93333334,1.0,0.8666667,1.0,1.0,0.8666667,0.93333334,0.93333334,0.93333334,0.93333334,1.0,1.0,1.0,1.0,1.0,1.0
TabICLv2 (default),0.13333334,0.13333334,0.26666668,0.46666667,,0.6,0.73333335,0.6,0.6666667,0.73333335,0.8,0.73333335,0.73333335,0.73333335,0.8,0.8666667,0.73333335,0.8666667,0.8,0.8666667,0.73333335,0.8666667,0.93333334,1.0,0.93333334,1.0,0.93333334,0.93333334,0.93333334,0.93333334,1.0,1.0,1.0,1.0,0.93333334
RealTabPFN-2.5 (T+E),0.06666667,0.13333334,0.33333334,0.53333336,0.4,,0.53333336,0.6666667,0.73333335,0.73333335,0.73333335,0.6,0.73333335,0.6666667,0.73333335,0.8,0.8,0.93333334,0.8,0.8666667,0.93333334,0.73333335,0.93333334,1.0,0.93333334,1.0,1.0,0.8666667,0.93333334,1.0,1.0,1.0,0.93333334,1.0,0.93333334
ModernNCA (T+E),0.06666667,0.13333334,0.13333334,0.26666668,0.26666668,0.46666667,,0.53333336,0.6,0.6,0.6,0.6666667,0.73333335,0.6666667,0.8666667,0.6666667,0.93333334,0.8,0.8666667,0.8666667,0.8666667,0.8,0.8666667,0.93333334,0.8666667,0.93333334,0.93333334,1.0,0.93333334,1.0,1.0,0.93333334,1.0,1.0,0.93333334
ChimeraBoost (T+E),0.2,0.33333334,0.2,0.33333334,0.4,0.33333334,0.46666667,,0.53333336,0.53333336,0.6,0.53333336,0.73333335,0.6666667,0.73333335,0.53333336,0.8,0.6666667,0.8,0.8666667,1.0,0.6666667,1.0,1.0,0.73333335,1.0,0.73333335,0.93333334,0.93333334,0.93333334,1.0,1.0,1.0,1.0,1.0
RealMLP (T+E),0.06666667,0.13333334,0.26666668,0.26666668,0.33333334,0.26666668,0.4,0.46666667,,0.6,0.53333336,0.53333336,0.53333336,0.6666667,0.6666667,0.6666667,0.8666667,0.73333335,0.8666667,0.6666667,0.73333335,0.8,0.93333334,0.93333334,0.8,0.8666667,0.8666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CatBoost (T+E),0.06666667,0.13333334,0.26666668,0.26666668,0.26666668,0.26666668,0.4,0.46666667,0.4,,0.4,0.4,0.53333336,0.6,0.6,0.46666667,0.73333335,0.6666667,0.8,0.8,0.73333335,0.6666667,0.93333334,1.0,0.73333335,0.8666667,0.73333335,0.93333334,0.93333334,1.0,1.0,1.0,1.0,1.0,1.0
