method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
BetaTabPFN,Foundation Model,283.64628629595046,4.102762514065599,25.043511143944507,1278.6,1.0,False,0.0
CatBoost,Tree-based,26.31949572472692,0.25360732128199437,22.34931675909746,1289.3,1.0,False,0.0
CatBoost,Tree-based,52.27604545838098,0.42316018389611426,20.150003790774573,1365.7,2.0,False,0.0
CatBoost,Tree-based,120.74210514852015,0.60515671294262,19.08027333597585,1407.6,5.0,False,0.0
CatBoost,Tree-based,216.64229365631525,0.7512952022322572,18.428882613814853,1434.9,10.0,False,0.0
CatBoost,Tree-based,415.1322548777084,0.8418166172934506,17.911864958217077,1451.3,25.0,False,0.0
CatBoost,Tree-based,727.79244724654,1.0075572470375904,17.907424395979493,1446.4,50.0,False,0.0
CatBoost,Tree-based,1402.2322064530945,1.1300458847340233,17.218581743402126,1455.7,100.0,False,0.0
CatBoost,Tree-based,2094.587026290945,1.2201190610820136,17.02290526600746,1446.9,150.0,False,0.0
CatBoost,Tree-based,2807.9829916592535,1.2219998696609164,16.766699507960613,1458.2,201.0,False,0.0
ChimeraBoost,Tree-based,8.61972090629037,0.10942806422801879,26.11382233756977,1262.1,1.0,False,0.0
ChimeraBoost,Tree-based,17.371835320360827,0.18312332223717537,25.601756413324892,1257.9,2.0,False,0.0
ChimeraBoost,Tree-based,41.99641850098292,0.3254630149820873,25.084038925700515,1260.8,5.0,False,0.0
ChimeraBoost,Tree-based,84.69179470335976,0.46739245569676147,24.57319681413706,1267.9,10.0,False,0.0
ChimeraBoost,Tree-based,213.81590884943074,0.5505975601660462,23.63312041768026,1286.9,25.0,False,0.0
ChimeraBoost,Tree-based,431.5971516863324,0.6681115899202003,23.078150632617835,1302.2,50.0,False,0.0
ChimeraBoost,Tree-based,864.5032224093512,0.7810601461663916,22.838174660917932,1313.4,100.0,False,0.0
ChimeraBoost,Tree-based,1293.2595881697134,0.8394536599460407,22.881011467258627,1305.9,150.0,False,0.0
ChimeraBoost,Tree-based,1729.7280097406056,0.8977874372919195,22.91275170642128,1300.9,201.0,False,0.0
EBM,Tree-based,12.194256444148424,0.042444576342367646,25.280086946971604,1215.4,1.0,False,0.0
EBM,Tree-based,81.22303813539394,0.11310962250900392,24.91717037380978,1221.8,2.0,False,0.0
EBM,Tree-based,314.4258454847504,0.18335135147574033,24.665046851041065,1240.0,5.0,False,0.0
EBM,Tree-based,700.8132948146103,0.18348596169154413,24.611006302144556,1246.7,10.0,False,0.0
EBM,Tree-based,1955.0904519335943,0.19588392729555593,24.373325477229113,1257.1,25.0,False,0.0
EBM,Tree-based,4550.04309660802,0.19937538879305344,24.126997002211024,1264.1,50.0,False,0.0
EBM,Tree-based,8811.076524426935,0.21465372420530876,23.663810813870555,1293.1,100.0,False,0.0
EBM,Tree-based,13221.524417293755,0.23863620774706773,23.466510482902002,1303.0,150.0,False,0.0
EBM,Tree-based,17528.831491194233,0.28175460140584613,23.321582116629436,1308.2,201.0,False,0.0
EXAONE-Tabular,Foundation Model,12.243629328876331,0.6814101592863328,10.016781455545702,1768.2,1.0,False,0.0
ExtraTrees,Tree-based,5.15583797116931,0.7866568202370239,38.65486857353691,933.1,1.0,False,0.0
ExtraTrees,Tree-based,9.967122385846753,0.9513567956692126,34.535587058069915,1010.3,2.0,False,0.0
ExtraTrees,Tree-based,24.61922874958849,0.796971752406789,28.115741877458095,1130.0,5.0,False,0.0
ExtraTrees,Tree-based,48.781772959480705,1.0328003280853149,26.290525095027334,1209.4,10.0,False,0.0
ExtraTrees,Tree-based,120.47856377232904,1.4148344837914677,24.319963206477794,1281.9,25.0,False,0.0
ExtraTrees,Tree-based,240.38650940231912,1.4054403816760364,24.114011686944814,1287.3,50.0,False,0.0
ExtraTrees,Tree-based,480.7654959147551,1.63798156816959,23.9172735939899,1291.8,100.0,False,0.0
ExtraTrees,Tree-based,722.162770693417,1.7473298833784874,23.72495205484202,1302.6,150.0,False,0.0
ExtraTrees,Tree-based,968.8626049308126,1.86363752738656,23.68360348372559,1304.7,201.0,False,0.0
FastaiMLP,Neural Network,8.375519893134893,0.6590449293607239,37.201000015461474,923.4,1.0,False,0.0
FastaiMLP,Neural Network,21.764623486230413,1.4924031951676258,35.926812113473574,957.6,2.0,False,0.0
FastaiMLP,Neural Network,63.38688810499963,3.139054265176452,32.93733804858791,1065.2,5.0,False,0.0
FastaiMLP,Neural Network,129.35255340301515,4.194877340958177,31.655540116628757,1128.0,10.0,False,0.0
FastaiMLP,Neural Network,331.75960871892454,5.892713095464621,30.13090594695281,1165.4,25.0,False,0.0
FastaiMLP,Neural Network,670.3371800320102,7.327056210145379,29.37573467535377,1189.3,50.0,False,0.0
FastaiMLP,Neural Network,1343.6187037297645,9.581338624450684,28.92375389126189,1208.1,100.0,False,0.0
FastaiMLP,Neural Network,2023.8043409808984,11.445277041936357,28.784916450384234,1211.1,150.0,False,0.0
FastaiMLP,Neural Network,2721.8722746730828,12.590091641480733,28.707296144005394,1211.5,201.0,False,0.0
LightGBM,Tree-based,5.120006979267361,0.44373072634716737,26.13752394878275,1197.2,1.0,False,0.0
LightGBM,Tree-based,12.225339492418353,1.7310412682253848,25.17175606910238,1233.3,2.0,False,0.0
LightGBM,Tree-based,30.380262980879944,2.3562691130828837,23.839458351923927,1293.1,5.0,False,0.0
LightGBM,Tree-based,62.106802543753034,2.9537243970450064,22.749727339509302,1341.4,10.0,False,0.0
LightGBM,Tree-based,158.84729392742923,3.4130882094403714,21.11881558406128,1375.9,25.0,False,0.0
LightGBM,Tree-based,317.66743217998976,4.00103410806775,20.45692533183304,1407.6,50.0,False,0.0
LightGBM,Tree-based,636.5825631214209,4.5773453267588184,20.091101965905363,1430.6,100.0,False,0.0
LightGBM,Tree-based,952.9418266180646,4.255703414422658,19.93271226531842,1434.4,150.0,False,0.0
LightGBM,Tree-based,1280.1849396349558,4.077698739785666,19.707194114923603,1445.2,201.0,False,0.0
LimiX,Foundation Model,41.12345448521016,8.609198273288408,13.572644399794237,1511.3,1.0,False,0.0
Mitra,Foundation Model,159.48286961149296,3.5435441031860546,22.313379436058945,1416.0,1.0,True,25.0
ModernNCA,Neural Network,17.244184316915785,0.5648398112879867,30.09133883642523,1111.5,1.0,False,0.0
ModernNCA,Neural Network,52.86272222270692,1.108698614903013,27.413543754207236,1162.3,2.0,False,0.0
ModernNCA,Neural Network,160.60820095308168,1.9275358110759022,24.323026421099627,1250.9,5.0,False,0.0
ModernNCA,Neural Network,327.24566614779724,2.936583997647706,23.508467050615632,1279.4,10.0,False,0.0
ModernNCA,Neural Network,806.1467207879468,4.735073375626185,22.842954259787735,1309.3,25.0,False,0.0
ModernNCA,Neural Network,1661.0512370872575,6.216685065377218,22.357144290200093,1311.8,50.0,False,0.0
ModernNCA,Neural Network,3324.8557036776956,7.559401884192615,22.297353255546778,1308.4,100.0,False,0.0
ModernNCA,Neural Network,4975.668728929599,8.749217224378594,21.68667329334866,1327.8,150.0,False,0.0
ModernNCA,Neural Network,6686.500425978513,9.586534730161866,21.301314236159698,1338.8,201.0,False,0.0
OrionMSP,Foundation Model,20.950185530243786,3.3262335461200117,35.28672416066657,971.0,1.0,False,0.0
PerpetualBooster,Tree-based,218.36144560500156,0.46028626588610744,62.41655236472995,644.9,1.0,False,0.0
PerpetualBooster,Tree-based,445.02148133439573,5.344152497774522,56.91058916052081,749.8,2.0,False,0.0
PerpetualBooster,Tree-based,1099.064950484335,10.955386717051436,53.494721204687735,809.0,5.0,False,0.0
PerpetualBooster,Tree-based,1308.4507704502219,9.593407785060844,53.31058193147693,808.5,6.0,False,0.0
RandomForest,Tree-based,0.7350368804993201,0.1479303420278562,37.70463376500166,988.6,1.0,False,0.0
RandomForest,Tree-based,4.4865086940704275,0.47173189026390183,30.394232526795804,1098.6,2.0,False,0.0
RandomForest,Tree-based,15.434471413051575,0.8456747424950322,26.284878107830274,1171.8,5.0,False,0.0
RandomForest,Tree-based,33.70702387900923,1.249197093700612,24.185664553047197,1208.5,10.0,False,0.0
RandomForest,Tree-based,88.30933270157644,1.335836381166219,22.993080703256474,1286.0,25.0,False,0.0
RandomForest,Tree-based,179.74598856693964,1.453941185970462,22.803301159088665,1291.4,50.0,False,0.0
RandomForest,Tree-based,361.91685042316124,1.4155319356432783,23.147934934600432,1292.6,100.0,False,0.0
RandomForest,Tree-based,543.5646193800922,1.5473644092539751,23.308930904061032,1295.1,150.0,False,0.0
RandomForest,Tree-based,729.2747129799207,1.8330056127221654,23.458427541298875,1287.7,201.0,False,0.0
RealMLP,Neural Network,19.129943171204065,6.920194808001857,28.13807447730195,1128.5,1.0,False,0.0
RealMLP,Neural Network,40.5342515889501,10.208654433401374,23.47981465270572,1273.2,2.0,False,0.0
RealMLP,Neural Network,105.76241946801129,11.136873028226653,21.151678012156594,1360.0,5.0,False,0.0
RealMLP,Neural Network,213.4238147529023,11.765089427128714,19.668279609723882,1414.6,10.0,False,0.0
RealMLP,Neural Network,537.3854228470854,12.491207692203071,18.686473953186823,1456.2,25.0,False,0.0
RealMLP,Neural Network,1076.4891299390874,14.461630371238208,18.175058362875784,1474.2,50.0,False,0.0
RealMLP,Neural Network,2156.0193004102266,16.602974708369644,17.96004824408294,1481.3,100.0,False,0.0
RealMLP,Neural Network,3232.720835475142,19.768277551056073,18.48023331643832,1466.6,150.0,False,0.0
RealMLP,Neural Network,4335.39413691375,21.142857232954626,18.833964489543177,1458.7,201.0,False,0.0
RealTabPFN-2.5,Foundation Model,9.88342513773013,0.8250564092989303,13.891889772896604,1543.1,1.0,False,0.0
RealTabPFN-2.5,Foundation Model,23.940283475590455,1.2057905305294514,13.71908469659067,1543.1,2.0,False,0.0
RealTabPFN-2.5,Foundation Model,65.69413436415823,2.433794417599419,13.351002456475769,1584.4,5.0,False,0.0
RealTabPFN-2.5,Foundation Model,134.77217176078798,3.2295930551746226,13.337382265442644,1632.7,10.0,False,0.0
RealTabPFN-2.5,Foundation Model,345.37166683747625,5.285400635329163,12.902214638744066,1679.2,25.0,False,0.0
RealTabPFN-2.5,Foundation Model,691.4097037423509,5.790634045654069,11.83374944334847,1723.5,50.0,False,0.0
RealTabPFN-2.5,Foundation Model,1395.1578235853203,7.463358563294468,10.142662045212408,1743.7,100.0,False,0.0
RealTabPFN-2.5,Foundation Model,2094.6976308922212,7.8898273316121115,8.596558438645971,1750.5,150.0,False,0.0
RealTabPFN-2.5,Foundation Model,2793.8656494382676,8.928008699549261,5.518057751282542,1765.8,201.0,False,0.0
SAP-RPT-OSS,Foundation Model,21.845181798727523,1.702136712671222,23.57644664568242,1309.3,1.0,False,0.0
TabDPT,Foundation Model,46.36346127182004,39.80271613288968,26.71855540828854,1191.9,1.0,False,0.0
TabDPT,Foundation Model,95.1581936187618,61.18945584605879,26.27821277207904,1227.8,2.0,False,0.0
TabDPT,Foundation Model,234.86684145013714,96.04682311734487,25.479225126328515,1276.9,5.0,False,0.0
TabDPT,Foundation Model,480.2032798424669,131.2394515615788,25.050455338275015,1303.4,10.0,False,0.0
TabDPT,Foundation Model,1187.4144510690016,196.2246230598372,24.06913622867442,1339.7,25.0,False,0.0
TabDPT,Foundation Model,2358.761097189168,222.0364795427639,23.4103451614601,1361.8,50.0,False,0.0
TabDPT,Foundation Model,4693.559341707283,282.54972431411113,23.149303937954308,1374.6,100.0,False,0.0
TabDPT,Foundation Model,7018.454976156195,310.93919310134044,22.778871092529357,1381.7,150.0,False,0.0
TabDPT,Foundation Model,9413.126994382601,343.7310101457117,22.26591773131718,1394.1,201.0,False,0.0
TabDPT-Turbo,Foundation Model,5.37868938195723,0.2735262830567403,22.475220285004056,1382.2,1.0,False,0.0
TabFM,Foundation Model,49.97455033269599,7.688969167240572,7.059160277426893,1698.1,1.0,False,0.0
TabFlex,Foundation Model,4.666865298176835,0.8545350274463062,43.14367005242726,779.2,1.0,False,0.0
TabICL,Foundation Model,11.508215331929234,1.9479990041951392,26.268405844428433,1277.4,1.0,True,12.5
TabICLv2,Foundation Model,4.725249670032916,0.22456937357959914,15.324612986117824,1528.9,1.0,False,0.0
TabM,Neural Network,14.96825965803302,0.6240769820167711,25.13785018702591,1305.1,1.0,False,0.0
TabM,Neural Network,32.41045724165123,1.0912900685366282,24.23485992463853,1331.2,2.0,False,0.0
TabM,Neural Network,92.185166027452,1.7054134696777945,23.34569560534898,1350.0,5.0,False,0.0
TabM,Neural Network,187.64815843412856,2.3761032339494914,22.637693758233837,1380.8,10.0,False,0.0
TabM,Neural Network,467.1995115985311,2.9257260459110555,22.200900897785452,1388.5,25.0,False,0.0
TabM,Neural Network,936.7829918110972,3.3279465065173666,21.747124714320492,1401.7,50.0,False,0.0
TabM,Neural Network,1869.6886183547042,3.98207725885974,20.94580404763754,1413.7,100.0,False,0.0
TabM,Neural Network,2822.706728221101,4.332104220212903,20.606079479204574,1418.3,150.0,False,0.0
TabM,Neural Network,3796.9310139525196,4.5447590803109446,20.18112072658355,1425.4,201.0,False,0.0
TabPFN-2.6,Foundation Model,9.902265123200571,0.5909006176053957,13.171105246107167,1661.9,1.0,False,0.0
TabPFN-3,Foundation Model,8.930837888203968,0.490201720150621,11.361879322080934,1598.8,1.0,False,0.0
TabPFNv2,Foundation Model,5.484515833941323,0.35357530606122034,21.510860138173104,1349.6,1.0,True,25.0
TabPFNv2,Foundation Model,22.805174772383204,2.8664922731435887,22.34061386436865,1364.9,2.0,True,25.0
TabPFNv2,Foundation Model,59.380925164292194,4.975106606390017,22.18989391178066,1401.7,5.0,True,25.0
TabPFNv2,Foundation Model,126.96017414078898,5.870452755897071,21.673997698569497,1423.5,10.0,True,25.0
TabPFNv2,Foundation Model,316.7601299190686,7.131827257423279,21.246023007894944,1441.6,25.0,True,25.0
TabPFNv2,Foundation Model,634.2403265362907,8.820094636953888,20.95172541745663,1458.7,50.0,True,25.0
TabPFNv2,Foundation Model,1281.803327542554,10.669607663685287,21.068188606140613,1453.3,100.0,True,25.0
TabPFNv2,Foundation Model,1922.3200187130262,12.091054759446479,21.244210345563037,1445.0,150.0,True,25.0
TabPFNv2,Foundation Model,2584.958151615775,12.368028893263833,21.530717924843433,1433.7,201.0,True,25.0
TabSTAR,Foundation Model,666.7207045488867,7.822578986681652,44.140526255001916,790.8,1.0,False,0.0
TabSTAR,Foundation Model,1026.6183216351885,9.787662048604176,43.87467478973742,808.1,2.0,False,0.0
TabSTAR,Foundation Model,1652.547473205289,13.233948069124155,43.121823435494946,826.4,5.0,False,0.0
TabSTAR,Foundation Model,2473.0165808755783,15.976778496139499,41.56054049354374,852.2,10.0,False,0.0
TabSTAR,Foundation Model,5380.208851945914,18.898332510216484,38.35905726761308,901.3,25.0,False,0.0
TabSTAR,Foundation Model,11008.255138032477,20.732547182164502,35.697869896198526,935.1,50.0,False,0.0
TabSTAR,Foundation Model,22866.390108275973,24.602255237848013,34.64441603168428,960.2,100.0,False,0.0
TabSTAR,Foundation Model,33810.832198526674,28.634509389854742,34.06960459705294,975.4,150.0,False,0.0
TabSTAR,Foundation Model,44782.595197783856,36.10231974067331,33.33486569520679,1001.2,201.0,False,0.0
TabSwift,Foundation Model,3.0219759465352487,0.0760162665793346,27.301046171200603,1206.1,1.0,False,0.0
TorchMLP,Neural Network,14.370479117952735,0.3624794906502594,33.07043819998449,1010.3,1.0,False,0.0
TorchMLP,Neural Network,28.580493427383637,0.6934737283613837,29.93300405645026,1094.6,2.0,False,0.0
TorchMLP,Neural Network,89.37412394995805,0.985420993060496,27.736989619585877,1171.8,5.0,False,0.0
TorchMLP,Neural Network,187.12724454002424,1.0396624231535034,26.78965144635953,1212.0,10.0,False,0.0
TorchMLP,Neural Network,451.1590289840698,1.2562289121272707,26.108703474801587,1219.3,25.0,False,0.0
TorchMLP,Neural Network,875.4622563657015,1.4451760109970393,25.672195443292445,1228.2,50.0,False,0.0
