#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1786.0,+376/-119,0.756,7.43,3.93,9.83,14.29,0.767,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1752.0,+428/-152,0.682,8.57,3.49,5.637,2837.96,9.546,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1733.0,+1261/-280,0.832,9.29,1.31,6.112,52.66,6.434,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1670.0,+222/-97,0.589,11.93,9.23,14.338,2837.96,1.132,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1663.0,+237/-92,0.576,12.29,9.0,13.688,10.78,0.65,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1603.0,+290/-116,0.486,15.36,8.96,13.213,10.97,0.855,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1597.0,+304/-133,0.492,15.71,6.99,12.315,9.45,0.514,✔️,0.0,False,GPU,model,
7,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1538.0,+191/-82,0.429,19.29,8.85,17.503,4655.15,21.781,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1538.0,+374/-172,0.482,19.29,6.35,15.462,5.36,0.234,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1496.0,+238/-133,0.35,22.14,14.89,15.294,46.11,9.187,➖,0.0,False,GPU,model,
