method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,7.10852696151597,36.44547701379686,3.213403904456883,1794.1,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.48799473324697207,4.40505746963661,8.623980211419749,1765.6,False,0.0
TabPFN-3,Default,Foundation Model,0.3605764017599016,2.6261237600350875,11.240353339002382,1671.1,False,0.0
TabICLv2,Default,Foundation Model,0.15824944501254648,1.7686337422571086,11.365352011880956,1600.7,False,0.0
TabPFN-2.6,Default,Foundation Model,0.46445577144622807,4.8153059659349875,12.517471330014976,1594.5,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,9.102965805536389,1924.5007092935039,13.066130430316408,1545.5,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.6942704556678836,4.9087216863172305,13.67703888773138,1531.6,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.3289068866310263,1924.5007092935039,13.730176452828827,1518.6,False,0.0
RealMLP,Tuned + Ens.,Neural Network,8.84883112230485,2775.9833627967273,15.24102043120652,1482.6,False,0.0
TabM,Tuned + Ens.,Neural Network,1.8843761147710547,1612.0705710762447,15.670994544938473,1466.1,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.16897717038298293,1.4436537136915364,15.981053987967087,1438.3,False,0.0
LightGBM,Tuned + Ens.,Tree-based,1.10129440135665,328.9554302436611,16.819034435787025,1425.9,False,0.0
iLTM,Tuned + Ens.,Foundation Model,336.0020690594927,8305.066305500057,16.517274703146306,1415.9,False,0.0
TabM,Tuned,Neural Network,0.23193533986777676,1612.0705710762447,16.554484972986753,1410.8,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,358.7531028480587,4982.661911570662,15.69986697327115,1409.0,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.24560988497082648,738.2612405474812,16.522596336783344,1406.7,False,0.0
CatBoost,Default,Tree-based,0.020382793493081364,3.040650541770277,16.49647471586438,1404.9,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.45580281962951025,323.3864790059225,17.357870533706844,1400.4,False,0.0
CatBoost,Tuned,Tree-based,0.02887607898305489,738.2612405474812,16.684070616362973,1399.4,False,0.0
RealMLP,Tuned,Neural Network,0.41469880057347985,2775.9833627967273,16.82595172205894,1391.7,False,0.0
LightGBM,Tuned,Tree-based,0.12645894026174304,328.9554302436611,17.624605337879455,1376.3,False,0.0
XGBoost,Tuned + Ens.,Tree-based,0.6209770484369515,473.03948685168484,17.625294495712318,1375.2,False,0.0
BetaTabPFN,Default,Foundation Model,1.7076126445297142,250.38562255411466,18.487040970107866,1373.6,False,0.0
TabSwift,Default,Foundation Model,0.05862805584458714,1.126632790861485,17.536275665168688,1371.8,False,0.0
LimiX,Default,Foundation Model,4.29864295094648,14.258602173837213,18.195011769345072,1370.5,False,0.0
ChimeraBoost,Tuned,Tree-based,0.04054450988769531,323.3864790059225,17.9530711781932,1362.4,False,0.0
ModernNCA,Tuned,Neural Network,0.5103151766062897,3383.9090129865262,17.901538079187887,1357.5,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.390322625318314,3383.9090129865262,18.0676507833005,1354.2,False,0.0
TabDPT,Tuned,Foundation Model,42.199234123622894,4982.661911570662,17.10841699849587,1347.0,False,0.0
ChimeraBoost,Default,Tree-based,0.047128917545412916,1.5841725935759094,18.431454641116442,1340.8,False,0.0
XGBoost,Tuned,Tree-based,0.130208239889673,473.03948685168484,18.115899824163964,1340.7,False,0.0
xRFM,Tuned + Ens.,Other,2.7662131303239423,642.4042496516736,18.517880341039437,1320.1,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.4148361224001214,2241.9244610212045,18.31648837230028,1312.6,False,0.0
TabM,Default,Neural Network,0.20754939160848923,5.029279769616684,18.64892602703503,1308.5,False,0.0
EBM,Tuned + Ens.,Tree-based,0.13352970639310463,936.752317670263,19.680919451496752,1303.9,False,0.0
iLTM,Tuned,Foundation Model,52.87546835637258,8305.066305500057,19.215818038779574,1298.4,False,0.0
xRFM,Tuned,Other,0.14624599603123312,642.4042496516736,19.60866507263376,1294.6,False,0.0
SAP-RPT-OSS,Default,Foundation Model,3.1666904340187747,12.85821274740529,20.762718052799862,1288.0,False,0.0
TabDPT,Default,Foundation Model,43.82395203037029,49.67160753900305,20.005842720363052,1275.5,False,0.0
EBM,Tuned,Tree-based,0.0160758721872912,936.752317670263,20.354155255108978,1269.7,False,0.0
ModernNCA,Default,Neural Network,0.31042271796897314,13.506618732788416,20.58557710927057,1265.0,False,0.0
RealMLP,Default,Neural Network,1.1163701521022618,9.330073523853496,19.484100166848204,1262.2,False,0.0
