#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1864.0,+222/-84,0.833,5.82,2.81,9.105,9.21,0.752,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1736.0,+199/-71,0.686,9.86,5.25,13.496,2742.8,1.218,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1721.0,+234/-102,0.671,10.48,4.66,12.635,2742.8,7.936,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1690.0,+439/-244,0.814,11.83,1.83,8.959,64.25,6.446,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1660.0,+210/-96,0.591,13.26,8.07,15.818,11.1,0.682,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1639.0,+276/-151,0.573,14.35,6.62,13.857,11.21,0.845,✔️,0.0,False,GPU,model,
6,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1605.0,+192/-115,0.482,16.2,9.2,16.33,4471.59,21.354,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1593.0,+206/-140,0.511,16.87,7.96,15.349,12.32,0.524,✔️,0.0,False,GPU,model,
8,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1576.0,+124/-56,0.459,17.87,10.9,17.254,4471.59,3.755,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1572.0,+266/-185,0.538,18.12,6.3,16.598,6.2,0.211,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1566.0,+165/-128,0.465,18.51,9.7,16.193,46.82,7.43,➖,0.0,False,GPU,model,
11,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1537.0,+136/-79,0.422,20.3,12.1,19.853,3919.29,4.506,✔️,0.0,False,GPU,model,
12,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1493.0,+125/-74,0.369,23.19,14.11,20.585,3919.29,0.749,✔️,0.0,False,GPU,model,
13,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1484.0,+155/-92,0.321,23.82,18.16,20.657,1502.45,6.327,✔️,0.0,False,CPU,model,
14,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1482.0,+69/-38,0.31,23.94,20.34,19.802,3415.61,1.368,✔️,0.0,False,CPU,model,
15,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1476.0,+190/-162,0.395,24.39,12.1,22.551,4631.38,190.548,✔️,0.0,False,GPU,model,
16,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1474.0,+137/-78,0.305,24.51,19.27,20.862,1502.45,1.367,✔️,0.0,False,CPU,model,
17,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1459.0,+138/-104,0.338,25.57,18.49,21.572,684.78,4.813,➖,0.0,False,GPU,model,
18,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1456.0,+56/-32,0.262,25.8,21.31,20.508,3415.61,0.217,✔️,0.0,False,CPU,model,
19,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1449.0,+130/-142,0.304,26.28,16.08,21.954,2097.62,3.141,✔️,0.0,False,GPU,model,
20,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1445.0,+216/-168,0.309,26.58,10.63,22.592,6.75,0.264,➖,0.0,False,GPU,model,
21,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1434.0,+205/-165,0.34,27.33,13.28,23.513,4631.38,30.351,✔️,0.0,False,GPU,model,
