#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1785.0,+191/-127,0.784,6.1,1.7,4.119,37.56,7.056,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1764.0,+146/-86,0.759,6.68,2.52,7.27,5.16,0.496,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1643.0,+114/-75,0.585,10.92,5.22,10.419,2.9,0.353,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1593.0,+103/-73,0.516,13.23,7.64,11.739,4.82,0.467,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1583.0,+107/-83,0.511,13.73,7.55,11.647,1.77,0.16,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1553.0,+107/-68,0.462,15.38,7.65,12.162,1878.36,10.744,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1546.0,+87/-57,0.456,15.75,9.42,12.73,4.79,0.708,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1521.0,+95/-60,0.444,17.23,9.71,12.892,1878.36,1.035,✔️,0.0,False,GPU,model,
8,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1503.0,+69/-60,0.395,18.33,11.85,13.813,2722.13,9.31,✔️,0.0,False,GPU,model,
9,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1429.0,+77/-73,0.338,23.32,11.47,15.427,2722.13,0.265,✔️,0.0,False,GPU,model,
10,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1422.0,+90/-68,0.326,23.83,10.73,15.634,1641.74,1.602,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1420.0,+80/-75,0.317,23.98,12.73,15.554,8274.67,361.103,✔️,0.0,False,GPU,model,
12,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1405.0,+100/-76,0.298,25.05,13.74,16.154,328.78,0.496,✔️,0.0,False,CPU,model,
13,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1399.0,+81/-75,0.309,25.52,12.02,15.757,1.48,0.167,➖,0.0,False,GPU,model,
14,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1391.0,+97/-90,0.291,26.12,14.18,16.788,328.78,0.037,✔️,0.0,False,CPU,model,
15,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1390.0,+69/-61,0.28,26.17,11.59,15.908,735.46,0.027,✔️,0.0,False,CPU,model,
16,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1388.0,+57/-49,0.23,26.33,19.6,16.619,328.64,0.773,✔️,0.0,False,CPU,model,
17,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1381.0,+107/-96,0.341,26.83,8.6,16.702,14.27,4.304,➖,0.0,False,GPU,model,
18,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1380.0,+61/-49,0.257,26.9,16.66,16.096,3.18,0.021,✔️,0.0,False,CPU,model,
19,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1380.0,+68/-73,0.26,26.92,11.65,16.146,735.46,0.301,✔️,0.0,False,CPU,model,
20,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1376.0,+76/-62,0.276,27.23,11.44,15.228,5891.3,409.932,✔️,0.0,False,GPU,model,
