method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
BetaTabPFN,Foundation Model,66.06532508378928,0.6520557524694399,17.369010872292666,1237.7,1.0,True,33.33333333333333
CatBoost,Tree-based,2.469413828723084,0.010282764438985344,9.444571492914964,1586.0,1.0,False,0.0
CatBoost,Tree-based,4.4162445684880955,0.04068073453140345,9.447982019315484,1589.4,2.0,False,0.0
CatBoost,Tree-based,12.876612222369168,0.06886368438989382,9.407993019000264,1606.5,5.0,False,0.0
CatBoost,Tree-based,24.258974220991107,0.09260063686411787,9.386799124036962,1609.8,10.0,False,0.0
CatBoost,Tree-based,62.05166363782045,0.14800972629415846,9.271608935893713,1621.7,25.0,False,0.0
CatBoost,Tree-based,122.58001743340024,0.17889789170675716,9.229946222411298,1626.8,50.0,False,0.0
CatBoost,Tree-based,242.64107636346372,0.21238325680356107,9.244315912233272,1626.2,100.0,False,0.0
CatBoost,Tree-based,361.12835802610556,0.22857363602101013,9.251369340317643,1625.6,150.0,False,0.0
CatBoost,Tree-based,489.92741010372185,0.25701532770653723,9.25948157868733,1624.4,201.0,False,0.0
ChimeraBoost,Tree-based,0.5392980166665183,0.0494996236081709,10.379295188169184,1544.9,1.0,False,0.0
ChimeraBoost,Tree-based,1.076420127962907,0.10581745264822978,10.077311440269186,1576.2,2.0,False,0.0
ChimeraBoost,Tree-based,2.658286767076883,0.1963174259864478,9.842833553959746,1595.7,5.0,False,0.0
ChimeraBoost,Tree-based,5.323936355191955,0.3044241749578052,9.676184440993454,1612.0,10.0,False,0.0
ChimeraBoost,Tree-based,14.077847183588997,0.4561167133331915,9.51621709266844,1628.1,25.0,False,0.0
ChimeraBoost,Tree-based,29.08640064122422,0.5422422684517325,9.405974291301185,1637.7,50.0,False,0.0
ChimeraBoost,Tree-based,57.697170673561786,0.6088316089577145,9.300562509218754,1648.4,100.0,False,0.0
ChimeraBoost,Tree-based,86.15556392509299,0.6790291334787025,9.237118105848936,1655.5,150.0,False,0.0
ChimeraBoost,Tree-based,115.66400360356192,0.710590541824814,9.173141468439736,1662.7,201.0,False,0.0
EBM,Tree-based,2.1751921610874043,0.005423073797379131,18.20931904143838,1219.3,1.0,False,0.0
EBM,Tree-based,6.66369259252883,0.01166082767964927,17.52748820552463,1244.1,2.0,False,0.0
EBM,Tree-based,17.233925805413904,0.022699023320909735,16.94512717998851,1270.6,5.0,False,0.0
EBM,Tree-based,34.57775587659134,0.03331359493060592,16.68818131275045,1283.8,10.0,False,0.0
EBM,Tree-based,87.92451656340509,0.049757168812449036,16.38607725381177,1301.4,25.0,False,0.0
EBM,Tree-based,174.9652611713922,0.05930088518555479,16.234630318310302,1312.0,50.0,False,0.0
EBM,Tree-based,345.06715788569375,0.0709126161428919,16.07619043353493,1322.7,100.0,False,0.0
EBM,Tree-based,520.7521321905026,0.0763826625184994,16.021225624103835,1327.6,150.0,False,0.0
EBM,Tree-based,695.6092947224777,0.08519206070345582,15.942365257493199,1334.5,201.0,False,0.0
EXAONE-Tabular,Foundation Model,4.521609933262339,1.2153026424728934,3.877569828213305,2019.0,1.0,False,0.0
ExtraTrees,Tree-based,0.48425838390986126,0.07330450852711995,23.07679216854791,970.2,1.0,False,0.0
ExtraTrees,Tree-based,0.8466137520036096,0.07522212407038217,20.9455653411256,1035.2,2.0,False,0.0
ExtraTrees,Tree-based,1.692317521137873,0.0926460135839083,17.76364217857252,1126.5,5.0,False,0.0
ExtraTrees,Tree-based,2.929179805844217,0.10109344429242911,16.62216092791794,1171.4,10.0,False,0.0
ExtraTrees,Tree-based,6.61473647238103,0.10828184879460544,15.873415372723237,1203.3,25.0,False,0.0
ExtraTrees,Tree-based,12.710816754735825,0.14385828902585665,15.707927081774411,1215.6,50.0,False,0.0
ExtraTrees,Tree-based,24.941682372165904,0.16087820180002574,15.587647217828806,1225.0,100.0,False,0.0
ExtraTrees,Tree-based,37.13843182260326,0.18771563305900177,15.584890982486558,1227.6,150.0,False,0.0
ExtraTrees,Tree-based,49.61278913069225,0.1990111468528113,15.62588205925529,1229.8,201.0,False,0.0
FastaiMLP,Neural Network,1.5145310856529652,0.11118662754860731,23.143333501431098,1032.7,1.0,False,0.0
FastaiMLP,Neural Network,3.1588915156956174,0.22199569005113567,22.132769160769488,1058.8,2.0,False,0.0
FastaiMLP,Neural Network,8.59563123829451,0.4051013545327364,20.816750884216624,1106.7,5.0,False,0.0
FastaiMLP,Neural Network,17.78186248206276,0.6441505685161579,20.05035525115413,1129.6,10.0,False,0.0
FastaiMLP,Neural Network,42.53008857176902,0.9551913220836626,19.102241881424888,1156.3,25.0,False,0.0
FastaiMLP,Neural Network,85.67628226317562,1.2793194595040644,18.523359701521173,1172.9,50.0,False,0.0
FastaiMLP,Neural Network,173.7598987199963,1.5591641511917327,18.03798148224495,1187.3,100.0,False,0.0
FastaiMLP,Neural Network,261.7851807624679,1.6900218906632645,17.710206800181904,1201.1,150.0,False,0.0
FastaiMLP,Neural Network,351.94124054616117,1.658906059585989,17.50479781603353,1210.4,201.0,False,0.0
LightGBM,Tree-based,0.2873206973075867,0.04475798376061936,15.155301515089375,1267.0,1.0,False,0.0
LightGBM,Tree-based,0.931650224659178,0.423415924843989,14.557803662018138,1318.1,2.0,False,0.0
LightGBM,Tree-based,2.728670285380442,0.7433885464019945,13.41463150431656,1417.8,5.0,False,0.0
LightGBM,Tree-based,6.1477936875711485,0.9410923145319288,12.560259470446075,1485.6,10.0,False,0.0
LightGBM,Tree-based,16.52097248547071,1.3202136892725407,11.554255651570546,1547.8,25.0,False,0.0
LightGBM,Tree-based,32.67977659086273,1.4195738396100834,11.125381050884,1581.1,50.0,False,0.0
LightGBM,Tree-based,65.3538276872704,2.0760086735335515,10.933801619458244,1596.8,100.0,False,0.0
LightGBM,Tree-based,98.42128335857386,2.2773590031797486,10.872873416923614,1601.9,150.0,False,0.0
LightGBM,Tree-based,131.56200707040514,2.638673830958025,10.834394260045334,1608.3,201.0,False,0.0
LimiX,Foundation Model,6.553292592842144,5.408573077515913,16.35696880090759,1293.5,1.0,False,0.0
ModernNCA,Neural Network,8.063770877226162,0.24960134666003478,14.661182384405883,1310.9,1.0,False,0.0
ModernNCA,Neural Network,21.753839521403215,0.5785744608262396,13.193638575578671,1385.3,2.0,False,0.0
ModernNCA,Neural Network,60.91776288315985,1.29474806549814,11.347654545480781,1500.0,5.0,False,0.0
ModernNCA,Neural Network,121.85928580479494,2.1427076773113676,10.662073340543367,1546.4,10.0,False,0.0
ModernNCA,Neural Network,292.3137710755714,2.7736882795804276,9.928475471173819,1597.6,25.0,False,0.0
ModernNCA,Neural Network,629.890040030536,3.9630762476559322,9.633238039712463,1618.4,50.0,False,0.0
ModernNCA,Neural Network,1243.5591974675485,5.167921375609095,9.51593097330366,1629.6,100.0,False,0.0
ModernNCA,Neural Network,1862.5519447854,5.876817380350334,9.468515553710935,1632.8,150.0,False,0.0
ModernNCA,Neural Network,2526.306680600179,6.104160729998767,9.443763457745737,1634.3,201.0,False,0.0
Nori,Foundation Model,0.19915272527270847,0.020899149004195042,19.05150404238013,1196.8,1.0,True,66.66666666666666
Nori-30M,Foundation Model,0.19915272527270847,0.020899149004195042,18.92492971330962,1218.9,1.0,True,66.66666666666666
OrionMSP,Foundation Model,10.095228483941819,3.7156797488530477,23.038083879365065,986.1,1.0,True,33.33333333333333
PerpetualBooster,Tree-based,1.498562971264291,0.0149545775519477,29.8232256280878,899.1,1.0,False,0.0
PerpetualBooster,Tree-based,6.4317773956676225,0.14601458387603072,27.286316856226566,989.3,2.0,False,0.0
PerpetualBooster,Tree-based,16.949305660221782,0.444796272511348,21.960994917748952,1108.8,5.0,False,0.0
PerpetualBooster,Tree-based,20.261904767465836,0.5149235804875691,21.837520970301856,1118.0,6.0,False,0.0
RandomForest,Tree-based,0.19915272527270847,0.020899149004195042,21.487531263225907,998.4,1.0,False,0.0
RandomForest,Tree-based,0.5021873110599798,0.045901973979854016,17.984500334706084,1118.3,2.0,False,0.0
RandomForest,Tree-based,1.489455051236279,0.11282485912166518,16.548265791486415,1182.6,5.0,False,0.0
RandomForest,Tree-based,3.130777319214283,0.13673928726731627,16.000963693667256,1212.3,10.0,False,0.0
RandomForest,Tree-based,8.02025679639823,0.20254017138230673,15.640050596605882,1236.8,25.0,False,0.0
RandomForest,Tree-based,16.237787158411987,0.2523558649222056,15.513276353326539,1247.0,50.0,False,0.0
RandomForest,Tree-based,32.671093442836856,0.2972209594249725,15.426406040146693,1256.3,100.0,False,0.0
RandomForest,Tree-based,49.171965802832155,0.33106692790985104,15.384543984100398,1260.5,150.0,False,0.0
RandomForest,Tree-based,65.99906390887335,0.34148336141365077,15.408766143774589,1263.6,201.0,False,0.0
RealMLP,Neural Network,6.7532462416847245,0.23498184801373212,15.399276703418005,1278.4,1.0,False,0.0
RealMLP,Neural Network,15.527578690794181,0.3080259999395399,13.220538713165366,1413.6,2.0,False,0.0
RealMLP,Neural Network,39.124153040818086,0.5106934438586126,11.686185106440359,1511.6,5.0,False,0.0
RealMLP,Neural Network,82.74224081710975,0.759436157944363,10.895650294274402,1552.0,10.0,False,0.0
RealMLP,Neural Network,213.27613858935567,0.9843404045345187,10.178101198557064,1598.3,25.0,False,0.0
RealMLP,Neural Network,427.90915376015505,1.1860326968189097,9.862836532791116,1614.6,50.0,False,0.0
RealMLP,Neural Network,848.9386425085199,1.4580786339418361,9.494782900682923,1633.8,100.0,False,0.0
RealMLP,Neural Network,1278.8937139162222,1.5889939536507325,9.34057141655702,1644.9,150.0,False,0.0
RealMLP,Neural Network,1719.820290101634,1.6682080327694422,9.26648569455373,1653.5,201.0,False,0.0
RealTabPFN-2.5,Foundation Model,1.8760518371058228,0.644969598113518,10.460561832371198,1543.9,1.0,False,0.0
RealTabPFN-2.5,Foundation Model,5.127864715472546,1.4937099645347298,10.386654108278252,1553.1,2.0,False,0.0
RealTabPFN-2.5,Foundation Model,16.206992788783356,3.2513268046584503,10.214294295709985,1567.1,5.0,False,0.0
RealTabPFN-2.5,Foundation Model,34.25360422679489,4.991835645809406,10.06696528682312,1583.9,10.0,False,0.0
RealTabPFN-2.5,Foundation Model,88.96282194243713,6.462092531240927,9.723788298565026,1622.6,25.0,False,0.0
RealTabPFN-2.5,Foundation Model,181.39522434540766,9.411482770309476,9.362160367128027,1646.3,50.0,False,0.0
RealTabPFN-2.5,Foundation Model,363.91723618262904,11.623618059298572,9.142412393005708,1658.9,100.0,False,0.0
RealTabPFN-2.5,Foundation Model,547.7650992279482,11.995516969136737,9.023884466226036,1661.7,150.0,False,0.0
RealTabPFN-2.5,Foundation Model,735.5848736648751,11.735986151605083,8.955596105611082,1661.4,201.0,False,0.0
SAP-RPT-OSS,Foundation Model,11.438056903606038,10.416202336590205,17.23843681747919,1210.8,1.0,False,0.0
TabDPT,Foundation Model,46.6209023206833,43.737812222627376,15.576764628003732,1341.2,1.0,False,0.0
TabDPT,Foundation Model,70.03488466291391,60.76345722760032,14.469231736400213,1371.8,2.0,False,0.0
TabDPT,Foundation Model,129.29601127069574,97.7966669956843,13.386754181691824,1414.7,5.0,False,0.0
TabDPT,Foundation Model,230.72939494613806,126.13170818355633,12.97865129061169,1432.4,10.0,False,0.0
TabDPT,Foundation Model,589.0616829285759,211.8920837189545,12.037722288615386,1478.4,25.0,False,0.0
TabDPT,Foundation Model,1187.757830840611,283.78344604791266,11.510852934184413,1504.6,50.0,False,0.0
TabDPT,Foundation Model,2376.2279314343073,356.1524517375418,11.13766631067647,1521.3,100.0,False,0.0
TabDPT,Foundation Model,3574.191913268326,402.5853130690112,10.8158002206966,1535.1,150.0,False,0.0
TabDPT,Foundation Model,4786.598933193933,433.01544407663886,10.639835805721967,1539.7,201.0,False,0.0
TabDPT-Turbo,Foundation Model,0.7535798581633265,0.1795394574862431,11.123824518288712,1539.1,1.0,False,0.0
TabFM,Foundation Model,27.288414010629126,13.118891688893655,3.083843965833134,1979.1,1.0,False,0.0
TabFlex,Foundation Model,0.2535430680186444,0.04516700306865167,28.012579296272865,938.7,1.0,True,33.33333333333333
TabICL,Foundation Model,3.9694329831335278,1.5956993553373549,13.752050099408313,1360.4,1.0,True,33.33333333333333
TabICLv2,Foundation Model,0.6015671441553114,0.118628191947937,7.246097372917232,1713.2,1.0,False,0.0
TabM,Neural Network,2.1306936635677576,0.047061096558805166,14.333001167620568,1335.5,1.0,False,0.0
TabM,Neural Network,6.720132302065123,0.10166420156235179,13.477976435057132,1384.5,2.0,False,0.0
TabM,Neural Network,26.071931655972485,0.19658337075272886,12.416590438718252,1440.1,5.0,False,0.0
TabM,Neural Network,56.6403905325952,0.2690374607115522,11.808701616304589,1481.4,10.0,False,0.0
TabM,Neural Network,151.63250845437173,0.34533908128738405,11.260527805438203,1515.4,25.0,False,0.0
TabM,Neural Network,305.405015900313,0.46416595419440415,10.980894165584523,1536.8,50.0,False,0.0
TabM,Neural Network,598.1660502680137,0.5371776271588682,10.756856818731784,1552.0,100.0,False,0.0
TabM,Neural Network,909.6246432442554,0.5567799536795643,10.6682837371345,1560.1,150.0,False,0.0
TabM,Neural Network,1236.8778796591432,0.5682121276236716,10.610272533923244,1568.3,201.0,False,0.0
TabPFN-2.6,Foundation Model,2.7558592936727737,0.700875014724915,8.221602704603333,1740.7,1.0,False,0.0
