#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1985.0,+147/-81,0.816,4.31,2.4,3.875,4.52,1.215,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1970.0,+288/-137,0.846,4.59,1.79,3.095,27.29,13.119,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1788.0,+217/-127,0.652,9.59,3.53,6.299,1.01,0.215,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1708.0,+116/-65,0.499,12.81,9.45,8.218,2.76,0.701,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1687.0,+172/-100,0.542,13.81,4.86,7.243,0.6,0.119,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1636.0,+129/-95,0.454,16.39,8.99,8.958,735.58,11.736,✔️,0.0,False,GPU,model,
6,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1628.0,+108/-93,0.446,16.84,5.92,9.166,115.66,0.708,✔️,0.0,False,CPU,model,
7,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1617.0,+93/-88,0.409,17.43,11.75,9.265,1719.82,1.675,✔️,0.0,False,GPU,model,
8,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1602.0,+101/-106,0.404,18.33,13.01,9.435,2526.31,6.013,✔️,0.0,False,GPU,model,
9,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1597.0,+89/-65,0.372,18.6,8.3,9.26,489.93,0.249,✔️,0.0,False,CPU,model,
10,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1593.0,+113/-93,0.412,18.81,10.84,9.567,735.58,1.386,✔️,0.0,False,GPU,model,
11,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1582.0,+98/-69,0.366,19.45,9.0,9.465,489.93,0.02,✔️,0.0,False,CPU,model,
12,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1577.0,+63/-51,0.322,19.79,13.92,10.826,131.56,2.639,✔️,0.0,False,CPU,model,
13,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1569.0,+108/-91,0.382,20.24,8.7,9.778,115.66,0.073,✔️,0.0,False,CPU,model,
14,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1564.0,+107/-102,0.371,20.59,8.26,9.442,2.47,0.01,✔️,0.0,False,CPU,model,
15,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1550.0,+83/-56,0.321,21.48,15.76,10.556,2067.95,65.195,✔️,0.0,False,GPU,model,
16,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1538.0,+88/-58,0.292,22.24,15.57,10.917,282.13,0.563,✔️,0.0,False,CPU,model,
17,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1536.0,+131/-82,0.3,22.31,13.69,10.612,1236.88,0.579,✔️,0.0,False,GPU,model,
18,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1527.0,+105/-85,0.3,22.91,13.73,10.414,1719.82,0.081,✔️,0.0,False,GPU,model,
19,🌳,Tree-based,[ChimeraBoost (default)](https://github.com/bbstats/chimeraboost),1525.0,+109/-97,0.336,23.04,12.62,10.377,0.54,0.049,✔️,0.0,False,CPU,model,
20,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1523.0,+120/-75,0.333,23.16,15.8,10.458,1.88,0.645,✔️,0.0,False,GPU,model,
21,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1514.0,+154/-137,0.366,23.74,11.8,11.121,0.75,0.18,➖,0.0,False,GPU,model,
22,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1514.0,+125/-114,0.335,23.8,6.46,10.641,4786.6,444.544,✔️,0.0,False,GPU,model,
