#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1820.0,+172/-88,0.813,6.32,3.08,9.045,8.14,0.672,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1710.0,+176/-79,0.686,10.04,5.56,12.701,2710.49,1.346,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1704.0,+224/-117,0.684,10.28,4.67,11.661,2710.49,8.095,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1673.0,+360/-218,0.792,11.67,2.04,9.112,55.13,7.685,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1630.0,+192/-102,0.59,13.76,8.92,14.97,9.94,0.613,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1584.0,+205/-143,0.546,16.38,6.17,13.787,11.66,0.489,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1577.0,+192/-127,0.533,16.82,7.95,14.341,10.23,0.844,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1556.0,+211/-131,0.515,18.11,4.9,14.186,44.33,7.062,➖,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1550.0,+231/-174,0.524,18.49,7.11,16.133,5.64,0.197,✔️,0.0,False,GPU,model,
9,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1498.0,+159/-110,0.402,21.98,11.22,17.698,4150.82,19.128,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[TabPFNv2 (tuned + ensembled)](https://www.nature.com/articles/s41586-024-08328-6) [25.00% IMPUTED],1477.0,+262/-220,0.476,23.52,8.23,21.007,2590.72,10.803,✔️,25.0,True,GPU,model,
11,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1472.0,+123/-85,0.382,23.9,13.4,18.559,4150.82,3.42,✔️,0.0,False,GPU,model,
12,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1453.0,+129/-95,0.342,25.3,14.81,20.484,3881.83,4.213,✔️,0.0,False,GPU,model,
13,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1451.0,+105/-72,0.31,25.39,19.2,19.869,1377.48,5.201,✔️,0.0,False,CPU,model,
14,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1443.0,+58/-35,0.302,26.05,22.67,19.284,2635.98,1.181,✔️,0.0,False,CPU,model,
15,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1439.0,+97/-67,0.293,26.33,20.7,20.1,1377.48,1.259,✔️,0.0,False,CPU,model,
16,🧠⚡,Foundation Model,[Mitra (default)](https://arxiv.org/abs/2510.21204) [25.00% IMPUTED],1439.0,+200/-174,0.381,26.33,13.84,22.437,161.66,3.703,✔️,25.0,True,GPU,model,
17,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1422.0,+207/-128,0.309,27.65,12.02,21.557,5.46,0.271,➖,0.0,False,GPU,model,
18,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1420.0,+64/-44,0.256,27.84,23.35,19.907,2635.98,0.173,✔️,0.0,False,CPU,model,
19,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1415.0,+180/-127,0.34,28.15,14.21,22.529,4635.17,212.235,✔️,0.0,False,GPU,model,
20,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1414.0,+117/-86,0.296,28.29,16.81,21.215,3881.83,0.698,✔️,0.0,False,GPU,model,
21,🧠⚡,Foundation Model,[TabPFNv2 (tuned)](https://www.nature.com/articles/s41586-024-08328-6) [25.00% IMPUTED],1406.0,+204/-168,0.344,28.93,12.67,22.679,2590.72,0.54,✔️,25.0,True,GPU,model,
22,🌳,Tree-based,[XGBoost (tuned)](https://arxiv.org/abs/1603.02754),1398.0,+86/-66,0.219,29.53,22.63,20.564,2210.17,0.974,✔️,0.0,False,CPU,model,
23,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1393.0,+87/-67,0.213,29.95,23.97,20.648,2210.17,3.984,✔️,0.0,False,CPU,model,
24,🧠⚡,Foundation Model,[TabPFNv2 (default)](https://www.nature.com/articles/s41586-024-08328-6) [25.00% IMPUTED],1392.0,+174/-144,0.293,29.99,17.04,22.428,6.47,0.363,✔️,25.0,True,GPU,model,
25,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1388.0,+91/-70,0.182,30.29,22.92,20.537,7128.67,9.211,✔️,0.0,False,GPU,model,
26,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1383.0,+81/-58,0.202,30.72,15.28,20.748,7128.67,0.776,✔️,0.0,False,GPU,model,
27,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1378.0,+97/-84,0.179,31.1,25.66,21.169,28234.45,841.446,✔️,0.0,False,GPU,model,
28,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1368.0,+192/-134,0.277,31.91,15.86,23.805,4635.17,34.761,✔️,0.0,False,GPU,model,
29,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1362.0,+143/-123,0.267,32.39,22.38,23.467,507.78,4.427,➖,0.0,False,GPU,model,
30,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1362.0,+150/-136,0.252,32.4,19.24,23.177,1980.61,3.604,✔️,0.0,False,GPU,model,
31,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1352.0,+104/-90,0.201,33.27,26.25,22.306,27107.4,0.271,✔️,0.0,False,CPU,model,
32,🧠⚡,Foundation Model,[SAP-RPT-OSS (default)](https://arxiv.org/abs/2506.10707),1340.0,+185/-233,0.338,34.29,8.54,22.058,22.52,1.681,➖,0.0,False,GPU,model,
33,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1338.0,+130/-128,0.212,34.38,21.05,22.244,1764.09,0.099,✔️,0.0,False,CPU,model,
34,🧠🔁,Neural Network,[TabM (default)](https://arxiv.org/abs/2410.24210),1337.0,+131/-127,0.23,34.48,21.43,23.985,12.83,0.673,✔️,0.0,False,GPU,model,
35,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1332.0,+132/-132,0.201,34.87,21.39,22.101,1764.09,0.884,✔️,0.0,False,CPU,model,
36,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1329.0,+74/-78,0.177,35.18,29.94,22.192,26.14,0.202,✔️,0.0,False,CPU,model,
37,🌳,Tree-based,[ExtraTrees (tuned + ensembled)](https://link.springer.com/article/10.1007/s10994-006-6226-1),1326.0,+180/-145,0.241,35.43,16.6,24.626,984.66,1.487,✔️,0.0,False,CPU,model,
38,🌳,Tree-based,[RandomForest (tuned + ensembled)](https://link.springer.com/article/10.1023/A:1010933404324),1315.0,+170/-166,0.264,36.34,14.9,24.445,738.02,1.862,✔️,0.0,False,CPU,model,
39,🧠⚡,Foundation Model,[TabICL (default)](https://arxiv.org/abs/2502.05564) [12.50% IMPUTED],1313.0,+164/-161,0.209,36.48,21.94,25.812,10.98,1.898,✔️,12.5,True,GPU,model,
