method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
EXAONE-Tabular,Default,Foundation Model,0.7517506125775105,9.205483532045955,9.124219466987809,1850.8,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.217878699427239,2742.795351331386,13.51572308828987,1724.3,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,7.9362255958778025,2742.795351331386,12.654955107338353,1712.9,False,0.0
TabFM,Default,Foundation Model,6.446392134487664,64.25012494685382,8.979001622421155,1693.4,False,0.0
TabPFN-2.6,Default,Foundation Model,0.6817692835655438,11.102866444597112,15.838215767939698,1646.8,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.8448151087187924,11.214272968867826,13.877144076823084,1630.8,False,0.0
RealMLP,Tuned + Ens.,Neural Network,21.354012373017103,4471.586607071707,16.349495352083018,1587.0,False,0.0
TabPFN-3,Default,Foundation Model,0.5239137837015369,12.320374658349172,15.36787400057213,1584.0,False,0.0
TabICLv2,Default,Foundation Model,0.21093796039449758,6.203900757363573,16.61725636015634,1567.7,False,0.0
TabPFNv2,Tuned + Ens.,Foundation Model,15.004597448503242,2987.9489306484934,20.14869712350744,1560.4,True,14.285714285714285
RealMLP,Tuned,Neural Network,3.7554737985266877,4471.586607071707,17.273198506636305,1556.8,False,0.0
LimiX,Default,Foundation Model,7.429991788882946,46.823452850732465,16.21269202753746,1551.6,False,0.0
TabM,Tuned + Ens.,Neural Network,4.506153841857459,3919.2853343019815,19.872338716493363,1515.8,False,0.0
Mitra,Default,Foundation Model,4.414701461791992,200.34536781714596,21.795307575481942,1508.5,True,14.285714285714285
TabPFNv2,Tuned,Foundation Model,0.6293860489234211,2987.9489306484934,22.059674721998938,1474.2,True,14.285714285714285
TabM,Tuned,Neural Network,0.749394385772344,3919.2853343019815,20.604279366825015,1474.1,False,0.0
CatBoost,Tuned + Ens.,Tree-based,1.3675697396752033,3415.612516483141,19.820142317078453,1464.6,False,0.0
LightGBM,Tuned + Ens.,Tree-based,6.326719786188126,1502.4464127053532,20.67497278619576,1464.0,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,190.54824223909017,4631.375349995302,22.566275088139403,1462.0,False,0.0
