method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,11.645372004800587,25.251811810994045,0.6757812024280903,2252.1,False,0.0
EXAONE-Tabular,Default,Foundation Model,1.2190337778571498,5.938352790523042,2.1513830822480777,2101.2,False,0.0
TabPFN-3,Default,Foundation Model,0.2042898406795538,0.9134642861832926,1.9538958709880594,1953.0,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,9.556947026258655,735.5848736648751,3.450866516023051,1949.2,False,0.0
TabPFN-2.6,Default,Foundation Model,0.700875014724915,2.763002178987515,4.1398043604720245,1887.5,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,0.7137361674779378,735.5848736648751,3.926176708844771,1879.2,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,361.18258507713074,4786.598933193933,3.4884738573037657,1871.7,False,0.0
TabICLv2,Default,Foundation Model,0.10389168137478615,0.4638004914709253,3.187852634370965,1835.9,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,3.71660746715962,2526.306680600179,4.515628419024899,1835.3,False,0.0
RealMLP,Tuned + Ens.,Neural Network,1.6746674551212202,2028.2894493939805,4.922366904445695,1813.9,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.17842608661152493,0.6904298262168962,3.787015249885624,1807.3,False,0.0
TabDPT,Tuned,Foundation Model,41.598913241134056,4786.598933193933,3.8947777485701005,1804.0,False,0.0
Nori-30M,Default,Foundation Model,1.8676058388771264,4.873699292608979,5.746946245031692,1757.6,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.5079303228157378,1.6000651298315516,4.829192793785196,1720.3,False,0.0
TabDPT,Default,Foundation Model,39.21168710680279,45.7738111435751,4.516389576917672,1713.9,False,0.0
RealMLP,Tuned,Neural Network,0.08070331733080324,2028.2894493939805,5.951611602205788,1673.9,False,0.0
Nori,Default,Foundation Model,0.6406884541342266,1.9532897692295377,6.126682481933092,1666.0,False,0.0
xRFM,Tuned + Ens.,Other,0.6149915398868933,425.6136485357067,6.446440195182134,1643.4,False,0.0
LightGBM,Tuned + Ens.,Tree-based,11.236345797441988,222.05086324258062,8.06792662564513,1627.4,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.791558814481934,172.79633460877994,7.812758948324956,1619.0,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.344857002822471,912.756170214365,8.234835681157483,1605.0,False,0.0
CatBoost,Tuned,Tree-based,0.015173961820977102,912.756170214365,8.315334060926608,1584.5,False,0.0
LightGBM,Tuned,Tree-based,0.9682498776019389,222.05086324258062,8.363458907734433,1581.0,False,0.0
ModernNCA,Tuned,Neural Network,0.16565825642176243,2526.306680600179,6.280366033442762,1579.3,False,0.0
ChimeraBoost,Tuned,Tree-based,0.14178271210470866,172.79633460877994,8.190050906214525,1562.8,False,0.0
TabM,Tuned + Ens.,Neural Network,0.7132695164791374,2406.360319585994,7.24510631524439,1553.3,False,0.0
xRFM,Tuned,Other,0.040253720963020406,425.6136485357067,7.376618908544405,1517.9,False,0.0
ChimeraBoost,Default,Tree-based,0.06034322641308609,0.7917380896017114,8.548805897367004,1510.6,False,0.0
