method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,7.0561792582959235,37.56085286541245,4.203494156103959,1780.2,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.4957583784042041,5.164199277042998,7.348692824073503,1756.2,False,0.0
TabPFN-3,Default,Foundation Model,0.3530625429769291,2.9028568605869225,10.49863453342317,1633.6,False,0.0
TabPFN-2.6,Default,Foundation Model,0.46732751131057737,4.818334407462211,11.810164716693341,1585.2,False,0.0
TabICLv2,Default,Foundation Model,0.16003985077461458,1.7694169027021422,11.729217255302917,1573.0,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,10.744405347900123,1878.3590992619372,12.237721960458927,1547.3,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.7081268775139049,4.788015269827178,12.813042718575279,1536.3,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.0352207542955876,1878.3590992619372,12.967394047092126,1516.2,False,0.0
RealMLP,Tuned + Ens.,Neural Network,9.310086973846083,2722.1286706272067,13.888330241236869,1489.0,False,0.0
RealMLP,Tuned,Neural Network,0.26452064957959065,2722.1286706272067,15.503789805262363,1417.7,False,0.0
TabM,Tuned + Ens.,Neural Network,1.601935816175824,1641.7401040642999,15.71265043673719,1408.3,False,0.0
iLTM,Tuned + Ens.,Foundation Model,361.1026011106327,8274.66645037466,15.63792597194511,1407.8,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.4955938420968311,328.7810170494133,16.224184398697485,1393.6,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.16686481952867496,1.4816805766506467,15.838856180316158,1392.0,False,0.0
TabICL,Default,Foundation Model,2.0066462137869427,8.051302252597445,15.339339507366889,1384.8,True,3.3333333333333335
ChimeraBoost,Tuned,Tree-based,0.036901092529296874,328.7810170494133,16.857433083166768,1380.6,False,0.0
CatBoost,Tuned,Tree-based,0.02713937979729418,735.4606570949481,15.979223604211704,1378.0,False,0.0
LightGBM,Tuned + Ens.,Tree-based,0.7734248688551886,328.6416252859693,16.68735881615227,1375.6,False,0.0
LimiX,Default,Foundation Model,4.303622545922834,14.266900918285131,16.786120467992113,1375.2,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.30073634621479206,735.4606570949481,16.217863703760514,1369.8,False,0.0
CatBoost,Default,Tree-based,0.020933960871807933,3.1841367928063065,16.166735134497404,1369.6,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,409.9318208736349,5891.301430068592,15.30930977335056,1368.8,False,0.0
ModernNCA,Tuned,Neural Network,0.405195724330888,3436.743327322619,16.684080851729455,1362.8,False,0.0
XGBoost,Tuned + Ens.,Tree-based,0.6132840030598254,463.0121929349545,17.201717838513805,1362.2,False,0.0
TabM,Tuned,Neural Network,0.2189068869540566,1641.7401040642999,16.666761290299036,1361.2,False,0.0
TabSwift,Default,Foundation Model,0.0622971538337989,1.1067907258628278,16.944536435328466,1353.5,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.476340629368005,3436.743327322619,17.004493447954616,1340.6,False,0.0
TabDPT,Tuned,Foundation Model,39.56404734570363,5891.301430068592,17.057115130958746,1328.6,False,0.0
XGBoost,Tuned,Tree-based,0.10796669580105364,463.0121929349545,17.55525186926036,1327.7,False,0.0
BetaTabPFN,Default,Foundation Model,1.6993924490576053,248.5156197629477,18.500589004535815,1325.0,False,0.0
ChimeraBoost,Default,Tree-based,0.04909318591419019,1.797636092612127,17.936090993089184,1318.8,False,0.0
LightGBM,Tuned,Tree-based,0.08907242783799675,328.6416252859693,17.824793529928627,1316.0,False,0.0
iLTM,Tuned,Foundation Model,40.26774061876153,8274.66645037466,17.376041442932703,1313.1,False,0.0
EBM,Tuned + Ens.,Tree-based,0.13993256333866833,976.6816362244101,18.654608422566906,1300.9,False,0.0
TabPFNv2,Tuned + Ens.,Foundation Model,17.906599070634634,2916.211932308972,19.069687403859444,1298.4,True,33.33333333333333
xRFM,Tuned + Ens.,Other,1.5127555024891224,559.769651792469,17.792764393430794,1295.6,False,0.0
RealMLP,Default,Neural Network,1.1617619188751118,9.04466075960556,18.01547247092991,1292.6,False,0.0
TabM,Default,Neural Network,0.20245283134092534,5.879596992616121,18.327700632454498,1290.1,False,0.0
Mitra,Default,Foundation Model,2.667053025307921,106.35720124113234,19.29881147795261,1289.7,True,33.33333333333333
TorchMLP,Tuned + Ens.,Neural Network,2.3011998096154636,2206.639015644165,18.11584604225343,1274.8,False,0.0
xRFM,Tuned,Other,0.08604776333360112,559.769651792469,19.238402163549488,1256.7,False,0.0
TabPFNv2,Tuned,Foundation Model,0.22468179890087675,2916.211932308972,20.632980361201287,1252.0,True,33.33333333333333
EBM,Default,Tree-based,0.014925670623779298,2.841292559288534,20.096066856570413,1250.5,False,0.0
EBM,Tuned,Tree-based,0.014944791793823242,976.6816362244101,19.481799933752317,1248.4,False,0.0
SAP-RPT-OSS,Default,Foundation Model,3.1690613567950394,13.074128492845563,21.13460360550083,1239.1,False,0.0
TabDPT,Default,Foundation Model,39.443943878242806,47.887199399972175,20.06448628793497,1220.9,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,4.461688632607426,561.2940883156758,20.798597986870636,1215.2,False,0.0
