,TabFM (default),EXAONE-Tabular (default),TabPFN-3 (default),TabPFN-2.6 (default),TabICLv2 (default),RealTabPFN-2.5 (T+E),RealMLP (T+E),TabM (T+E),iLTM (T+E),TabDPT-Turbo (default),ChimeraBoost (T+E),LimiX (default),TabICL (default),TabDPT (T+E),TabSwift (default),CatBoost (T+E),LightGBM (T+E),XGBoost (T+E),ModernNCA (T+E),BetaTabPFN (default),TabPFNv2 (T+E),xRFM (T+E),EBM (T+E),Mitra (default),TorchMLP (T+E),SAP-RPT-OSS (default),FastaiMLP (T+E),TabSTAR (T+E),ExtraTrees (T+E),RandomForest (T+E),PerpetualBooster (T+E),OrionMSP (default),TabFlex (default),KNN (T+E),Linear (T+E)
TabFM (default),,0.7,0.8333333,0.8666667,0.8333333,0.93333334,0.8,0.93333334,0.8,0.93333334,0.8333333,0.9,0.9,0.93333334,0.8666667,0.93333334,0.93333334,0.9,0.8666667,0.96666664,0.96666664,0.93333334,0.93333334,1.0,0.96666664,0.9,0.9,0.9,0.96666664,0.96666664,1.0,1.0,1.0,0.93333334,0.96666664
EXAONE-Tabular (default),0.3,,0.6333333,0.8666667,0.8,0.8,0.8666667,0.93333334,0.9,0.8333333,0.93333334,0.8666667,0.96666664,0.8666667,0.8666667,0.93333334,0.93333334,0.96666664,0.93333334,0.96666664,0.93333334,0.96666664,0.93333334,0.93333334,0.96666664,0.93333334,0.9,0.8666667,0.96666664,1.0,1.0,0.96666664,0.93333334,1.0,0.96666664
TabPFN-3 (default),0.16666667,0.36666667,,0.56666666,0.56666666,0.6166667,0.73333335,0.8333333,0.73333335,0.8,0.8333333,0.73333335,0.8666667,0.8,0.8666667,0.8333333,0.9,0.8333333,0.9,0.96666664,0.8,0.8666667,0.8333333,0.9,0.8666667,0.8333333,0.8666667,0.8333333,0.96666664,0.93333334,0.96666664,1.0,0.93333334,0.96666664,0.93333334
TabPFN-2.6 (default),0.13333334,0.13333334,0.43333334,,0.5,0.53333336,0.6666667,0.73333335,0.76666665,0.76666665,0.8,0.76666665,0.9,0.73333335,0.73333335,0.8,0.9,0.7,0.8666667,0.8666667,0.8,0.8333333,0.9,0.8333333,0.9,0.8333333,0.8666667,0.8,0.93333334,1.0,0.96666664,0.96666664,0.9,1.0,0.96666664
TabICLv2 (default),0.16666667,0.2,0.43333334,0.5,,0.53333336,0.6666667,0.7,0.73333335,0.76666665,0.73333335,0.7,0.73333335,0.8333333,0.8,0.76666665,0.8,0.76666665,0.8333333,0.93333334,0.8,0.8333333,0.8,0.8,0.8666667,0.8333333,0.96666664,0.8666667,0.9,0.93333334,0.93333334,0.93333334,1.0,0.96666664,0.93333334
RealTabPFN-2.5 (T+E),0.06666667,0.2,0.38333333,0.46666667,0.46666667,,0.6333333,0.6666667,0.6666667,0.6,0.76666665,0.6666667,0.7,0.6666667,0.76666665,0.8333333,0.8,0.8,0.7,0.8666667,0.8666667,0.8,0.8333333,0.8666667,0.8,0.8333333,0.8,0.8,0.96666664,0.93333334,0.93333334,0.96666664,0.8666667,0.93333334,0.9
RealMLP (T+E),0.2,0.13333334,0.26666668,0.33333334,0.33333334,0.36666667,,0.6,0.7,0.6,0.56666666,0.53333336,0.6,0.6,0.6,0.8,0.73333335,0.6666667,0.6666667,0.7,0.6333333,0.73333335,0.8,0.7,0.8333333,0.8333333,0.9,0.76666665,0.9,0.8666667,0.93333334,0.93333334,0.8666667,0.96666664,0.96666664
TabM (T+E),0.06666667,0.06666667,0.16666667,0.26666668,0.3,0.33333334,0.4,,0.53333336,0.56666666,0.56666666,0.46666667,0.6,0.56666666,0.6333333,0.6,0.6666667,0.53333336,0.6,0.6333333,0.53333336,0.6,0.76666665,0.46666667,0.6666667,0.73333335,0.8,0.8333333,0.76666665,0.8333333,0.8,0.8333333,0.9,0.8666667,0.93333334
iLTM (T+E),0.2,0.1,0.26666668,0.23333333,0.26666668,0.33333334,0.3,0.46666667,,0.5,0.5,0.45,0.45,0.46666667,0.56666666,0.5,0.56666666,0.6,0.53333336,0.5,0.56666666,0.7,0.6666667,0.56666666,0.76666665,0.76666665,0.8333333,0.73333335,0.8333333,0.93333334,0.8666667,0.8333333,0.9,0.96666664,0.93333334
TabDPT-Turbo (default),0.06666667,0.16666667,0.2,0.23333333,0.23333333,0.4,0.4,0.43333334,0.5,,0.56666666,0.6,0.46666667,0.6333333,0.5833333,0.5,0.56666666,0.56666666,0.46666667,0.53333336,0.6666667,0.6666667,0.6333333,0.6666667,0.6333333,0.7,0.73333335,0.76666665,0.8,0.8,0.8,0.9,0.93333334,0.93333334,0.8333333
ChimeraBoost (T+E),0.16666667,0.06666667,0.16666667,0.2,0.26666668,0.23333333,0.43333334,0.43333334,0.5,0.43333334,,0.36666667,0.56666666,0.53333336,0.53333336,0.56666666,0.6333333,0.6333333,0.6,0.6,0.56666666,0.7,0.73333335,0.46666667,0.6666667,0.73333335,0.73333335,0.76666665,0.8,0.8666667,0.76666665,0.8333333,0.8666667,0.9,0.93333334
LimiX (default),0.1,0.13333334,0.26666668,0.23333333,0.3,0.33333334,0.46666667,0.53333336,0.55,0.4,0.6333333,,0.46666667,0.43333334,0.46666667,0.56666666,0.6333333,0.6333333,0.56666666,0.56666666,0.6666667,0.6,0.6666667,0.6333333,0.6666667,0.6666667,0.6333333,0.6666667,0.7,0.7,0.76666665,0.78333336,0.8,0.8666667,0.8666667
TabICL (default),0.1,0.033333335,0.13333334,0.1,0.26666668,0.3,0.4,0.4,0.55,0.53333336,0.43333334,0.53333336,,0.6,0.56666666,0.46666667,0.5,0.53333336,0.5,0.53333336,0.55,0.6,0.56666666,0.55,0.76666665,0.73333335,0.76666665,0.8,0.8,0.8333333,0.8333333,0.8666667,0.9,0.9,0.9
