method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM,Default,Foundation Model,6.492469420831793,40.79265625990497,1.4368463870340444,2167.8,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.7858417754949525,7.916915577088771,2.49700372937474,1919.1,False,0.0
TabPFN-3,Default,Foundation Model,0.3981148821555317,4.022038403118099,2.2984786021405856,1896.9,False,0.0
Nori-30M,Default,Foundation Model,2.0067377718622814,11.805027055098872,3.0892960124727917,1881.1,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.36601355671424,2043.536268049555,2.7514786622876612,1849.1,False,0.0
TabPFN-2.6,Default,Foundation Model,0.6996427483848318,8.436837183948612,3.420337433116042,1846.8,False,0.0
Nori,Default,Foundation Model,1.345528615429797,6.864202525448285,4.143790198754401,1796.0,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,336.9071136327156,7126.674788097648,4.034196704646897,1785.8,False,0.0
TabDPT,Tuned,Foundation Model,38.57261724240561,7126.674788097648,4.536159585973016,1730.6,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,0.7797947207700859,2043.536268049555,3.681131661561944,1727.0,False,0.0
TabICLv2,Default,Foundation Model,0.12183808043093501,1.3151215973226908,4.401215028336734,1696.2,False,0.0
RealMLP,Tuned + Ens.,Neural Network,10.474436206415431,4057.3100555326,5.7238479077820585,1665.6,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.18293855083150673,2.0183513985425856,5.458158688581935,1638.0,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.5191857229449792,6.941154657321727,5.134124893250544,1626.1,False,0.0
TabDPT,Default,Foundation Model,38.297076410885424,44.64856482110523,5.685846523558109,1620.3,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,7.580550796782489,3811.6104621202776,8.193007165733333,1581.6,False,0.0
LightGBM,Tuned + Ens.,Tree-based,5.476648655048637,686.4972156667195,8.821380609887623,1541.8,False,0.0
RealMLP,Tuned,Neural Network,0.3372766025913703,4057.3100555326,6.86903863218933,1539.1,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.42217893366788317,2267.1899830577595,8.565003596034732,1505.1,False,0.0
xRFM,Tuned + Ens.,Other,1.9734199806179167,708.9450090282763,7.992713729720934,1494.9,False,0.0
CatBoost,Tuned,Tree-based,0.04636871004567563,2267.1899830577595,8.598875483377597,1493.6,False,0.0
TabM,Tuned + Ens.,Neural Network,2.1105459826197217,3448.732592065238,7.192099734832838,1491.1,False,0.0
iLTM,Tuned + Ens.,Foundation Model,387.572909971016,12741.093915793572,8.560227650261782,1481.2,False,0.0
TabSwift,Default,Foundation Model,0.0719372145905942,0.8979740772086746,7.170531977546083,1473.8,False,0.0
LightGBM,Tuned,Tree-based,0.7428209858877407,686.4972156667195,9.607533254388088,1451.1,False,0.0
TabM,Tuned,Neural Network,0.19363772132987278,3448.732592065238,7.568569569616498,1447.5,False,0.0
xRFM,Tuned,Other,0.06866036527953626,708.9450090282763,8.54380944196361,1444.0,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.5049056517524699,518.4647612375757,9.904005861534422,1440.5,False,0.0
XGBoost,Tuned + Ens.,Tree-based,2.374794610300052,848.994191986563,9.539533629005593,1417.4,False,0.0
XGBoost,Tuned,Tree-based,0.4748247737108275,848.994191986563,9.521385881850025,1413.9,False,0.0
ModernNCA,Default,Neural Network,0.2894827463094471,16.074996445495383,10.811446737532773,1397.9,False,0.0
CatBoost,Default,Tree-based,0.01827198214133432,9.02269147040394,10.692717400354084,1389.9,False,0.0
TabPFNv2,Tuned + Ens.,Foundation Model,10.412541216243051,3805.619968588136,7.796396479691105,1387.0,True,46.15384615384615
