#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),2357.0,+1519/-150,0.897,2.2,1.62,0.554,25.12,11.643,✔️,0.0,False,GPU,model,
1,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),2128.0,+1100/-80,0.757,4.8,3.79,2.033,5.93,1.223,✔️,0.0,False,GPU,model,
2,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1976.0,+896/-74,0.629,8.2,7.12,3.263,739.1,11.65,✔️,0.0,False,GPU,model,
3,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1976.0,+1523/-259,0.74,8.2,2.46,1.849,0.87,0.204,✔️,0.0,False,GPU,model,
4,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1955.0,+924/-117,0.636,8.8,7.18,3.359,739.1,0.689,✔️,0.0,False,GPU,model,
5,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1869.0,+608/-39,0.514,11.6,10.41,4.292,2.78,0.702,✔️,0.0,False,GPU,model,
6,🧠🔁,Neural Network,[ModernNCA (tuned + ensembled)](https://arxiv.org/abs/2407.03257),1863.0,+604/-30,0.523,11.8,11.11,4.342,2552.31,4.522,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1817.0,+1200/-324,0.627,13.6,4.87,3.587,0.47,0.103,✔️,0.0,False,GPU,model,
8,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1812.0,+661/-75,0.47,13.8,12.93,4.919,2068.17,1.355,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[Nori-30M (default)](https://huggingface.co/Synthefy/Nori-30M),1797.0,+654/-114,0.47,14.4,12.33,5.367,4.86,1.881,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1797.0,+971/-168,0.525,14.4,3.37,4.132,4529.93,357.201,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1760.0,+758/-112,0.478,16.0,11.59,4.375,0.66,0.177,➖,0.0,False,GPU,model,
12,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1755.0,+885/-158,0.496,16.2,7.45,4.432,4529.93,39.54,✔️,0.0,False,GPU,model,
13,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1728.0,+878/-240,0.47,17.4,11.73,4.673,1.59,0.506,✔️,0.0,False,GPU,model,
14,🧠⚡,Foundation Model,[Nori (default)](https://github.com/Synthefy/synthefy-nori),1669.0,+558/-136,0.345,20.2,16.84,6.011,1.97,0.651,✔️,0.0,False,GPU,model,
15,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1657.0,+606/-168,0.335,20.8,16.46,6.165,2068.17,0.068,✔️,0.0,False,GPU,model,
16,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1653.0,+503/-86,0.253,21.0,17.79,7.822,223.05,9.706,✔️,0.0,False,CPU,model,
17,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1641.0,+487/-165,0.346,21.6,7.48,7.473,174.39,0.832,✔️,0.0,False,CPU,model,
18,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1637.0,+425/-66,0.31,21.8,19.86,6.485,438.56,0.52,✔️,0.0,False,GPU,model,
19,🧠⚡,Foundation Model,[TabDPT (default)](https://arxiv.org/abs/2410.18164),1633.0,+767/-197,0.416,22.0,11.55,5.218,41.51,38.297,✔️,0.0,False,GPU,model,
20,🌳,Tree-based,[LightGBM (tuned)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1630.0,+446/-87,0.23,22.2,18.81,7.991,223.05,0.793,✔️,0.0,False,CPU,model,
21,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1626.0,+545/-201,0.331,22.4,18.55,6.093,2552.31,0.201,✔️,0.0,False,GPU,model,
