,TabFM (default),Nori-30M (default),Nori (default),TabPFN-3 (default),TabPFN-2.6 (default),EXAONE-Tabular (default),TabDPT (T+E),RealTabPFN-2.5 (T+E),TabICLv2 (default),TabPFNv2 (T+E),RealMLP (T+E),TabDPT-Turbo (default),TabSwift (default),iLTM (T+E),ModernNCA (T+E),LightGBM (T+E),Mitra (default),TabM (T+E),CatBoost (T+E),xRFM (T+E),XGBoost (T+E),SAP-RPT-OSS (default),ChimeraBoost (T+E),LimiX (default),ExtraTrees (T+E),TorchMLP (T+E),EBM (T+E),RandomForest (T+E),TabSTAR (T+E),FastaiMLP (T+E),PerpetualBooster (T+E),KNN (T+E),Linear (T+E)
TabFM (default),,0.75,0.875,0.75,0.75,0.75,0.875,0.75,0.875,0.875,1.0,1.0,0.875,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nori-30M (default),0.25,,0.625,0.5,0.75,0.75,0.625,0.75,0.875,0.75,1.0,1.0,0.875,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nori (default),0.125,0.375,,0.5,0.625,0.75,0.75,0.625,0.875,0.625,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TabPFN-3 (default),0.25,0.5,0.5,,0.5,0.375,0.5,0.375,0.625,0.875,0.875,1.0,0.875,1.0,0.875,1.0,0.875,1.0,0.875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0
TabPFN-2.6 (default),0.25,0.25,0.375,0.5,,0.375,0.625,0.625,0.75,0.625,0.875,0.75,0.875,0.875,0.875,0.875,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EXAONE-Tabular (default),0.25,0.25,0.25,0.625,0.625,,0.375,0.5,0.625,0.625,0.875,1.0,0.75,1.0,0.875,1.0,0.875,1.0,1.0,1.0,1.0,0.875,1.0,0.875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0
TabDPT (T+E),0.125,0.375,0.25,0.5,0.375,0.625,,0.375,0.625,0.5,0.875,0.875,1.0,0.875,0.875,0.875,0.875,0.875,1.0,1.0,1.0,0.875,1.0,0.875,1.0,1.0,0.875,1.0,0.75,1.0,1.0,1.0,1.0
RealTabPFN-2.5 (T+E),0.25,0.25,0.375,0.625,0.375,0.5,0.625,,0.625,0.625,0.875,0.875,0.75,0.875,0.75,0.875,0.875,0.875,0.875,0.875,0.875,0.875,1.0,0.875,0.875,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0
TabICLv2 (default),0.125,0.125,0.125,0.375,0.25,0.375,0.375,0.375,,0.5,0.625,0.75,0.75,0.875,0.75,0.875,0.75,0.75,0.875,0.75,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,1.0,0.875,0.875,1.0,1.0
TabPFNv2 (T+E),0.125,0.25,0.375,0.125,0.375,0.375,0.5,0.375,0.5,,0.625,0.625,0.625,0.625,0.625,0.625,0.8125,0.625,0.625,0.75,0.75,0.875,0.75,0.875,0.625,0.75,0.875,0.875,0.75,0.875,0.875,1.0,1.0
RealMLP (T+E),0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.375,0.375,,0.625,0.625,0.75,0.625,0.75,0.625,0.625,0.875,0.75,0.875,0.75,0.875,0.75,1.0,0.875,0.875,1.0,0.875,1.0,1.0,1.0,1.0
TabDPT-Turbo (default),0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.125,0.25,0.375,0.375,,0.625,0.625,0.625,0.75,0.625,0.5,0.875,1.0,1.0,0.875,0.875,0.75,1.0,1.0,0.875,1.0,0.75,1.0,1.0,1.0,1.0
TabSwift (default),0.125,0.125,0.0,0.125,0.125,0.25,0.0,0.25,0.25,0.375,0.375,0.375,,0.625,0.375,0.625,0.625,0.625,0.75,0.625,0.75,0.875,0.75,0.75,0.75,0.875,0.875,1.0,0.75,1.0,1.0,1.0,1.0
iLTM (T+E),0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.125,0.375,0.25,0.375,0.375,,0.5,0.5,0.375,0.625,0.75,0.5,0.875,0.75,0.75,0.625,1.0,0.875,0.75,1.0,0.875,1.0,1.0,1.0,1.0
ModernNCA (T+E),0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.375,0.375,0.375,0.625,0.5,,0.625,0.5,0.5,0.375,0.5,0.75,0.625,0.625,0.625,0.75,0.625,0.75,0.875,0.75,1.0,0.875,1.0,1.0
LightGBM (T+E),0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.125,0.375,0.25,0.25,0.375,0.5,0.375,,0.5,0.625,0.5,0.5,0.75,0.625,0.875,0.75,0.875,0.875,0.875,1.0,0.75,1.0,1.0,1.0,1.0
Mitra (default),0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.125,0.25,0.1875,0.375,0.375,0.375,0.625,0.5,0.5,,0.625,0.5,0.625,0.625,0.5,0.625,0.75,0.625,0.875,1.0,0.75,0.875,0.875,0.875,1.0,1.0
TabM (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.375,0.375,0.5,0.375,0.375,0.5,0.375,0.375,,0.5,0.625,0.625,0.625,0.625,0.75,0.75,0.875,0.75,0.875,0.75,0.875,0.875,1.0,1.0
CatBoost (T+E),0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.375,0.125,0.125,0.25,0.25,0.625,0.5,0.5,0.5,,0.25,0.75,0.75,0.75,0.75,0.75,0.875,0.875,1.0,0.75,0.875,1.0,1.0,1.0
xRFM (T+E),0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.25,0.25,0.25,0.0,0.375,0.5,0.5,0.5,0.375,0.375,0.75,,0.5,0.625,0.625,0.75,0.875,0.75,0.875,1.0,0.75,0.875,0.875,1.0,1.0
XGBoost (T+E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.125,0.0,0.25,0.125,0.25,0.25,0.375,0.375,0.25,0.5,,0.375,0.625,0.75,0.75,0.875,0.875,0.875,0.75,1.0,1.0,1.0,1.0
