#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1802.0,+136/-91,0.845,7.72,2.28,4.967,36.45,7.109,✔️,0.0,False,GPU,model,
1,📊,System,[TabFM+](https://github.com/google-research/tabfm),1794.0,+130/-100,0.834,7.98,2.45,5.284,20.85,7.75,✔️,0.0,False,GPU,system,
2,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",1786.0,+111/-71,0.746,8.26,4.26,8.224,8.95,0.724,✔️,0.0,False,GPU,system,
3,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1764.0,+102/-72,0.759,9.0,3.7,9.709,4.41,0.488,✔️,0.0,False,GPU,model,
4,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1734.0,+94/-59,0.685,10.13,5.55,8.81,6.51,0.486,✔️,0.0,False,GPU,system,
5,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1667.0,+108/-78,0.581,13.05,6.02,9.622,272.41,4.561,✔️,0.0,False,GPU,system,
6,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1667.0,+95/-64,0.617,13.05,6.51,12.137,2.63,0.361,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1600.0,+106/-56,0.558,16.6,7.31,12.255,1.77,0.158,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1589.0,+75/-55,0.501,17.2,10.51,13.453,4.82,0.464,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1543.0,+96/-51,0.433,20.03,11.5,14.123,1924.5,9.103,✔️,0.0,False,GPU,model,
10,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1529.0,+74/-46,0.433,21.0,13.9,14.56,4.91,0.694,✔️,0.0,False,GPU,model,
11,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1517.0,+90/-50,0.404,21.78,11.33,14.677,1924.5,1.329,✔️,0.0,False,GPU,model,
12,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1497.0,+66/-65,0.344,23.19,11.93,15.0,1152.97,1.783,✔️,0.0,False,CPU,system,
13,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1477.0,+49/-49,0.303,24.64,17.31,15.901,2775.98,8.849,✔️,0.0,False,GPU,model,
14,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1462.0,+60/-48,0.277,25.75,14.43,16.339,1612.07,1.884,✔️,0.0,False,GPU,model,
15,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1438.0,+64/-65,0.302,27.56,13.97,16.654,1.44,0.169,➖,0.0,False,GPU,model,
16,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1420.0,+50/-36,0.204,28.94,21.78,17.42,328.96,1.101,✔️,0.0,False,CPU,model,
17,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1411.0,+54/-50,0.22,29.7,20.83,17.141,8305.07,336.002,✔️,0.0,False,GPU,model,
18,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1408.0,+65/-53,0.218,29.96,16.12,17.208,1612.07,0.232,✔️,0.0,False,GPU,model,
19,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1406.0,+62/-54,0.236,30.07,16.85,16.487,4982.66,358.753,✔️,0.0,False,GPU,model,
