method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM+,Baseline,System,7.41735602827516,27.32829783956456,6.101424300508201,1771.5,False,0.0
TabFM,Default,Foundation Model,6.316806491195324,38.565442655896284,6.420553914981533,1722.9,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,0.7852437451667453,16.229990081894115,10.954459711390307,1715.3,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.48799473324697207,5.708271319161451,11.319566117800065,1710.2,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,0.5422107171881358,11.373682276407878,11.651382207518585,1668.4,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,6.597582948250026,363.15976298404905,11.726168290664798,1611.9,False,0.0
TabPFN-3,Default,Foundation Model,0.4074238608280818,7.1656661470592695,13.94663248871858,1608.3,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.11399405474464,2289.3887157667205,14.317570127404617,1578.2,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5385860219310328,6.255988413491638,15.063902368342323,1571.9,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.7616019805185876,6.075442647373581,14.99427300774602,1563.5,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.2533832566333998,2289.3887157667205,14.968008556664097,1562.4,False,0.0
TabICLv2,Default,Foundation Model,0.16718720756471156,3.222111187462647,14.460729244735552,1560.0,False,0.0
LimiX,Default,Foundation Model,5.0441668927669525,27.768508878816206,17.044473931763353,1456.6,False,0.0
RealMLP,Tuned + Ens.,Neural Network,18.933066141767313,3423.6100841542398,18.022862236665222,1449.0,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.16897717038298293,4.349574886521392,18.736647539053706,1428.5,False,0.0
TabM,Tuned + Ens.,Neural Network,3.4179947198041427,2469.4800149005832,18.989537389439747,1427.0,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,1.882128393757061,3144.6171587685203,18.783994952759198,1420.8,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,231.83203769132646,5271.465053273891,19.03332782983377,1399.2,False,0.0
BetaTabPFN,Default,Foundation Model,2.3591113272724487,331.00096160130806,20.27877557627443,1390.7,False,0.0
TabM,Tuned,Neural Network,0.40786331094793643,2469.4800149005832,19.821692992824367,1380.0,False,0.0
LightGBM,Tuned + Ens.,Tree-based,1.8999116635911641,735.3700351285695,20.00516583520986,1374.5,False,0.0
RealMLP,Tuned,Neural Network,1.533330915408156,3423.6100841542398,19.500865366464335,1372.4,False,0.0
TabDPT,Tuned,Foundation Model,33.978364477167,5271.465053273891,19.700184895361055,1368.2,False,0.0
LightGBM,Tuned,Tree-based,0.31111747126727074,735.3700351285695,20.369175843922736,1350.0,False,0.0
TabSwift,Default,Foundation Model,0.054553709873135126,2.239971516640271,21.099252886437554,1343.2,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.39602676030046535,1542.9492660346423,20.399944693741908,1342.3,False,0.0
iLTM,Tuned + Ens.,Foundation Model,663.2627455245238,21290.018980503293,20.499809462797277,1336.3,False,0.0
CatBoost,Tuned,Tree-based,0.04403693704061311,1542.9492660346423,20.652114066725318,1332.7,False,0.0
ModernNCA,Tuned,Neural Network,0.5246167968352966,6049.278718909779,20.73428532236932,1329.4,False,0.0
SAP-RPT-OSS,Default,Foundation Model,1.6235508255235878,13.267175469328375,22.129208335357312,1315.4,False,0.0
CatBoost,Default,Tree-based,0.04045555652515913,7.176145272453626,21.23987824251668,1312.7,False,0.0
xRFM,Tuned + Ens.,Other,3.061994591445103,1053.9359121490252,21.361371256108118,1312.1,False,0.0
XGBoost,Tuned + Ens.,Tree-based,2.226911522802853,798.0801278695465,21.181462164917747,1305.8,False,0.0
TabM,Default,Neural Network,0.4108430405980662,8.785094234028033,21.604522484117954,1299.0,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.4622056860088509,1181.3011004690215,22.105805113584385,1298.0,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,8.736445970787049,6049.278718909779,21.693041956960087,1296.8,False,0.0
XGBoost,Tuned,Tree-based,0.35321735640546514,798.0801278695465,21.40491557490332,1289.2,False,0.0
TabDPT,Default,Foundation Model,43.707401035938005,51.4453139380566,22.065850711863757,1286.3,False,0.0
EBM,Tuned + Ens.,Tree-based,0.17401810256559608,2499.3997394448907,22.417519795738976,1277.7,False,0.0
ChimeraBoost,Tuned,Tree-based,0.04640049773486621,1181.3011004690215,22.521620692460438,1277.2,False,0.0
xRFM,Tuned,Other,0.16872231419302974,1053.9359121490252,22.528444371993874,1270.6,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.4148361224001214,2977.909537966162,22.02315865389952,1266.5,False,0.0
EBM,Tuned,Tree-based,0.02238635960651546,2499.3997394448907,22.97642675680393,1251.1,False,0.0
ChimeraBoost,Default,Tree-based,0.0525585786328536,6.074644495808363,23.437423459623435,1249.5,False,0.0
ModernNCA,Default,Neural Network,0.34626588759614874,15.547602936701828,24.26248039978642,1247.6,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,9.205823626373082,1424.2167400309727,23.090108778113397,1242.1,False,0.0
iLTM,Tuned,Foundation Model,161.22064740025013,21290.018980503293,22.7652175007903,1238.7,False,0.0
EBM,Default,Tree-based,0.022277721411777356,7.091591308677276,23.60808570320623,1234.3,False,0.0
RealMLP,Default,Neural Network,4.432104065230018,14.893898913619502,23.621396246382638,1212.0,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,1.4313148570840286,703.0330785913825,24.60019611904553,1205.3,False,0.0
TorchMLP,Tuned,Neural Network,0.15577682501214843,2977.909537966162,24.035164773193404,1199.3,False,0.0
FastaiMLP,Tuned,Neural Network,0.7488523805834237,1424.2167400309727,24.382654144008182,1191.5,False,0.0
ExtraTrees,Tuned,Tree-based,0.18383180821078948,703.0330785913825,25.42074234308105,1181.8,False,0.0
XGBoost,Default,Tree-based,0.23820756783993247,2.795730968868554,24.191106687511585,1174.3,False,0.0
LightGBM,Default,Tree-based,0.14068063703957615,3.149413841958201,24.50670781490298,1161.4,False,0.0
OrionMSP,Default,Foundation Model,2.611267571534629,15.44759455184155,26.536714285026324,1155.6,False,0.0
TabSTAR,Tuned,Foundation Model,5.606208042584258,40588.154017412875,26.63029343448997,1154.3,False,0.0
RandomForest,Tuned + Ens.,Tree-based,1.389408887801807,571.7337775834453,26.108879621017607,1152.0,False,0.0
TabSTAR,Tuned + Ens.,Foundation Model,22.575009019741543,40588.154017412875,26.706213331702372,1150.5,False,0.0
RandomForest,Tuned,Tree-based,0.12877829590791867,571.7337775834453,26.868312722116677,1115.7,False,0.0
iLTM,Default,Foundation Model,147.9369405766833,463.04852353544015,26.706447949962868,1111.2,False,0.0
PerpetualBooster,Tuned + Ens.,Tree-based,1.0518021797205275,391.0862000392764,32.82235779576969,1076.5,False,0.0
TorchMLP,Default,Neural Network,0.20389060196873837,11.292242876404972,28.16100051807374,1065.4,False,0.0
