,TabFM+,TabFM (default),"AutoGluon 1.6 (noncommercial, 4h)",EXAONE-Tabular (default),"AutoGluon 1.6 (extreme, 4h)","AutoGluon 1.5 (extreme, 4h)",TabPFN-3 (default),RealTabPFN-2.5 (T+E),TabPFN-2.6 (default),TabICLv2 (default),LimiX (default),RealMLP (T+E),TabDPT-Turbo (default),TabM (T+E),"AutoGluon 1.4 (best, 4h)",TabDPT (T+E),BetaTabPFN (default),LightGBM (T+E),TabSwift (default),SAP-RPT-OSS (default),CatBoost (T+E),iLTM (T+E),xRFM (T+E),ModernNCA (T+E),ChimeraBoost (T+E),XGBoost (T+E),EBM (T+E),TorchMLP (T+E),FastaiMLP (T+E),ExtraTrees (T+E),TabSTAR (T+E),OrionMSP (default),RandomForest (T+E),PerpetualBooster (T+E),TabFlex (default),Linear (T+E),KNN (T+E)
TabFM+,,0.56250006,0.7349206,0.7412699,0.74960315,0.7994048,0.82519835,0.8365079,0.8400794,0.8406747,0.91984135,0.9031747,0.88293654,0.8950396,0.9210318,0.9051588,0.8801588,0.90674603,0.8932541,0.8825397,0.94484127,0.9246033,0.9166666,0.94682544,0.93253976,0.9579366,0.9210318,0.9527778,0.93452376,0.9242063,0.8646826,0.9646826,0.9440476,0.9722222,0.95674604,0.96309525,0.9583333
TabFM (default),0.43749997,,0.67619044,0.72658736,0.7277778,0.7753968,0.79404753,0.7986111,0.77936506,0.83055556,0.88353175,0.84761906,0.8599206,0.85515875,0.895635,0.88492066,0.8621031,0.8904762,0.8630953,0.8607144,0.9123016,0.88571435,0.9059524,0.9027778,0.89960325,0.91785717,0.8896825,0.92222226,0.89087296,0.9242063,0.8396826,0.93333334,0.9376984,0.98373014,0.93928576,0.9619048,0.9480158
"AutoGluon 1.6 (noncommercial, 4h)",0.26507938,0.32380953,,0.52281743,0.6746031,0.6827381,0.6880952,0.71746033,0.73928577,0.73412704,0.83015877,0.82936513,0.8583334,0.8607143,0.8904763,0.9105159,0.868254,0.94285715,0.893254,0.8271825,0.93531746,0.9359126,0.9154762,0.9150794,0.9507937,0.95158726,0.9337302,0.96448416,0.92579365,0.93531746,0.854365,0.9511905,0.9309524,0.96904755,0.9615079,0.9511904,0.96626985
EXAONE-Tabular (default),0.25873017,0.27341273,0.47718257,,0.5634921,0.6710318,0.6396825,0.75079364,0.76944447,0.68214285,0.86071426,0.88611114,0.80753964,0.8861112,0.8769841,0.8378968,0.8873016,0.88849217,0.8789683,0.886508,0.9468254,0.906746,0.9202381,0.94206345,0.9595238,0.94444454,0.93253964,0.952381,0.92579365,0.9321428,0.8555556,0.94126993,0.9587302,0.9722222,0.93531746,0.95357144,0.97023803
"AutoGluon 1.6 (extreme, 4h)",0.25039682,0.27222222,0.32539684,0.4365079,,0.6059523,0.5807539,0.5869047,0.64682543,0.6670636,0.7817461,0.8047619,0.83611125,0.81785715,0.8571429,0.8988095,0.82420635,0.91051596,0.886508,0.81547624,0.89603174,0.9130953,0.9011904,0.890873,0.9285714,0.9186508,0.9238095,0.9474207,0.9327381,0.9234127,0.85396826,0.95714283,0.927381,0.9599206,0.961508,0.9535714,0.9686508
"AutoGluon 1.5 (extreme, 4h)",0.20059523,0.22460318,0.31726193,0.32896826,0.39404768,,0.47222224,0.5535714,0.6238095,0.5067461,0.73214287,0.81051594,0.68333334,0.8249999,0.8305556,0.7900795,0.770635,0.8746033,0.82380956,0.77380955,0.8869048,0.8928572,0.87777776,0.9035715,0.89880955,0.89722234,0.8785715,0.91269845,0.87738097,0.8984127,0.8234127,0.9355159,0.9174604,0.95277774,0.93253964,0.9297619,0.9484127
TabPFN-3 (default),0.17480159,0.20595239,0.31190482,0.36031747,0.41924602,0.52777773,,0.57857144,0.5555555,0.55714285,0.7253967,0.74285716,0.74285716,0.76031744,0.72023803,0.80079365,0.77837306,0.8142858,0.8615079,0.7857142,0.845635,0.856746,0.8702382,0.8599207,0.8873016,0.8712301,0.86746037,0.9103174,0.86210316,0.9242064,0.8599207,0.9420635,0.91071427,0.94246036,0.9499999,0.9428572,0.9404761
RealTabPFN-2.5 (T+E),0.16349207,0.20138888,0.2825397,0.24920638,0.41309524,0.4464286,0.42142862,,0.54206353,0.53492063,0.73055565,0.75277793,0.6420635,0.76468265,0.78492063,0.6940475,0.7869048,0.8269842,0.7603175,0.7906746,0.8662699,0.84186506,0.84722227,0.85515875,0.87956345,0.88492066,0.8595239,0.89126986,0.8700396,0.85436505,0.82857144,0.9150794,0.89444447,0.95714283,0.91785717,0.9365079,0.9166667
TabPFN-2.6 (default),0.15992062,0.22063494,0.2607143,0.23055555,0.3531745,0.37619048,0.44444448,0.45793658,,0.45198414,0.7031747,0.761508,0.68015873,0.75357145,0.7630953,0.7019841,0.75357145,0.804762,0.77658737,0.7789683,0.8531746,0.87738097,0.8357143,0.9035715,0.870635,0.8738095,0.8468254,0.89563495,0.85634935,0.8936507,0.82976186,0.8972222,0.8960318,0.93730164,0.9313492,0.92539686,0.94007933
TabICLv2 (default),0.15932539,0.16944446,0.26587301,0.31785718,0.3329365,0.49325392,0.44285718,0.46507937,0.5480159,,0.6914683,0.7234128,0.70674616,0.74325407,0.7575397,0.76170635,0.7634921,0.7833334,0.81746036,0.7162699,0.8071428,0.81746024,0.82103175,0.8123016,0.8317461,0.8261905,0.8333334,0.86230165,0.8539683,0.85654765,0.8253969,0.9063492,0.8876985,0.9293651,0.91190475,0.9484127,0.93492067
LimiX (default),0.08015875,0.11646826,0.16984127,0.13928571,0.21825397,0.26785716,0.2746032,0.26944444,0.29682544,0.30853176,,0.5749999,0.48531747,0.6234127,0.60198414,0.5482143,0.6166666,0.68531746,0.6376985,0.71507937,0.7095238,0.76130956,0.7325397,0.71388894,0.8087302,0.740873,0.7829366,0.759127,0.73869044,0.8242063,0.7880953,0.8450397,0.8519841,0.87896824,0.8507938,0.90277773,0.87857145
RealMLP (T+E),0.0968254,0.15238096,0.17063494,0.1138889,0.1952381,0.18948413,0.25714284,0.24722221,0.23849206,0.2765873,0.425,,0.45833334,0.54365075,0.5168651,0.50615084,0.5837302,0.7007937,0.5623016,0.6281746,0.74285716,0.7551588,0.7392858,0.688492,0.73650795,0.80992067,0.76587296,0.7753968,0.8208333,0.7952381,0.7849207,0.8103174,0.8571428,0.9202381,0.8496032,0.8972222,0.884127
TabDPT-Turbo (default),0.1170635,0.14007938,0.1416667,0.19246031,0.16388892,0.31666666,0.25714287,0.35793647,0.31984124,0.29325396,0.51468253,0.5416667,,0.5065476,0.5285714,0.59523815,0.5321428,0.59523815,0.69861114,0.6035715,0.63571435,0.6543651,0.63412696,0.6337301,0.66904753,0.6646825,0.67460316,0.7051587,0.7702382,0.7934523,0.7650794,0.8777779,0.84999996,0.8587302,0.93412703,0.8603174,0.91785717
TabM (T+E),0.10496032,0.14484128,0.13928573,0.1138889,0.18214285,0.175,0.23968256,0.23531748,0.24642858,0.25674602,0.37658733,0.45634928,0.49345237,,0.49126986,0.5204365,0.58809525,0.6317461,0.60436505,0.62579364,0.654365,0.6605159,0.63928574,0.6813492,0.70039696,0.73373014,0.79325396,0.7670636,0.7472223,0.7464286,0.7904762,0.7714285,0.7765873,0.8801588,0.8619048,0.9103174,0.87658733
