method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM+,Baseline,System,7.701997731089808,24.44220964725201,8.119332766863595,1925.2,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.7517506125775105,9.205483532045955,9.806581510018706,1859.0,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,0.9065368001512757,24.471649424023568,14.267924829731236,1795.6,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,0.6582124153258451,17.475477281712816,15.064709486246992,1757.3,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,2.8381498954386024,245.57815000827063,14.043365441229543,1744.9,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.217878699427239,2742.795351331386,14.188732072475204,1736.2,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,7.9362255958778025,2742.795351331386,13.326002856347547,1724.3,False,0.0
TabFM,Default,Foundation Model,6.446392134487664,64.25012494685382,9.685628840424584,1712.2,False,0.0
TabPFN-2.6,Default,Foundation Model,0.6817692835655438,11.102866444597112,16.51267974527497,1652.7,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.8448151087187924,11.214272968867826,14.542618517281728,1644.3,False,0.0
RealMLP,Tuned + Ens.,Neural Network,21.354012373017103,4471.586607071707,16.994843760630722,1600.4,False,0.0
TabPFN-3,Default,Foundation Model,0.5239137837015369,12.320374658349172,16.026989983676884,1588.8,False,0.0
RealMLP,Tuned,Neural Network,3.7554737985266877,4471.586607071707,17.914113413682582,1574.1,False,0.0
TabICLv2,Default,Foundation Model,0.21093796039449758,6.203900757363573,17.298877937833684,1573.1,False,0.0
LimiX,Default,Foundation Model,7.429991788882946,46.823452850732465,16.866464385337252,1562.7,False,0.0
TabM,Tuned + Ens.,Neural Network,4.506153841857459,3919.2853343019815,20.498567901328904,1534.6,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,2.8978423018897543,6549.611259951736,20.38366774056815,1530.4,False,0.0
TabM,Tuned,Neural Network,0.749394385772344,3919.2853343019815,21.228499567321073,1492.1,False,0.0
LightGBM,Tuned + Ens.,Tree-based,6.326719786188126,1502.4464127053532,21.31014775585621,1476.9,False,0.0
CatBoost,Tuned + Ens.,Tree-based,1.3675697396752033,3415.612516483141,20.442670683230883,1476.2,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,190.54824223909017,4631.375349995302,23.12059328245373,1474.4,False,0.0
LightGBM,Tuned,Tree-based,1.3668411391696849,1502.4464127053532,21.510526762462664,1468.4,False,0.0
BetaTabPFN,Default,Foundation Model,4.813336273584034,684.782312948558,22.198280575278133,1456.1,False,0.0
CatBoost,Tuned,Tree-based,0.2168886269849257,3415.612516483141,21.135482097502685,1450.5,False,0.0
