method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
EXAONE-Tabular,Default,Foundation Model,0.8923896932601929,2.243702356815338,2.825971550568951,2260.4,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,0.8894696245391104,4.002691769599915,2.6895987061534217,2167.5,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,2.1165445327758787,124.08694040775299,6.107157006168888,2099.6,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,0.8149155848904661,3.329997158050537,3.356479435107291,2067.0,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,1.8242596833264608,310.55582628846867,7.160939169661712,2052.7,False,0.0
TabFM+,Baseline,System,21.4171341466385,7.279343534551256,8.064589673838812,1994.0,False,0.0
TabFM,Default,Foundation Model,19.8203012705176,42.22138952650865,8.352694035047953,1977.4,False,0.0
TabPFN-3,Default,Foundation Model,0.30929614088173213,1.1913903518790716,9.28084108422405,1879.5,False,0.0
TabPFN-2.6,Default,Foundation Model,0.8822174167633057,2.6215608167648314,11.084938695149697,1849.4,False,0.0
TabICLv2,Default,Foundation Model,0.20055392633972197,0.638083758354187,11.695930558019112,1802.9,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.6597631980648105,112.40404587268698,10.859613628948681,1770.4,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,6.373143410682678,2149.061224968433,10.230261202502117,1741.5,False,0.0
RealMLP,Tuned + Ens.,Neural Network,2.482800019657198,1655.562733256817,10.74339325565725,1729.5,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,11.881938362121582,841.8438595298092,11.453853216291062,1729.5,False,0.0
iLTM,Tuned + Ens.,Foundation Model,70.74132932806287,1878.6350381183622,12.520057948717412,1725.6,False,0.0
XGBoost,Tuned + Ens.,Tree-based,0.4036472815755744,114.47827713965385,12.443189759113318,1723.6,False,0.0
ChimeraBoost,Tuned,Tree-based,0.04569630560122039,112.40404587268698,11.993768226291444,1721.7,False,0.0
TabM,Tuned + Ens.,Neural Network,0.5563493456400391,607.674413010352,11.939324755731102,1715.8,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.15401115919257122,339.6336294327437,11.511856554957436,1705.2,False,0.0
CatBoost,Tuned,Tree-based,0.014455754609338532,339.6336294327437,11.765287037979682,1702.3,False,0.0
CatBoost,Default,Tree-based,0.019012742978892577,1.4897650505917355,11.005713716703816,1690.9,False,0.0
LightGBM,Tuned + Ens.,Tree-based,0.5333389969801887,87.29968765024478,13.431446813031942,1675.9,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.2634274244308472,841.8438595298092,12.944141311243717,1670.4,False,0.0
ModernNCA,Tuned,Neural Network,0.31826588153839114,2149.061224968433,14.033628934384668,1667.6,False,0.0
ChimeraBoost,Default,Tree-based,0.047115109468761254,0.5326435565948486,11.660882822838275,1655.7,False,0.0
RealMLP,Tuned,Neural Network,0.08574869632720947,1655.562733256817,12.742816715484775,1641.3,False,0.0
XGBoost,Tuned,Tree-based,0.05847029132715539,114.47827713965385,12.816550029204713,1639.5,False,0.0
TabM,Tuned,Neural Network,0.05664646625518799,607.674413010352,12.87576743711818,1616.4,False,0.0
LightGBM,Tuned,Tree-based,0.06934191448767303,87.29968765024478,14.345627458298358,1600.6,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.889122314453125,2.319263756275177,13.0432005754035,1578.1,False,0.0
TabICL,Default,Foundation Model,4.847118711137219,9.962188071919401,14.446298389818763,1567.8,False,0.0
iLTM,Tuned,Foundation Model,5.934392793516128,1878.6350381183622,14.647791468645257,1530.3,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,1.673704695701599,1128.194660806656,14.483462358593135,1511.8,False,0.0
TabSwift,Default,Foundation Model,0.15452802658081052,0.6841801367582381,15.231325720880065,1511.8,False,0.0
XGBoost,Default,Tree-based,0.0474258718509536,0.4833722600811407,15.000630374329363,1503.4,False,0.0
TabM,Default,Neural Network,0.05323076248168945,1.5496904138862297,15.239702684605952,1483.2,False,0.0
xRFM,Tuned + Ens.,Other,1.1563299219697163,559.8943943667412,14.502647900580648,1481.5,False,0.0
xRFM,Tuned,Other,0.05631213155863356,559.8943943667412,16.933094329734168,1469.7,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.20378598690032956,0.7556252269664333,16.462707889122015,1468.1,False,0.0
EBM,Tuned + Ens.,Tree-based,0.09285986037998886,180.2108414053917,17.49958978770633,1468.1,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,421.9512729692459,4560.093895140448,15.118873791294371,1466.4,False,0.0
RealMLP,Default,Neural Network,0.29454429839786733,6.549410714959921,16.10466171258218,1436.1,False,0.0
TabDPT,Tuned,Foundation Model,39.45151534080505,4560.093895140448,18.153077969091456,1406.5,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,2.507428062325733,368.8801690096263,16.95678843392431,1400.5,False,0.0
BetaTabPFN,Default,Foundation Model,0.7858204126358033,92.90225169181824,18.116844568378827,1366.2,False,0.0
EBM,Default,Tree-based,0.00556515193646899,0.6682646338035423,20.11522407209936,1350.5,False,0.0
EBM,Tuned,Tree-based,0.006323974778404889,180.2108414053917,19.03277166753652,1350.5,False,0.0
TorchMLP,Tuned,Neural Network,0.0547828197479248,1128.194660806656,17.458329919602118,1340.0,False,0.0
iLTM,Default,Foundation Model,7.996269692477972,82.69095368385314,21.21922335774281,1326.0,False,0.0
RandomForest,Tuned + Ens.,Tree-based,0.20378720549712914,43.93331297127349,18.79333485112672,1326.0,False,0.0
LightGBM,Default,Tree-based,0.05232422172170241,0.3380289468902334,17.288980632268387,1302.8,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,0.12336440344719987,58.36115154735031,18.308581494101205,1301.0,False,0.0
RandomForest,Tuned,Tree-based,0.018005412213061456,43.93331297127349,19.22963096485059,1281.0,False,0.0
LimiX,Default,Foundation Model,2.704625277519226,5.131487131118774,22.879148188931207,1273.7,False,0.0
SAP-RPT-OSS,Default,Foundation Model,16.468576040126962,16.575973999291005,20.79624276973011,1271.9,False,0.0
ModernNCA,Default,Neural Network,0.22367359638214113,9.925993635007709,18.49428806144712,1266.3,False,0.0
ExtraTrees,Tuned,Tree-based,0.014679852368564743,58.36115154735031,20.38887173000675,1236.3,False,0.0
TabDPT,Default,Foundation Model,39.131396748606434,41.80367764234543,22.2408664958134,1223.9,False,0.0
FastaiMLP,Tuned,Neural Network,0.08402842943354752,368.8801690096263,20.582557639785534,1209.3,False,0.0
TorchMLP,Default,Neural Network,0.04820577504269923,1.8087875723838807,20.03872769065321,1171.3,False,0.0
FastaiMLP,Default,Neural Network,0.11284585907047284,1.6147778992215331,23.307200417930762,1116.4,False,0.0
TabSTAR,Tuned,Foundation Model,2.7336975574493407,3623.001815872094,26.70998565966784,1094.2,False,0.0
TabSTAR,Tuned + Ens.,Foundation Model,9.842608718351483,3623.001815872094,26.78140190141376,1073.6,False,0.0
RandomForest,Default,Tree-based,0.012478518486022949,0.11264732804833527,26.38373364418208,1000.0,False,0.0
OrionMSP,Default,Foundation Model,7.022090998167708,17.729644729185736,26.17108104322199,986.8,False,0.0
PerpetualBooster,Tuned + Ens.,Tree-based,0.5715477429932677,20.269478334366546,27.974725991904304,976.0,False,0.0
ExtraTrees,Default,Tree-based,0.05684936969031351,0.3303836838084749,27.121512764614074,933.5,False,0.0
TabSTAR,Default,Foundation Model,2.5734866142272947,99.35380777359008,32.66861544711324,924.5,False,0.0
xRFM,Default,Other,0.15727785960507176,2.7661665320396422,34.094272215041016,921.5,False,0.0
PerpetualBooster,Tuned,Tree-based,0.24694087505340576,20.269478334366546,29.16565609636247,906.1,False,0.0
TabFlex,Default,Foundation Model,0.03450058498171281,0.19642592668533326,35.5517379936407,852.4,False,0.0
PerpetualBooster,Default,Tree-based,0.020331311225891113,1.3180150875439431,37.577190162349325,785.5,False,0.0
