#,Type,TypeName,Model,Elo [⬆️],Elo 95% CI,Score [⬆️],Rank [⬇️],Harmonic Rank [⬇️],Improvability (%) [⬇️],Median Train Time (s/1K) [⬇️],Median Predict Time (s/1K) [⬇️],Verified,Imputed (%) [⬇️],Imputed,Hardware,MethodClass,Tags
0,🧠⚡,Foundation Model,[TabFM (default)](https://github.com/google-research/tabfm),1777.0,+221/-153,0.772,6.95,2.4,5.605,37.34,5.423,✔️,0.0,False,GPU,model,
1,📊,System,[TabFM+](https://github.com/google-research/tabfm),1764.0,+263/-155,0.793,7.33,1.99,5.603,24.83,6.672,✔️,0.0,False,GPU,system,
2,📊,System,"[AutoGluon 1.6 (noncommercial, 4h)](https://arxiv.org/abs/2003.06505)",1730.0,+133/-87,0.669,8.43,4.49,8.974,13.74,0.635,✔️,0.0,False,GPU,system,
3,🧠⚡,Foundation Model,[EXAONE-Tabular (default)](https://github.com/LGAI-Research/EXAONE-Tabular),1666.0,+131/-83,0.642,10.83,5.11,11.562,5.89,0.435,✔️,0.0,False,GPU,model,
4,📊,System,"[AutoGluon 1.6 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1662.0,+104/-72,0.61,11.02,5.68,9.7,9.48,0.516,✔️,0.0,False,GPU,system,
5,🧠⚡,Foundation Model,[TabPFN-3 (default)](https://arxiv.org/abs/2605.13986),1599.0,+102/-68,0.541,13.93,8.54,12.725,4.66,0.361,✔️,0.0,False,GPU,model,
6,🧠⚡,Foundation Model,[RealTabPFN-2.5 (default)](https://arxiv.org/abs/2511.08667),1588.0,+86/-50,0.489,14.5,10.83,14.283,5.54,0.55,✔️,0.0,False,GPU,model,
7,🧠⚡,Foundation Model,[TabICLv2 (default)](https://arxiv.org/abs/2602.11139),1547.0,+127/-86,0.497,16.76,10.6,13.437,1.96,0.151,✔️,0.0,False,GPU,model,
8,🧠⚡,Foundation Model,[TabPFN-2.6 (default)](https://arxiv.org/abs/2511.08667),1537.0,+131/-87,0.488,17.33,9.58,14.007,5.75,0.434,✔️,0.0,False,GPU,model,
9,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned + ensembled)](https://arxiv.org/abs/2511.08667),1524.0,+131/-74,0.459,18.12,10.73,14.577,2125.17,9.785,✔️,0.0,False,GPU,model,
10,📊,System,"[AutoGluon 1.5 (extreme, 4h)](https://arxiv.org/abs/2003.06505)",1520.0,+133/-101,0.486,18.33,7.07,10.457,369.86,6.202,✔️,0.0,False,GPU,system,
11,🧠⚡,Foundation Model,[RealTabPFN-2.5 (tuned)](https://arxiv.org/abs/2511.08667),1501.0,+121/-90,0.444,19.57,11.35,14.854,2125.17,0.881,✔️,0.0,False,GPU,model,
12,🧠⚡,Foundation Model,[LimiX (default)](https://arxiv.org/abs/2509.03505),1455.0,+151/-104,0.385,22.62,8.04,15.679,19.33,4.519,➖,0.0,False,GPU,model,
13,🧠🔁,Neural Network,[RealMLP (tuned + ensembled)](https://arxiv.org/abs/2407.04491),1455.0,+87/-82,0.334,22.67,15.4,16.691,2791.97,23.933,✔️,0.0,False,GPU,model,
14,📊,System,"[AutoGluon 1.4 (best, 4h)](https://arxiv.org/abs/2003.06505)",1448.0,+89/-76,0.324,23.14,18.24,16.258,1886.83,1.333,✔️,0.0,False,CPU,system,
15,🧠⚡,Foundation Model,[TabDPT-Turbo (default)](https://openreview.net/pdf?id=Y00pwFyrHR),1408.0,+87/-84,0.314,26.12,14.71,16.891,2.4,0.116,➖,0.0,False,GPU,model,
16,🧠🔁,Neural Network,[RealMLP (tuned)](https://arxiv.org/abs/2407.04491),1387.0,+89/-80,0.301,27.69,14.55,18.045,2791.97,0.543,✔️,0.0,False,GPU,model,
17,🧠⚡,Foundation Model,[TabDPT (tuned + ensembled)](https://arxiv.org/abs/2410.18164),1369.0,+96/-80,0.277,29.1,10.65,16.915,6619.83,408.772,✔️,0.0,False,GPU,model,
18,🧠🔁,Neural Network,[TabM (tuned + ensembled)](https://arxiv.org/abs/2410.24210),1349.0,+87/-87,0.259,30.71,11.39,18.748,2289.51,2.042,✔️,0.0,False,GPU,model,
19,🧠⚡,Foundation Model,[BetaTabPFN (default)](https://arxiv.org/abs/2502.02527),1348.0,+111/-86,0.231,30.81,21.41,19.987,298.47,2.036,➖,0.0,False,GPU,model,
20,🧠⚡,Foundation Model,[iLTM (tuned + ensembled)](https://arxiv.org/abs/2511.15941),1344.0,+84/-81,0.243,31.12,18.57,18.346,15318.17,500.783,✔️,0.0,False,GPU,model,
21,🧠⚡,Foundation Model,[TabSwift (default)](https://github.com/LAMDA-Tabular/TabSwift),1341.0,+89/-82,0.221,31.4,20.03,18.807,1.21,0.052,➖,0.0,False,GPU,model,
22,🧠⚡,Foundation Model,[TabDPT (tuned)](https://arxiv.org/abs/2410.18164),1332.0,+81/-82,0.228,32.14,22.06,18.075,6619.83,39.71,✔️,0.0,False,GPU,model,
23,🧠🔁,Neural Network,[TabM (tuned)](https://arxiv.org/abs/2410.24210),1314.0,+114/-98,0.222,33.62,19.35,19.697,2289.51,0.259,✔️,0.0,False,GPU,model,
24,🌳,Tree-based,[ChimeraBoost (tuned + ensembled)](https://github.com/bbstats/chimeraboost),1314.0,+103/-81,0.195,33.64,21.95,20.032,689.5,0.461,✔️,0.0,False,CPU,model,
25,🌳,Tree-based,[LightGBM (tuned + ensembled)](https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html),1313.0,+67/-53,0.149,33.69,28.25,19.382,512.21,1.17,✔️,0.0,False,CPU,model,
26,🌳,Tree-based,[CatBoost (tuned)](https://arxiv.org/abs/1706.09516),1311.0,+91/-78,0.195,33.86,16.41,19.18,1228.69,0.036,✔️,0.0,False,CPU,model,
27,🌳,Tree-based,[ChimeraBoost (tuned)](https://github.com/bbstats/chimeraboost),1308.0,+106/-82,0.209,34.12,18.58,20.381,689.5,0.037,✔️,0.0,False,CPU,model,
28,🌳,Tree-based,[CatBoost (default)](https://arxiv.org/abs/1706.09516),1303.0,+73/-58,0.152,34.57,29.0,19.78,3.78,0.025,✔️,0.0,False,CPU,model,
29,🧠🔁,Neural Network,[ModernNCA (tuned)](https://arxiv.org/abs/2407.03257),1302.0,+136/-88,0.208,34.64,19.99,19.238,4618.5,0.426,✔️,0.0,False,GPU,model,
30,🌳,Tree-based,[CatBoost (tuned + ensembled)](https://arxiv.org/abs/1706.09516),1296.0,+82/-77,0.164,35.14,28.41,19.633,1228.69,0.333,✔️,0.0,False,CPU,model,
31,🌳,Tree-based,[XGBoost (tuned + ensembled)](https://arxiv.org/abs/1603.02754),1282.0,+77/-80,0.155,36.36,25.83,20.55,700.96,0.743,✔️,0.0,False,CPU,model,
32,🌳,Tree-based,[EBM (tuned + ensembled)](https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf),1278.0,+82/-80,0.12,36.67,25.04,20.474,1364.2,0.147,✔️,0.0,False,CPU,model,
33,🧠🔁,Neural Network,[RealMLP (default)](https://arxiv.org/abs/2407.04491),1277.0,+82/-64,0.129,36.76,24.79,20.149,11.09,2.46,✔️,0.0,False,GPU,model,
34,🧠⚡,Foundation Model,[iLTM (tuned)](https://arxiv.org/abs/2511.15941),1270.0,+62/-73,0.142,37.33,29.27,19.929,15318.17,75.138,✔️,0.0,False,GPU,model,
35,❓,Other,[xRFM (tuned + ensembled)](https://arxiv.org/abs/2508.10053),1259.0,+76/-83,0.153,38.29,30.47,20.444,536.34,1.738,✔️,0.0,False,GPU,model,
