,EXAONE-Tabular (default),"AutoGluon 1.6 (noncommercial, 4h)","AutoGluon 1.6 (extreme, 4h)","AutoGluon 1.5 (extreme, 4h)","AutoGluon 1.4 (best, 4h)",TabFM+,TabFM (default),TabPFN-3 (default),TabPFN-2.6 (default),TabICLv2 (default),ChimeraBoost (T+E),RealTabPFN-2.5 (T+E),ModernNCA (T+E),iLTM (T+E),XGBoost (T+E),CatBoost (T+E),RealMLP (T+E),TabM (T+E),LightGBM (T+E),TabICL (default),TabSwift (default),TorchMLP (T+E),EBM (T+E),xRFM (T+E),TabDPT-Turbo (default),TabDPT (T+E),LimiX (default),FastaiMLP (T+E),RandomForest (T+E),BetaTabPFN (default),ExtraTrees (T+E),SAP-RPT-OSS (default),TabSTAR (T+E),Linear (T+E),KNN (T+E),OrionMSP (default),PerpetualBooster (T+E),TabFlex (default)
EXAONE-Tabular (default),,0.7,0.7,0.7,0.8,0.7,0.7,0.8,0.9,0.9,0.8,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.6 (noncommercial, 4h)",0.3,,0.95,0.8,0.8,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.6 (extreme, 4h)",0.3,0.05,,0.7,0.6,0.6,0.6,0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,1.0,1.0,1.0,0.9,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.5 (extreme, 4h)",0.3,0.2,0.3,,0.6,0.6,0.5,0.5,0.7,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"AutoGluon 1.4 (best, 4h)",0.2,0.2,0.4,0.4,,0.6,0.6,0.5,0.8,0.7,0.8,0.7,0.7,1.0,1.0,1.0,1.0,0.8,0.9,0.9,1.0,1.0,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TabFM+,0.3,0.3,0.4,0.4,0.4,,0.6,0.6,0.8,0.9,0.7,0.8,0.8,0.7,0.8,0.8,0.9,1.0,0.9,0.9,0.8,0.9,1.0,0.8,0.9,1.0,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TabFM (default),0.3,0.3,0.4,0.5,0.4,0.4,,0.7,0.8,0.8,0.6,0.8,0.8,0.7,0.8,0.8,0.8,1.0,0.9,0.8,0.8,0.9,1.0,0.9,1.0,0.9,0.8,0.9,1.0,1.0,1.0,0.9,1.0,1.0,0.9,1.0,1.0,1.0
TabPFN-3 (default),0.2,0.2,0.3,0.5,0.5,0.4,0.3,,0.6,0.7,0.8,0.6,0.9,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.7,0.9,0.8,1.0,0.9,0.8,0.9,0.9,1.0,0.9,0.9,1.0,0.9,0.9,1.0,1.0,1.0
TabPFN-2.6 (default),0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.4,,0.7,0.6,0.6,0.8,0.6,0.5,0.7,0.8,0.8,0.9,0.9,0.8,0.8,1.0,0.7,1.0,1.0,0.8,0.9,1.0,0.9,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0
TabICLv2 (default),0.1,0.1,0.1,0.3,0.3,0.1,0.2,0.3,0.3,,0.5,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.8,0.8,0.8,0.8,0.7,0.7,1.0,0.9,0.8,0.9,1.0,1.0,1.0,0.9,1.0,0.9,1.0,1.0,1.0,1.0
