method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
TabFM+,Baseline,System,7.405314256785581,24.97177694652097,5.965532772441436,1792.7,False,0.0
TabFM,Default,Foundation Model,6.3100890027657695,40.78996474014507,5.937107866128182,1755.5,False,0.0
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,0.640774089716175,18.70802319068476,10.015058573114784,1727.1,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.4957583784042041,6.813714250828779,11.317976755076094,1684.2,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,0.605565273498903,12.765914577458586,10.96191330264777,1664.0,False,0.0
TabPFN-3,Default,Foundation Model,0.3985329866409302,7.562578790403686,12.815003591984977,1583.4,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.7026957462090424,6.025425425299332,14.193192726603924,1580.4,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,9.665510479426949,2280.189658474339,12.53015912579867,1561.3,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,5.696457657871621,360.81280451333004,11.196202052501077,1559.1,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5307377510382884,6.281140423073291,14.117033048718955,1554.7,False,0.0
TabICLv2,Default,Foundation Model,0.18200423568487167,3.4521869623163743,14.135890821620237,1532.3,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,0.9678506248316469,2280.189658474339,14.912356221884119,1528.5,False,0.0
RealMLP,Tuned + Ens.,Neural Network,22.857077649049472,3487.2314440045966,17.076690847158655,1466.8,False,0.0
LimiX,Default,Foundation Model,5.033121860272885,28.08288222588253,15.767817299462534,1455.6,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,1.399847859163637,2993.948327958853,17.20497284794355,1449.5,False,0.0
RealMLP,Tuned,Neural Network,1.0010951072713092,3487.2314440045966,18.202543577060094,1403.3,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.16961659763250558,4.86170271550331,18.758177898393114,1394.0,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,404.05298819846814,7432.953711946813,18.391176814737644,1378.3,False,0.0
TabM,Tuned + Ens.,Neural Network,3.188860049555508,2478.6920283700233,19.119444733752044,1374.7,False,0.0
TabM,Tuned,Neural Network,0.44725631665148746,2478.6920283700233,19.84823638226871,1346.2,False,0.0
CatBoost,Tuned,Tree-based,0.04682674034107366,1580.612883732634,18.57873341158594,1343.6,False,0.0
BetaTabPFN,Default,Foundation Model,2.322831617545355,303.58744374984343,20.9771572844719,1343.1,False,0.0
iLTM,Tuned + Ens.,Foundation Model,510.04907828493447,21108.97590338563,19.26334636669361,1339.0,False,0.0
LightGBM,Tuned + Ens.,Tree-based,1.4553717527055694,774.792267950359,19.82506781657648,1337.3,False,0.0
TabDPT,Tuned,Foundation Model,39.789464971552704,7432.953711946813,19.49337426541557,1334.0,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.38064266978339717,1580.612883732634,19.148068756068902,1331.8,False,0.0
TabSwift,Default,Foundation Model,0.054771207621121476,2.247178268549817,21.22998181163124,1307.6,False,0.0
ModernNCA,Tuned,Neural Network,0.4731015689224996,6288.355238448097,20.14766450590352,1305.7,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.5033083204900031,1146.8725353506861,21.427484049146514,1301.2,False,0.0
XGBoost,Tuned + Ens.,Tree-based,1.6417145040360095,829.4997787901334,20.829948156547996,1300.3,False,0.0
ChimeraBoost,Tuned,Tree-based,0.04218844630661929,1146.8725353506861,21.682216661917938,1297.8,False,0.0
CatBoost,Default,Tree-based,0.04049501513000159,7.3166111387389945,20.768175790100017,1297.6,False,0.0
xRFM,Tuned + Ens.,Other,2.0671352108723013,1165.308814623592,20.745843747038275,1296.3,False,0.0
LightGBM,Tuned,Tree-based,0.2819017032376655,774.792267950359,20.75017840496294,1290.2,False,0.0
XGBoost,Tuned,Tree-based,0.24104020429805,829.4997787901334,21.003892095520367,1281.5,False,0.0
TabM,Default,Neural Network,0.36718537452519845,9.936710759997368,21.749703710484457,1280.5,False,0.0
EBM,Tuned + Ens.,Tree-based,0.16529027706764798,2068.2009167512083,21.66839605027829,1280.3,False,0.0
SAP-RPT-OSS,Default,Foundation Model,1.6402183396128311,13.40891936746966,22.82472703345235,1273.1,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,9.384570834031301,6288.355238448097,21.65990213413673,1270.6,False,0.0
iLTM,Tuned,Foundation Model,120.29741498592882,21108.97590338563,20.769626245639596,1268.5,False,0.0
RealMLP,Default,Neural Network,4.032651740482612,14.588108605706886,21.807099654161494,1251.3,False,0.0
xRFM,Tuned,Other,0.10530142553006287,1165.308814623592,21.858376308873346,1240.4,False,0.0
EBM,Default,Tree-based,0.0218718174324596,7.269331273082633,22.742248195528738,1238.9,False,0.0
ChimeraBoost,Default,Tree-based,0.056060976361517356,6.072961514526461,23.68991731294355,1238.3,False,0.0
EBM,Tuned,Tree-based,0.020083599155602327,2068.2009167512083,22.403139271960566,1235.0,False,0.0
TabDPT,Default,Foundation Model,39.921498930254316,51.78648626613558,22.136854103517205,1233.7,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,2.4197072159983493,2895.0057162095713,22.079631824735703,1232.4,False,0.0
FastaiMLP,Tuned + Ens.,Neural Network,7.35220098087839,1425.5943698968208,24.3694955383305,1194.3,False,0.0
TorchMLP,Tuned,Neural Network,0.144904018997743,2895.0057162095713,23.96798078276734,1188.4,False,0.0
