method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,1.0088386098887174,4.049085446198782,4.428505655646218,2175.6,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.8857441923353407,2.2116832934485537,4.773607504602683,2168.7,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,0.8777640461921694,3.518959885173374,4.834938588862118,2111.1,False,0.0
TabFM,Default,Foundation Model,19.81768300216217,42.172310205132085,4.1151577964506485,2088.1,False,0.0
TabFM+,Baseline,System,21.430868192026068,7.970905962965471,4.944930221894346,2083.8,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,2.022780827239435,128.64404266145493,6.515165075289545,2047.5,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,2.1561832437401742,325.91585784333796,7.416157866503224,1912.7,False,0.0
TabPFN-3,Default,Foundation Model,0.3059932611449933,1.1838833521602212,9.5333455258658,1879.8,False,0.0
TabICLv2,Default,Foundation Model,0.19797128953504076,0.6451456983884175,9.314872530089882,1792.5,False,0.0
TabPFN-2.6,Default,Foundation Model,0.8857412968741523,2.7558592936727737,10.821000516074609,1783.6,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.671810759813704,115.66400360356192,10.46644634238473,1780.7,False,0.0
CatBoost,Default,Tree-based,0.017649330027388742,1.382082782658015,9.304704583359156,1768.4,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.16638114459460035,329.05075313123194,9.617985525151102,1762.0,False,0.0
iLTM,Tuned + Ens.,Foundation Model,80.76825506162471,1883.822351887226,10.752229163002216,1760.5,False,0.0
RealMLP,Tuned + Ens.,Neural Network,2.0533865690231323,1633.804001414776,10.151606262034111,1747.9,False,0.0
CatBoost,Tuned,Tree-based,0.01969751471208236,329.05075313123194,9.903145595830782,1746.3,False,0.0
TabM,Tuned + Ens.,Neural Network,0.5790353938445546,583.5491237682859,11.329256124515535,1714.7,False,0.0
XGBoost,Tuned + Ens.,Tree-based,0.3857911874885318,110.13394387170587,11.955769758018763,1712.8,False,0.0
ChimeraBoost,Tuned,Tree-based,0.055141606874633264,115.66400360356192,11.23532343781549,1706.0,False,0.0
LightGBM,Tuned + Ens.,Tree-based,0.6682734383477106,86.84701181650561,12.403634888818136,1699.6,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,6.4096341011259295,2139.1684153662786,11.732360958705158,1675.4,False,0.0
ChimeraBoost,Default,Tree-based,0.0494996236081709,0.5392980166665183,11.6474755525443,1655.9,False,0.0
RealMLP,Tuned,Neural Network,0.08792171989258928,1633.804001414776,11.438182184520942,1654.8,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,15.118445156747917,842.2477383770442,12.89784234266776,1651.3,False,0.0
XGBoost,Tuned,Tree-based,0.06085753494784649,110.13394387170587,12.774365462322171,1639.6,False,0.0
TabM,Tuned,Neural Network,0.05620110829671224,583.5491237682859,12.20433522872158,1635.9,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,1.4652611393989805,842.2477383770442,13.390763685211269,1611.8,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.8963303311665852,2.29998209476471,13.19566622608901,1591.7,False,0.0
LightGBM,Tuned,Tree-based,0.07760857857182997,86.84701181650561,14.071361800891868,1583.5,False,0.0
TabICL,Default,Foundation Model,3.5782128678427805,8.534763300418852,13.829118896547493,1575.4,False,0.0
iLTM,Tuned,Foundation Model,10.881337571144105,1883.822351887226,13.681209023189112,1574.0,False,0.0
ModernNCA,Tuned,Neural Network,0.3490410688188341,2139.1684153662786,14.105541830905535,1560.1,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,475.780075188949,4860.878886904981,13.725633669245383,1541.4,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,1.5584373712539672,1156.6875333302653,13.526301012059255,1539.1,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.20330802440643309,0.758492419719696,15.242113441512156,1534.3,False,0.0
xRFM,Tuned + Ens.,Other,1.934936550451137,572.8239309061431,14.743800755888733,1490.3,False,0.0
EBM,Tuned + Ens.,Tree-based,0.08725845376858536,188.7956405878067,16.64963179756685,1481.5,False,0.0
XGBoost,Default,Tree-based,0.053416368885586527,0.4869354633908524,15.120876572354813,1475.6,False,0.0
