method,variant,family,x_infer,x_train,imp,elo,imputed,imputed_pct
"AutoGluon 1.6 (noncommercial, 4h)",Baseline,System,0.534505491903591,14.007848864877804,0.0,9622.5,False,0.0
LimiX,Default,Foundation Model,3.1649737164046425,3.9298653893293616,1.4151225771056677,8805.4,False,0.0
"AutoGluon 1.6 (extreme, 4h)",Baseline,System,0.5681346789389904,12.750814446085048,2.4290908950903813,8329.0,False,0.0
TabPFN-3,Default,Foundation Model,0.2717852500321979,0.9127892597238514,4.110015092399079,7964.6,False,0.0
"AutoGluon 1.5 (extreme, 4h)",Baseline,System,1.3922965366877555,257.8553318653062,5.286764747492826,7782.8,False,0.0
RealTabPFN-2.5,Tuned + Ens.,Foundation Model,8.253098869028047,133.98096270677271,6.0564504616479455,7520.2,False,0.0
"AutoGluon 1.4 (best, 4h)",Baseline,System,4.6621077760980665,276.8753793287967,7.638964115169141,6691.2,False,0.0
RealTabPFN-2.5,Tuned,Foundation Model,2.8157300323397965,133.98096270677271,8.317167771105792,6636.8,False,0.0
EXAONE-Tabular,Default,Foundation Model,0.5914476986417765,1.5953584776651712,9.80258211149938,6437.0,False,0.0
ChimeraBoost,Tuned + Ens.,Tree-based,0.6442394779697589,79.09931094478279,9.762032476961629,6328.4,False,0.0
TabFM+,Baseline,System,18.90614258895757,4.973411146163965,10.443541437331195,6281.0,False,0.0
ChimeraBoost,Tuned,Tree-based,0.04500379340778847,79.09931094478279,10.07862715031247,6269.1,False,0.0
TabPFN-2.6,Default,Foundation Model,0.5166405697462787,1.829124088476411,10.186702280884466,6207.8,False,0.0
TabFM,Default,Foundation Model,17.700635413328044,35.53908067421192,11.328351301527093,6181.5,False,0.0
ChimeraBoost,Default,Tree-based,0.03410210008560817,0.33354401220363905,13.497787811538341,5499.4,False,0.0
TabICLv2,Default,Foundation Model,0.14264448911527017,0.4844563774429267,13.982981853258758,5104.7,False,0.0
RandomForest,Tuned + Ens.,Tree-based,0.16990022628878212,61.94905990955746,15.044586547536984,4798.2,False,0.0
EBM,Tuned + Ens.,Tree-based,0.15012679679733465,6148.010586987571,15.01126296747412,4798.2,False,0.0
LightGBM,Tuned + Ens.,Tree-based,3.6487831266512663,157.71885205067832,15.447951343527262,4742.2,False,0.0
EBM,Tuned,Tree-based,0.011242599949644843,6148.010586987571,15.268583776293626,4665.5,False,0.0
RandomForest,Tuned,Tree-based,0.016462210350728503,61.94905990955746,15.363800768251643,4607.0,False,0.0
LightGBM,Tuned,Tree-based,0.3738761825352672,157.71885205067832,15.852506336383026,4591.3,False,0.0
TabDPT-Turbo,Default,Foundation Model,0.27734462057771503,0.8153299725558324,15.429670622303451,4575.7,False,0.0
XGBoost,Tuned + Ens.,Tree-based,1.0358030997581562,466.4747671387219,16.535264348060654,4341.4,False,0.0
CatBoost,Tuned + Ens.,Tree-based,0.3436400049029326,1199.9825110222541,16.73252436651086,4305.9,False,0.0
CatBoost,Tuned,Tree-based,0.08101209564317807,1199.9825110222541,16.779845269177265,4297.2,False,0.0
XGBoost,Default,Tree-based,0.051484257176895996,0.38798920537315623,16.852079145924375,4226.0,False,0.0
XGBoost,Tuned,Tree-based,0.051484257176895996,466.4747671387219,16.852079224167436,4197.8,False,0.0
iLTM,Tuned + Ens.,Foundation Model,21.65309092459057,1222.5730299669133,18.420939269818614,3835.8,False,0.0
RealTabPFN-2.5,Default,Foundation Model,0.5296965382841097,1.4775118335972495,18.76401629584613,3825.2,False,0.0
CatBoost,Default,Tree-based,0.021275728520323597,3.4684114436342397,18.363363528144017,3782.8,False,0.0
ModernNCA,Tuned + Ens.,Neural Network,29.198992198843914,4423.298365845516,18.627788229942517,3782.8,False,0.0
EBM,Default,Tree-based,0.014352864847965238,11.147028344241974,18.948377669687602,3695.2,False,0.0
ModernNCA,Tuned,Neural Network,2.236635294317712,4423.298365845516,19.581355633126204,3505.1,False,0.0
TabICL,Default,Foundation Model,1.073277250803924,2.8164229235124676,19.686435042974022,3458.6,False,0.0
ExtraTrees,Tuned + Ens.,Tree-based,0.15107067713481045,26.01281245978178,21.270984856158698,2764.7,False,0.0
iLTM,Tuned,Foundation Model,7.855292254113852,1222.5730299669133,22.023238583047426,2586.0,False,0.0
iLTM,Default,Foundation Model,7.855292254113852,52.00023178662073,22.023243827287704,2425.0,False,0.0
TabSwift,Default,Foundation Model,0.1995958300446384,0.5828990848674145,22.623265605481116,2329.6,False,0.0
TabDPT,Tuned + Ens.,Foundation Model,343.20655163805145,4638.967626789499,23.38239352571999,2112.7,False,0.0
TorchMLP,Tuned,Neural Network,0.02304364200908234,2389.3401785967862,23.7457306784865,2043.3,False,0.0
TorchMLP,Tuned + Ens.,Neural Network,0.26697410017479656,2389.3401785967862,23.642859922260318,2015.3,False,0.0
ExtraTrees,Tuned,Tree-based,0.009492997607271946,26.01281245978178,24.030715520951983,1943.6,False,0.0
ModernNCA,Default,Neural Network,1.8552799146737904,14.869686344646652,25.46551772243883,1586.0,False,0.0
TabM,Tuned + Ens.,Neural Network,0.4463981701662554,1137.0204365721459,25.839799709032985,1449.5,False,0.0
